"Status","Year","Function_of_post","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
