"Status","Year","Ethnicity","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","Greater Manchester","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Inner London - East","London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Inner London - West","London","60","60","42810","38920"
"In post","2021","Asian","Commercial","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - South","London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - West and North West","London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands","Outside London","30","30","36610","36780"
"In post","2021","Asian","Commercial","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
