"Status","Year","Age","Function_of_post","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Bristol, City of","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Bristol, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Central Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Central Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Monmouthshire and Newport","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Monmouthshire and Newport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Westminster","Female","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Westminster","Male","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Milton Keynes","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Milton Keynes","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Peterborough","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Peterborough","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","West Surrey","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","West Surrey","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Wiltshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Wiltshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester South West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tower Hamlets","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tower Hamlets","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tyneside","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Tyneside","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Westminster","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Belfast","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Belfast","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Leeds","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Leeds","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Birmingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Birmingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Bradford","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Bradford","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Cardiff and Vale of Glamorgan","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Cardiff and Vale of Glamorgan","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","City of Edinburgh","Female","10","10","[c]","[c]"
"In post","2021","16-19","Debt","City of Edinburgh","Male","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Liverpool","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Liverpool","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North Lanarkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","North Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Nottingham","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Nottingham","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","South Lanarkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","South Lanarkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Tyneside","Female","5","5","[c]","[c]"
