"Status","Year","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Transport Scotland","115","110","41420","39660"
"In post","2021","30-39","UK Export Finance","90","85","52590","50120"
"In post","2021","30-39","UK Hydrographic Office","215","210","33580","33290"
"In post","2021","30-39","UK Intellectual Property Office","385","370","36140","30630"
"In post","2021","30-39","UK Space Agency","95","95","45100","40220"
"In post","2021","30-39","UK Supreme Court","10","10","38480","37230"
"In post","2021","30-39","United Kingdom Statistics Authority","1310","1225","35070","36030"
"In post","2021","30-39","Valuation Office Agency","635","595","33300","31100"
"In post","2021","30-39","Vehicle Certification Agency","60","55","35920","34290"
"In post","2021","30-39","Veterinary Medicines Directorate","30","30","40450","39190"
"In post","2021","30-39","Wales Office","10","10","40660","34410"
"In post","2021","30-39","Water Services Regulation Authority","65","65","51520","48000"
"In post","2021","30-39","Welsh Government (excl. agencies)","1255","1190","37440","37410"
"In post","2021","30-39","Welsh Revenue Authority","25","25","49260","47000"
"In post","2021","30-39","Wilton Park","20","15","27460","25710"
"In post","2021","40-49","Accountant in Bankruptcy","40","35","31910","29190"
"In post","2021","40-49","Advisory, Conciliation and Arbitration Service","265","250","34180","31040"
"In post","2021","40-49","Animal and Plant Health Agency","690","645","32290","29180"
"In post","2021","40-49","Attorney General's Office","10","10","74650","72200"
"In post","2021","40-49","Cabinet Office (excl. agencies)","1845","1795","58180","54700"
"In post","2021","40-49","Centre for Environment, Fisheries and Aquaculture Science","175","165","35290","31070"
"In post","2021","40-49","Charity Commission","130","120","37350","29550"
"In post","2021","40-49","Companies House","260","245","34310","30660"
"In post","2021","40-49","Competition and Markets Authority","220","210","71280","72430"
"In post","2021","40-49","Criminal Injuries Compensation Authority","80","75","26610","22710"
"In post","2021","40-49","Crown Commercial Service","195","190","42120","36870"
"In post","2021","40-49","Crown Office and Procurator Fiscal Service","435","405","42020","34150"
"In post","2021","40-49","Crown Prosecution Service","1910","1750","43610","48080"
"In post","2021","40-49","Crown Prosecution Service Inspectorate","10","5","[c]","[c]"
"In post","2021","40-49","Debt Management Office","25","25","60610","54100"
"In post","2021","40-49","Defence Electronics and Components Agency","85","85","28920","27460"
"In post","2021","40-49","Defence Equipment and Support","2175","2105","40840","39820"
"In post","2021","40-49","Defence Science and Technology Laboratory","1015","970","44810","46080"
"In post","2021","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","985","945","56800","54300"
"In post","2021","40-49","Department for Digital, Culture, Media and Sport","285","270","57970","58190"
"In post","2021","40-49","Department for Education (excl. agencies)","1465","1380","48650","49860"
"In post","2021","40-49","Department for Environment, Food and Rural Affairs (excl. agencies)","1450","1375","46310","47050"
"In post","2021","40-49","Department for International Trade","445","435","53370","51970"
"In post","2021","40-49","Department for Transport (excl. agencies)","775","750","54840","54760"
"In post","2021","40-49","Department for Work and Pensions (excl. agencies)","21670","19495","28110","27570"
"In post","2021","40-49","Department of Health and Social Care (excl. agencies)","730","700","53700","52080"
"In post","2021","40-49","Disclosure Scotland","65","65","32270","28170"
"In post","2021","40-49","Driver and Vehicle Licensing Agency","1545","1410","27950","21590"
"In post","2021","40-49","Driver and Vehicle Standards Agency","1195","1155","30530","27680"
"In post","2021","40-49","Education and Skills Funding Agency","550","525","45070","40940"
"In post","2021","40-49","Education Scotland","85","85","55580","58560"
"In post","2021","40-49","ESTYN","25","25","55690","74730"
"In post","2021","40-49","FCDO Services","240","240","43130","39580"
"In post","2021","40-49","Food Standards Agency","355","350","40490","37910"
"In post","2021","40-49","Food Standards Scotland","70","70","37940","33620"
"In post","2021","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","1965","1910","53830","55620"
"In post","2021","40-49","Forestry and Land Scotland","230","220","33840","31060"
"In post","2021","40-49","Government Actuary's Department","50","45","81320","84400"
"In post","2021","40-49","Government Internal Audit Agency","135","130","49560","48780"
"In post","2021","40-49","Government Legal Department","730","650","59620","64680"
"In post","2021","40-49","Government Property Agency","60","60","50960","51570"
"In post","2021","40-49","Health and Safety Executive","665","630","46150","45100"
"In post","2021","40-49","HM Courts and Tribunals Service","3770","3355","26090","22080"
"In post","2021","40-49","HM Land Registry","1265","1175","33640","27130"
"In post","2021","40-49","HM Prison and Probation Service","11450","10920","32410","31650"
"In post","2021","40-49","HM Revenue and Customs (excl. agencies)","13890","12945","32550","29570"
"In post","2021","40-49","HM Treasury (excl. agencies)","220","205","60480","63410"
"In post","2021","40-49","Home Office (incl. agencies)","9040","8470","33870","28850"
"In post","2021","40-49","Insolvency Service","505","475","34450","34050"
"In post","2021","40-49","Institute for Apprenticeships and Technical Education","50","50","51420","50470"
"In post","2021","40-49","Legal Aid Agency","320","305","30790","25670"
"In post","2021","40-49","Maritime and Coastguard Agency","310","300","39100","36110"
"In post","2021","40-49","Medicines and Healthcare Products Regulatory Agency","330","315","53990","53810"
"In post","2021","40-49","Met Office","550","515","43150","41900"
"In post","2021","40-49","Ministry of Defence (excl. agencies)","7865","7600","34160","33000"
"In post","2021","40-49","Ministry of Housing, Communities and Local Government (excl. agencies)","555","530","51750","51660"
"In post","2021","40-49","Ministry of Justice (excl. agencies)","1405","1355","45880","42700"
"In post","2021","40-49","National Crime Agency","1385","1335","42580","40210"
"In post","2021","40-49","National Infrastructure Commission","10","10","72190","69360"
"In post","2021","40-49","National Records of Scotland","105","100","38310","35110"
"In post","2021","40-49","National Savings and Investments","65","65","54530","49220"
"In post","2021","40-49","Northern Ireland Office","25","25","44100","34990"
"In post","2021","40-49","Office for Budget Responsibility","5","5","[c]","[c]"
"In post","2021","40-49","Office for Standards in Education, Children's Services and Skills","505","490","52240","51360"
"In post","2021","40-49","Office of Gas and Electricity Markets","250","240","55590","52850"
"In post","2021","40-49","Office of Qualifications and Examinations Regulation","85","80","48220","46660"
"In post","2021","40-49","Office of Rail and Road","90","85","55050","55430"
"In post","2021","40-49","Office of the Public Guardian","250","230","23160","20650"
"In post","2021","40-49","Office of the Scottish Charity Regulator","20","20","35420","33620"
"In post","2021","40-49","Planning Inspectorate","250","235","43420","47660"
"In post","2021","40-49","Public Health England","1790","1635","47630","43880"
"In post","2021","40-49","Queen Elizabeth II Centre","10","10","43040","38510"
"In post","2021","40-49","Registers of Scotland","300","285","34590","30080"
"In post","2021","40-49","Revenue Scotland","15","15","41750","42190"
"In post","2021","40-49","Royal Fleet Auxiliary","385","385","40220","35380"
"In post","2021","40-49","Rural Payments Agency","690","620","27220","25190"
"In post","2021","40-49","Scotland Office (incl. Office of the Advocate General for Scotland)","20","20","58510","61010"
"In post","2021","40-49","Scottish Courts and Tribunals Service","370","335","29860","29350"
"In post","2021","40-49","Scottish Fiscal Commission","5","5","[c]","[c]"
"In post","2021","40-49","Scottish Forestry","60","55","35980","35680"
"In post","2021","40-49","Scottish Government (excl. agencies)","2075","1960","47970","46600"
"In post","2021","40-49","Scottish Housing Regulator","15","15","55090","56740"
"In post","2021","40-49","Scottish Prison Service","820","805","32940","33650"
"In post","2021","40-49","Scottish Public Pensions Agency","65","60","33720","29190"
"In post","2021","40-49","Serious Fraud Office","105","100","51950","53330"
"In post","2021","40-49","Social Security Scotland","300","290","34520","30650"
"In post","2021","40-49","Standards and Testing Agency","40","35","44970","42450"
"In post","2021","40-49","Student Awards Agency for Scotland","60","55","33540","28680"
"In post","2021","40-49","Submarine Delivery Agency","390","380","46290","42950"
"In post","2021","40-49","Teaching Regulation Agency","15","15","34120","31020"
"In post","2021","40-49","The National Archives","150","140","39640","36710"
"In post","2021","40-49","Transport Scotland","125","125","50980","48930"
"In post","2021","40-49","UK Export Finance","110","110","58520","53950"
"In post","2021","40-49","UK Hydrographic Office","220","210","38370","33330"
"In post","2021","40-49","UK Intellectual Property Office","430","400","42500","39480"
"In post","2021","40-49","UK Space Agency","55","55","49380","49310"
"In post","2021","40-49","UK Supreme Court","10","5","[c]","[c]"
"In post","2021","40-49","United Kingdom Statistics Authority","1070","980","37910","36030"
"In post","2021","40-49","Valuation Office Agency","775","715","33980","30500"
"In post","2021","40-49","Vehicle Certification Agency","45","45","37590","34930"
"In post","2021","40-49","Veterinary Medicines Directorate","55","55","44910","40970"
"In post","2021","40-49","Wales Office","10","10","62070","65560"
"In post","2021","40-49","Water Services Regulation Authority","105","100","62260","56230"
"In post","2021","40-49","Welsh Government (excl. agencies)","1670","1585","43960","37410"
"In post","2021","40-49","Welsh Revenue Authority","15","15","42530","39310"
"In post","2021","40-49","Wilton Park","25","20","33430","30140"
"In post","2021","50-59","Accountant in Bankruptcy","20","20","39950","35110"
"In post","2021","50-59","Advisory, Conciliation and Arbitration Service","325","305","35240","34500"
"In post","2021","50-59","Animal and Plant Health Agency","740","705","32670","28980"
"In post","2021","50-59","Cabinet Office (excl. agencies)","1510","1475","56830","52630"
"In post","2021","50-59","Centre for Environment, Fisheries and Aquaculture Science","140","135","39350","37280"
"In post","2021","50-59","Charity Commission","120","110","35550","30550"
