"Status","Year","Age","Ethnicity","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","AO","Female","20","15","[c]","[c]"
"In post","2021","16-19","Asian","AO","Male","20","20","[c]","[c]"
"In post","2021","16-19","Asian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Asian","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Black","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","AO","Female","5","5","[c]","[c]"
