"Status","Year","Organisation","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Unknown","Outside London","Female","75","65","30250","29190"
"In post","2021","Accountant in Bankruptcy","Unknown","Outside London","Male","40","40","34470","29190"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","London","Female","10","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","London","Male","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Female","15","15","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","Male","30","30","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","London","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Female","55","55","40190","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","Male","40","40","40250","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","Female","485","440","29870","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","Male","325","305","31390","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
