"Status","Year","Ethnicity","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Counter Fraud","20","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Finance","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Legal","470","435","54290","51770"
"In post","2021","Asian","Attorney General's Departments","Operational Delivery","285","260","26840","24590"
"In post","2021","Asian","Attorney General's Departments","Other","50","50","30290","27580"
"In post","2021","Asian","Attorney General's Departments","Policy","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Security","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","465","455","45910","40600"
"In post","2021","Asian","Chancellor's other departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Finance","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Other","35","35","45960","42600"
"In post","2021","Asian","Chancellor's other departments","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Communications","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Legal","10","10","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Project Delivery","50","45","45500","35680"
"In post","2021","Asian","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Communications","5","5","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Counter Fraud","10","10","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","40","40","43940","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Economics","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Finance","30","30","39330","36180"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Human Resources","20","20","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Legal","5","5","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Operational Delivery","220","205","30410","26330"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Policy","315","310","44150","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Project Delivery","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Science and Engineering","15","15","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
