"Status","Year","Age","Ethnicity","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Chinese","Outside London","Female","100","95","31920","30340"
"In post","2021","30-39","Chinese","Outside London","Male","65","65","31010","27570"
"In post","2021","30-39","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","London","Female","580","555","42510","38640"
"In post","2021","30-39","Mixed","London","Male","415","410","45070","41010"
"In post","2021","30-39","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","Outside London","Female","750","685","30380","27570"
"In post","2021","30-39","Mixed","Outside London","Male","530","525","31330","27980"
"In post","2021","30-39","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","Overseas","Female","20","20","[c]","[c]"
"In post","2021","30-39","Mixed","Overseas","Male","20","20","[c]","[c]"
"In post","2021","30-39","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","Unknown","Female","5","5","[c]","[c]"
"In post","2021","30-39","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other ethnicity","London","Female","195","180","42620","38180"
"In post","2021","30-39","Other ethnicity","London","Male","120","120","43780","39080"
"In post","2021","30-39","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Outside London","Female","155","145","29540","26390"
"In post","2021","30-39","Other ethnicity","Outside London","Male","125","120","31990","27570"
"In post","2021","30-39","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Overseas","Male","10","10","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","London","Female","395","370","43850","40060"
"In post","2021","30-39","Undeclared","London","Male","545","540","46850","44700"
"In post","2021","30-39","Undeclared","Outside London","Female","925","835","30230","27570"
"In post","2021","30-39","Undeclared","Outside London","Male","1625","1605","32970","30930"
"In post","2021","30-39","Undeclared","Overseas","Female","10","10","[c]","[c]"
"In post","2021","30-39","Undeclared","Overseas","Male","25","25","[c]","[c]"
"In post","2021","30-39","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","London","Female","2070","1990","45850","42200"
"In post","2021","30-39","Unknown","London","Male","1965","1950","46410","42200"
"In post","2021","30-39","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Outside London","Female","6005","5415","28810","25750"
"In post","2021","30-39","Unknown","Outside London","Male","6165","6090","29770","27150"
"In post","2021","30-39","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Overseas","Female","105","105","50310","52430"
"In post","2021","30-39","Unknown","Overseas","Male","95","95","51040","53000"
"In post","2021","30-39","Unknown","Unknown","Female","100","95","38500","32700"
"In post","2021","30-39","Unknown","Unknown","Male","435","435","37580","33570"
"In post","2021","30-39","White","London","Female","6670","6325","48700","51250"
"In post","2021","30-39","White","London","Male","6010","5965","49380","51730"
"In post","2021","30-39","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","White","Outside London","Female","30720","27590","30450","27570"
"In post","2021","30-39","White","Outside London","Male","24275","24070","31710","28800"
"In post","2021","30-39","White","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","White","Overseas","Female","280","280","46930","50710"
"In post","2021","30-39","White","Overseas","Male","425","425","46720","50430"
"In post","2021","30-39","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","White","Unknown","Female","100","95","33800","27570"
"In post","2021","30-39","White","Unknown","Male","85","85","34460","27570"
"In post","2021","30-39","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Asian","London","Female","2170","1960","39120","33480"
"In post","2021","40-49","Asian","London","Male","1350","1330","40820","35150"
"In post","2021","40-49","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Asian","Outside London","Female","2300","1940","29590","27570"
"In post","2021","40-49","Asian","Outside London","Male","1940","1870","31030","27570"
"In post","2021","40-49","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Asian","Overseas","Female","30","30","[c]","[c]"
"In post","2021","40-49","Asian","Overseas","Male","30","30","[c]","[c]"
"In post","2021","40-49","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Asian","Unknown","Female","25","20","[c]","[c]"
"In post","2021","40-49","Asian","Unknown","Male","10","10","[c]","[c]"
"In post","2021","40-49","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Black","London","Female","1435","1350","36190","31180"
"In post","2021","40-49","Black","London","Male","725","720","36870","33260"
"In post","2021","40-49","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Black","Outside London","Female","785","720","29460","27570"
"In post","2021","40-49","Black","Outside London","Male","640","630","31430","27570"
"In post","2021","40-49","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Black","Overseas","Female","15","15","[c]","[c]"
"In post","2021","40-49","Black","Overseas","Male","10","10","[c]","[c]"
"In post","2021","40-49","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Black","Unknown","Female","5","5","[c]","[c]"
"In post","2021","40-49","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","London","Female","110","110","45370","39090"
"In post","2021","40-49","Chinese","London","Male","55","55","40130","36000"
"In post","2021","40-49","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Outside London","Female","110","95","29450","26110"
"In post","2021","40-49","Chinese","Outside London","Male","65","60","33890","30090"
"In post","2021","40-49","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Mixed","London","Female","410","380","45590","41060"
"In post","2021","40-49","Mixed","London","Male","255","255","47200","41970"
"In post","2021","40-49","Mixed","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Mixed","Outside London","Female","600","535","32060","27570"
"In post","2021","40-49","Mixed","Outside London","Male","460","450","34860","31650"
"In post","2021","40-49","Mixed","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Mixed","Overseas","Female","15","15","[c]","[c]"
"In post","2021","40-49","Mixed","Overseas","Male","20","20","[c]","[c]"
"In post","2021","40-49","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Mixed","Unknown","Female","5","5","[c]","[c]"
"In post","2021","40-49","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other ethnicity","London","Female","180","165","42880","35870"
"In post","2021","40-49","Other ethnicity","London","Male","110","110","46120","42300"
"In post","2021","40-49","Other ethnicity","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Outside London","Female","165","150","31680","27570"
"In post","2021","40-49","Other ethnicity","Outside London","Male","175","170","34650","30370"
"In post","2021","40-49","Other ethnicity","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Overseas","Male","10","10","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","London","Female","460","415","41500","36160"
"In post","2021","40-49","Undeclared","London","Male","600","595","46600","41970"
"In post","2021","40-49","Undeclared","Outside London","Female","1620","1450","31610","27570"
"In post","2021","40-49","Undeclared","Outside London","Male","2240","2210","34300","31810"
"In post","2021","40-49","Undeclared","Overseas","Female","25","25","[c]","[c]"
"In post","2021","40-49","Undeclared","Overseas","Male","45","45","49810","41910"
"In post","2021","40-49","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","Unknown","Male","10","10","[c]","[c]"
"In post","2021","40-49","Unknown","London","Female","1420","1320","50030","46060"
"In post","2021","40-49","Unknown","London","Male","1250","1240","53060","49530"
"In post","2021","40-49","Unknown","Outside London","Female","4935","4410","31020","26860"
"In post","2021","40-49","Unknown","Outside London","Male","4470","4385","33120","27990"
"In post","2021","40-49","Unknown","Overseas","Female","90","85","52720","46620"
"In post","2021","40-49","Unknown","Overseas","Male","95","95","56320","54570"
"In post","2021","40-49","Unknown","Unknown","Female","70","65","37940","32700"
"In post","2021","40-49","Unknown","Unknown","Male","380","375","40830","35380"
"In post","2021","40-49","White","London","Female","6090","5555","52600","53130"
"In post","2021","40-49","White","London","Male","5675","5625","53580","53380"
"In post","2021","40-49","White","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","White","Outside London","Female","39180","34885","32210","27570"
"In post","2021","40-49","White","Outside London","Male","28410","28060","34940","31650"
"In post","2021","40-49","White","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","White","Overseas","Female","320","320","53490","56090"
"In post","2021","40-49","White","Overseas","Male","470","470","51630","53470"
"In post","2021","40-49","White","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","White","Unknown","Female","125","115","33200","27570"
"In post","2021","40-49","White","Unknown","Male","90","90","35080","29660"
"In post","2021","40-49","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Asian","London","Female","1730","1600","35600","31060"
"In post","2021","50-59","Asian","London","Male","980","965","39400","33090"
"In post","2021","50-59","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Asian","Outside London","Female","1535","1360","29230","27130"
"In post","2021","50-59","Asian","Outside London","Male","1200","1160","31290","27570"
"In post","2021","50-59","Asian","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Asian","Overseas","Female","5","5","[c]","[c]"
"In post","2021","50-59","Asian","Overseas","Male","15","15","[c]","[c]"
"In post","2021","50-59","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Asian","Unknown","Female","30","25","27550","27570"
"In post","2021","50-59","Asian","Unknown","Male","10","10","[c]","[c]"
"In post","2021","50-59","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Black","London","Female","2390","2300","34200","31060"
"In post","2021","50-59","Black","London","Male","1160","1145","36760","31880"
"In post","2021","50-59","Black","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Black","Outside London","Female","955","890","29650","27570"
"In post","2021","50-59","Black","Outside London","Male","695","680","31860","28170"
"In post","2021","50-59","Black","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Black","Overseas","Female","10","10","[c]","[c]"
"In post","2021","50-59","Black","Overseas","Male","5","5","[c]","[c]"
"In post","2021","50-59","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Black","Unknown","Female","15","15","[c]","[c]"
"In post","2021","50-59","Black","Unknown","Male","10","10","[c]","[c]"
"In post","2021","50-59","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chinese","London","Female","55","50","44240","38540"
"In post","2021","50-59","Chinese","London","Male","40","40","44240","37660"
"In post","2021","50-59","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chinese","Outside London","Female","85","80","31920","25360"
"In post","2021","50-59","Chinese","Outside London","Male","60","55","31750","27570"
"In post","2021","50-59","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chinese","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chinese","Overseas","Male","[c]","[c]","[c]","[c]"
