"Status","Year","Function_of_post","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","Female","40","40","44640","42770"
"In post","2021","Analysis","Digital, Data and Technology","London","Male","40","40","49890","45840"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","Female","65","55","40270","41990"
"In post","2021","Analysis","Digital, Data and Technology","Outside London","Male","95","95","39090","39170"
"In post","2021","Analysis","Economics","London","Female","360","345","47800","42020"
"In post","2021","Analysis","Economics","London","Male","710","700","47740","42020"
"In post","2021","Analysis","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outside London","Female","75","70","38820","33050"
"In post","2021","Analysis","Economics","Outside London","Male","135","130","40290","33970"
"In post","2021","Analysis","Economics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","Female","95","90","54570","53360"
"In post","2021","Analysis","Intelligence Analysis","London","Male","115","115","53550","53360"
"In post","2021","Analysis","Intelligence Analysis","Outside London","Female","40","40","45470","49530"
"In post","2021","Analysis","Intelligence Analysis","Outside London","Male","35","35","48330","49530"
"In post","2021","Analysis","Knowledge and Information Management","London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","London","Female","45","45","35080","32540"
"In post","2021","Analysis","Operational Delivery","London","Male","35","35","45270","36930"
"In post","2021","Analysis","Operational Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Outside London","Female","280","250","31060","29540"
"In post","2021","Analysis","Operational Delivery","Outside London","Male","225","220","31360","29690"
"In post","2021","Analysis","Operational Research","London","Female","115","105","48930","45300"
"In post","2021","Analysis","Operational Research","London","Male","160","160","49740","48230"
"In post","2021","Analysis","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Outside London","Female","115","110","37250","37320"
"In post","2021","Analysis","Operational Research","Outside London","Male","270","260","41620","40990"
"In post","2021","Analysis","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","London","Female","80","70","59930","57270"
"In post","2021","Analysis","Other","London","Male","130","125","66460","57250"
"In post","2021","Analysis","Other","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Policy","London","Female","110","100","50990","47640"
"In post","2021","Analysis","Policy","London","Male","105","105","49980","46030"
"In post","2021","Analysis","Policy","Outside London","Female","70","65","42040","42220"
"In post","2021","Analysis","Policy","Outside London","Male","60","55","43300","42500"
"In post","2021","Analysis","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Psychology","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Outside London","Female","265","245","32270","29270"
"In post","2021","Analysis","Science and Engineering","Outside London","Male","385","375","37070","35900"
"In post","2021","Analysis","Social Research","London","Female","235","225","46330","42360"
"In post","2021","Analysis","Social Research","London","Male","90","90","47230","45160"
"In post","2021","Analysis","Social Research","London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","Outside London","Female","340","315","37910","37020"
"In post","2021","Analysis","Social Research","Outside London","Male","195","190","38430","37020"
"In post","2021","Analysis","Social Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","London","Female","340","325","47380","42890"
"In post","2021","Analysis","Statistics","London","Male","440","430","46730","42400"
"In post","2021","Analysis","Statistics","London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Statistics","Outside London","Female","470","445","39340","37020"
"In post","2021","Analysis","Statistics","Outside London","Male","510","500","40960","37020"
"In post","2021","Analysis","Statistics","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Statistics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","London","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Unknown","London","Male","50","50","45050","41760"
"In post","2021","Analysis","Unknown","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","London","Female","385","370","46040","40940"
"In post","2021","Commercial","Commercial","London","Male","315","310","49290","45030"
"In post","2021","Commercial","Commercial","Outside London","Female","1815","1720","37370","34800"
"In post","2021","Commercial","Commercial","Outside London","Male","1525","1505","40780","38500"
"In post","2021","Commercial","Commercial","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Commercial","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Communications","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Finance","London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Finance","Outside London","Female","35","30","31260","27640"
