"Status","Year","Parent_department","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","Female","105","95","41740","36240"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","Male","35","35","48060","50520"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","Female","325","295","38170","32290"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","Male","160","160","43130","40420"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","Female","75","70","41200","32020"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","Male","35","30","46020","50520"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","Female","95","90","39350","33310"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","Male","60","55","45430","50220"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","Female","135","125","38430","38000"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","Male","75","75","45890","48830"
"In post","2021","Attorney General's Departments","Central Valleys","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Central Valleys","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Croydon","London","Female","55","50","40580","33610"
"In post","2021","Attorney General's Departments","Croydon","London","Male","35","35","37220","31180"
"In post","2021","Attorney General's Departments","Derby","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Derby","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Outside London","Female","55","50","38720","36240"
"In post","2021","Attorney General's Departments","Devon CC","Outside London","Male","45","45","41380","36240"
"In post","2021","Attorney General's Departments","East Cumbria","Outside London","Female","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","East Cumbria","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Derbyshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","Outside London","Female","80","70","37110","30110"
"In post","2021","Attorney General's Departments","East Kent","Outside London","Male","45","45","43570","40000"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Outside London","Female","50","45","39110","34480"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","London","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Haringey and Islington","London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","London","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Heart of Essex","Outside London","Female","135","120","40170","34140"
"In post","2021","Attorney General's Departments","Heart of Essex","Outside London","Male","55","50","43630","36240"
"In post","2021","Attorney General's Departments","Hertfordshire","Outside London","Female","115","100","38990","30110"
"In post","2021","Attorney General's Departments","Hertfordshire","Outside London","Male","55","55","49620","51120"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","London","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Outside London","Female","50","45","37270","28430"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Leeds","Outside London","Female","255","225","39750","37890"
"In post","2021","Attorney General's Departments","Leeds","Outside London","Male","130","125","46290","49210"
"In post","2021","Attorney General's Departments","Leicester","Outside London","Female","100","90","37020","33310"
"In post","2021","Attorney General's Departments","Leicester","Outside London","Male","40","40","43920","48830"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","London","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","London","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Lincolnshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Liverpool","Outside London","Female","240","225","35850","28430"
"In post","2021","Attorney General's Departments","Liverpool","Outside London","Male","125","125","40890","38180"
"In post","2021","Attorney General's Departments","Manchester","Outside London","Female","245","215","39720","33900"
"In post","2021","Attorney General's Departments","Manchester","Outside London","Male","120","120","44360","48080"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","London","Female","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Kent","Outside London","Female","[c]","[c]","[c]","[c]"
