"Status","Year","Age","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Department for Education","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","16-19","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Unknown","30","25","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Heterosexual / straight","150","150","22620","21010"
"In post","2021","16-19","Department for Work and Pensions","LGBO","25","25","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Heterosexual / straight","80","75","20780","20140"
"In post","2021","16-19","HM Revenue and Customs","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Unknown","160","150","20610","20140"
"In post","2021","16-19","HM Treasury","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Heterosexual / straight","35","30","22890","21430"
"In post","2021","16-19","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Unknown","40","35","21920","21430"
"In post","2021","16-19","Ministry of Defence","Heterosexual / straight","130","130","19290","19040"
"In post","2021","16-19","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","110","110","18060","16780"
"In post","2021","16-19","Ministry of Justice","Heterosexual / straight","75","75","22130","22230"
"In post","2021","16-19","Ministry of Justice","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","55","55","21380","20600"
"In post","2021","16-19","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Heterosexual / straight","55","50","21610","21150"
"In post","2021","16-19","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government","Unknown","35","35","20480","20430"
"In post","2021","16-19","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Welsh Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Heterosexual / straight","1000","990","30350","26970"
"In post","2021","20-29","Attorney General's Departments","LGBO","110","110","31240","27350"
"In post","2021","20-29","Attorney General's Departments","Undeclared","60","60","30540","27510"
"In post","2021","20-29","Attorney General's Departments","Unknown","145","145","28140","26210"
"In post","2021","20-29","Cabinet Office","Heterosexual / straight","1070","1065","36450","34550"
"In post","2021","20-29","Cabinet Office","LGBO","195","195","37820","34550"
"In post","2021","20-29","Cabinet Office","Undeclared","125","125","37930","34550"
"In post","2021","20-29","Cabinet Office","Unknown","2010","2005","32020","29250"
"In post","2021","20-29","Chancellor's other departments","Heterosexual / straight","65","65","36220","35310"
"In post","2021","20-29","Chancellor's other departments","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","20-29","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Heterosexual / straight","120","120","39230","34150"
"In post","2021","20-29","Competition and Markets Authority","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","1525","1520","38100","33880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","LGBO","285","285","38490","36060"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Undeclared","170","170","39990","39250"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Unknown","930","920","31340","30930"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Heterosexual / straight","460","455","41110","35180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","LGBO","85","85","41580","34090"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Undeclared","40","40","42920","39910"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","Unknown","90","90","39420","34020"
"In post","2021","20-29","Department for Education","Heterosexual / straight","1065","1060","35350","33000"
"In post","2021","20-29","Department for Education","LGBO","130","130","35220","32940"
"In post","2021","20-29","Department for Education","Undeclared","75","75","36880","36500"
"In post","2021","20-29","Department for Education","Unknown","340","335","35700","32940"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Heterosexual / straight","1150","1140","31170","29270"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","LGBO","175","170","31370","29390"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Undeclared","135","130","31550","29690"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","Unknown","485","475","28660","25010"
"In post","2021","20-29","Department for International Trade","Heterosexual / straight","505","505","36780","32120"
"In post","2021","20-29","Department for International Trade","LGBO","90","90","38840","38160"
"In post","2021","20-29","Department for International Trade","Undeclared","30","30","39660","38350"
"In post","2021","20-29","Department for International Trade","Unknown","325","320","37570","33360"
"In post","2021","20-29","Department for Transport","Heterosexual / straight","1360","1325","30510","27680"
"In post","2021","20-29","Department for Transport","LGBO","150","150","31750","30270"
"In post","2021","20-29","Department for Transport","Undeclared","75","75","31300","30270"
"In post","2021","20-29","Department for Transport","Unknown","640","630","29320","26590"
"In post","2021","20-29","Department for Work and Pensions","Heterosexual / straight","7445","7320","26680","27570"
"In post","2021","20-29","Department for Work and Pensions","LGBO","985","975","26160","27570"
"In post","2021","20-29","Department for Work and Pensions","Undeclared","490","480","26590","27570"
"In post","2021","20-29","Department for Work and Pensions","Unknown","1620","1580","27060","27570"
"In post","2021","20-29","Department of Health and Social Care","Heterosexual / straight","1445","1395","30900","28590"
"In post","2021","20-29","Department of Health and Social Care","LGBO","185","180","32220","28970"
"In post","2021","20-29","Department of Health and Social Care","Undeclared","200","185","29260","27400"
"In post","2021","20-29","Department of Health and Social Care","Unknown","860","855","36650","32790"
"In post","2021","20-29","ESTYN","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Heterosexual / straight","100","100","32970","32350"
"In post","2021","20-29","Food Standards Agency","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Heterosexual / straight","980","980","34030","33860"
