"Status","Year","Age","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","20-29","Corporate Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Outside London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Outside London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","Female","30","30","31710","32350"
"In post","2021","20-29","Counter Fraud","London","Male","25","25","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Outside London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Outside London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","London","Female","245","240","38240","36800"
"In post","2021","20-29","Digital, Data and Technology","London","Male","290","290","39070","36700"
"In post","2021","20-29","Digital, Data and Technology","Outside London","Female","435","430","30960","29760"
"In post","2021","20-29","Digital, Data and Technology","Outside London","Male","965","965","31320","30700"
"In post","2021","20-29","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data and Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","London","Female","360","360","38510","34000"
"In post","2021","20-29","Economics","London","Male","655","655","38080","34580"
"In post","2021","20-29","Economics","Outside London","Female","60","60","31620","29690"
"In post","2021","20-29","Economics","Outside London","Male","100","100","31730","30710"
"In post","2021","20-29","Economics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","London","Female","195","195","39160","35820"
"In post","2021","20-29","Finance","London","Male","210","210","40020","36160"
"In post","2021","20-29","Finance","Outside London","Female","405","400","28730","26670"
"In post","2021","20-29","Finance","Outside London","Male","390","380","29240","28130"
"In post","2021","20-29","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","London","Female","315","310","36120","32530"
"In post","2021","20-29","Human Resources","London","Male","135","135","36840","33550"
"In post","2021","20-29","Human Resources","Outside London","Female","470","460","27680","26120"
"In post","2021","20-29","Human Resources","Outside London","Male","160","160","26670","25020"
"In post","2021","20-29","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","London","Female","130","130","37900","36140"
"In post","2021","20-29","Intelligence Analysis","London","Male","170","170","36850","35700"
"In post","2021","20-29","Intelligence Analysis","Outside London","Female","130","125","28810","26350"
"In post","2021","20-29","Intelligence Analysis","Outside London","Male","105","105","28930","26670"
"In post","2021","20-29","Intelligence Analysis","Overseas","Female","5","5","[c]","[c]"
"In post","2021","20-29","Intelligence Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","Male","5","5","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","Female","25","25","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","Male","10","10","[c]","[c]"
"In post","2021","20-29","International Trade","London","Female","195","190","38420","38160"
"In post","2021","20-29","International Trade","London","Male","190","190","38550","36160"
"In post","2021","20-29","International Trade","Outside London","Female","25","25","[c]","[c]"
"In post","2021","20-29","International Trade","Outside London","Male","35","35","31890","31800"
"In post","2021","20-29","International Trade","Overseas","Female","10","10","[c]","[c]"
"In post","2021","20-29","International Trade","Overseas","Male","10","10","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","London","Female","50","45","31760","30760"
"In post","2021","20-29","Knowledge and Information Management","London","Male","35","35","30640","29300"
"In post","2021","20-29","Knowledge and Information Management","Outside London","Female","100","100","26540","26350"
"In post","2021","20-29","Knowledge and Information Management","Outside London","Male","100","100","27380","26670"
"In post","2021","20-29","Knowledge and Information Management","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Legal","London","Female","290","290","38220","36160"
"In post","2021","20-29","Legal","London","Male","215","215","36170","30850"
"In post","2021","20-29","Legal","Outside London","Female","440","440","31520","26430"
"In post","2021","20-29","Legal","Outside London","Male","285","285","30050","25560"
"In post","2021","20-29","Medicine","London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Medicine","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Outside London","Female","100","95","28140","26970"
"In post","2021","20-29","Medicine","Outside London","Male","30","25","[c]","[c]"
"In post","2021","20-29","Medicine","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","London","Female","2745","2710","29990","28670"
"In post","2021","20-29","Operational Delivery","London","Male","1635","1615","30500","29080"
"In post","2021","20-29","Operational Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Outside London","Female","13045","12625","24130","22920"
"In post","2021","20-29","Operational Delivery","Outside London","Male","10165","10035","24540","24130"
"In post","2021","20-29","Operational Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Overseas","Male","5","5","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Unknown","Female","5","5","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Unknown","Male","10","10","[c]","[c]"
"In post","2021","20-29","Operational Research","London","Female","60","60","36990","36160"
"In post","2021","20-29","Operational Research","London","Male","85","85","38080","36160"
"In post","2021","20-29","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Outside London","Female","75","75","31380","31550"
"In post","2021","20-29","Operational Research","Outside London","Male","115","115","31920","28650"
"In post","2021","20-29","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","London","Female","520","520","32960","30270"
"In post","2021","20-29","Other","London","Male","390","390","32880","28880"
"In post","2021","20-29","Other","Outside London","Female","740","720","24020","21160"
"In post","2021","20-29","Other","Outside London","Male","580","575","24410","22600"
"In post","2021","20-29","Other","Overseas","Female","15","15","[c]","[c]"
"In post","2021","20-29","Other","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Unknown","Female","60","60","27960","28980"
"In post","2021","20-29","Other","Unknown","Male","305","305","29220","28980"
"In post","2021","20-29","Planning","London","Female","10","10","[c]","[c]"
"In post","2021","20-29","Planning","London","Male","20","20","[c]","[c]"
"In post","2021","20-29","Planning","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Planning","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","London","Female","3500","3485","39250","35620"
"In post","2021","20-29","Policy","London","Male","2770","2765","40040","36360"
"In post","2021","20-29","Policy","Outside London","Female","670","660","31430","29730"
"In post","2021","20-29","Policy","Outside London","Male","445","445","32470","30040"
"In post","2021","20-29","Policy","Overseas","Female","95","95","37510","34220"
"In post","2021","20-29","Policy","Overseas","Male","75","75","36600","33860"
"In post","2021","20-29","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","London","Female","345","345","38030","35070"
"In post","2021","20-29","Project Delivery","London","Male","260","260","38180","35070"
"In post","2021","20-29","Project Delivery","Outside London","Female","755","745","30500","30420"
"In post","2021","20-29","Project Delivery","Outside London","Male","675","675","30490","30420"
"In post","2021","20-29","Project Delivery","Overseas","Female","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","Male","10","10","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","London","Female","40","40","33600","30460"
"In post","2021","20-29","Property","London","Male","70","70","32710","30310"
"In post","2021","20-29","Property","Outside London","Female","250","240","27610","25860"
"In post","2021","20-29","Property","Outside London","Male","255","250","27680","25860"
"In post","2021","20-29","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Psychology","London","Female","15","15","[c]","[c]"
"In post","2021","20-29","Psychology","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Psychology","Outside London","Female","320","315","27440","27380"
"In post","2021","20-29","Psychology","Outside London","Male","25","25","[c]","[c]"
"In post","2021","20-29","Science and Engineering","London","Female","190","185","33530","32650"
"In post","2021","20-29","Science and Engineering","London","Male","100","95","33890","32330"
"In post","2021","20-29","Science and Engineering","Outside London","Female","780","775","28160","27960"
"In post","2021","20-29","Science and Engineering","Outside London","Male","1645","1640","28330","28630"
"In post","2021","20-29","Science and Engineering","Overseas","Female","5","5","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Overseas","Male","15","15","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Unknown","Male","10","10","[c]","[c]"
"In post","2021","20-29","Security","London","Female","85","85","33160","31860"
"In post","2021","20-29","Security","London","Male","90","90","32520","30440"
"In post","2021","20-29","Security","Outside London","Female","215","215","25400","24620"
"In post","2021","20-29","Security","Outside London","Male","670","670","25680","25610"
"In post","2021","20-29","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","London","Female","140","140","38130","34840"
"In post","2021","20-29","Social Research","London","Male","50","50","40200","36160"
"In post","2021","20-29","Social Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","Outside London","Female","150","150","33270","30130"
"In post","2021","20-29","Social Research","Outside London","Male","70","70","33340","29540"
"In post","2021","20-29","Social Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Statistics","London","Female","165","160","37670","36160"
"In post","2021","20-29","Statistics","London","Male","160","160","37650","36160"
"In post","2021","20-29","Statistics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Statistics","Outside London","Female","170","165","32870","31810"
"In post","2021","20-29","Statistics","Outside London","Male","150","150","31910","30600"
"In post","2021","20-29","Statistics","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Tax","London","Female","120","115","38360","36160"
"In post","2021","20-29","Tax","London","Male","160","160","41290","36160"
"In post","2021","20-29","Tax","Outside London","Female","1665","1610","25620","20140"
"In post","2021","20-29","Tax","Outside London","Male","1795","1770","26220","25560"
"In post","2021","20-29","Unknown","London","Female","2785","2770","33810","31060"
"In post","2021","20-29","Unknown","London","Male","1970","1970","35230","31060"
"In post","2021","20-29","Unknown","Outside London","Female","6875","6685","26240","27570"
"In post","2021","20-29","Unknown","Outside London","Male","5540","5505","25970","27570"
"In post","2021","20-29","Unknown","Overseas","Female","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","Male","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Female","275","275","30920","29250"
"In post","2021","20-29","Unknown","Unknown","Male","215","215","30340","29250"
"In post","2021","20-29","Veterinarian","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Veterinarian","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Veterinarian","Outside London","Female","5","5","[c]","[c]"
"In post","2021","20-29","Veterinarian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","London","Female","115","110","44200","41360"
"In post","2021","30-39","Commercial","London","Male","75","75","50240","51030"
"In post","2021","30-39","Commercial","Outside London","Female","590","545","36000","34800"
"In post","2021","30-39","Commercial","Outside London","Male","485","485","37920","36970"
"In post","2021","30-39","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Overseas","Male","10","10","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","London","Female","410","395","48010","45540"
"In post","2021","30-39","Communications","London","Male","275","275","48140","44690"
"In post","2021","30-39","Communications","Outside London","Female","310","285","36060","34510"
"In post","2021","30-39","Communications","Outside London","Male","170","170","35700","33570"
"In post","2021","30-39","Corporate Finance","London","Female","15","10","[c]","[c]"
"In post","2021","30-39","Corporate Finance","London","Male","20","20","[c]","[c]"
"In post","2021","30-39","Corporate Finance","Outside London","Female","15","10","[c]","[c]"
"In post","2021","30-39","Corporate Finance","Outside London","Male","5","5","[c]","[c]"
"In post","2021","30-39","Counter Fraud","London","Female","50","50","41250","40000"
"In post","2021","30-39","Counter Fraud","London","Male","60","60","41480","40140"
"In post","2021","30-39","Counter Fraud","Outside London","Female","45","45","29630","26580"
"In post","2021","30-39","Counter Fraud","Outside London","Male","30","30","31140","33870"
"In post","2021","30-39","Digital, Data and Technology","London","Female","350","340","49560","51710"
"In post","2021","30-39","Digital, Data and Technology","London","Male","480","480","50230","47410"
"In post","2021","30-39","Digital, Data and Technology","Outside London","Female","840","795","37010","34390"
"In post","2021","30-39","Digital, Data and Technology","Outside London","Male","1635","1625","38540","36820"
"In post","2021","30-39","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Economics","London","Female","165","155","58430","58030"
"In post","2021","30-39","Economics","London","Male","270","265","58500","57970"
"In post","2021","30-39","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Economics","Outside London","Female","40","40","46000","48990"
"In post","2021","30-39","Economics","Outside London","Male","50","50","50000","50090"
"In post","2021","30-39","Economics","Overseas","Female","10","10","[c]","[c]"
"In post","2021","30-39","Economics","Overseas","Male","15","15","[c]","[c]"
"In post","2021","30-39","Finance","London","Female","290","275","50060","52670"
"In post","2021","30-39","Finance","London","Male","285","285","52500","54120"
"In post","2021","30-39","Finance","Outside London","Female","780","715","36160","33300"
"In post","2021","30-39","Finance","Outside London","Male","555","550","38480","36960"
"In post","2021","30-39","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Overseas","Male","5","5","[c]","[c]"
"In post","2021","30-39","Human Resources","London","Female","355","345","46630","42400"
"In post","2021","30-39","Human Resources","London","Male","160","160","45890","41970"
"In post","2021","30-39","Human Resources","Outside London","Female","885","800","33370","30930"
"In post","2021","30-39","Human Resources","Outside London","Male","330","330","33750","31380"
"In post","2021","30-39","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Inspector of Education and Training","London","Female","15","15","[c]","[c]"
"In post","2021","30-39","Inspector of Education and Training","London","Male","10","10","[c]","[c]"
"In post","2021","30-39","Inspector of Education and Training","Outside London","Female","35","35","55450","51360"
"In post","2021","30-39","Inspector of Education and Training","Outside London","Male","20","20","[c]","[c]"
"In post","2021","30-39","Intelligence Analysis","London","Female","150","140","41030","36260"
"In post","2021","30-39","Intelligence Analysis","London","Male","205","205","41840","37640"
"In post","2021","30-39","Intelligence Analysis","Outside London","Female","275","255","29850","26910"
"In post","2021","30-39","Intelligence Analysis","Outside London","Male","245","245","32070","30830"
"In post","2021","30-39","Intelligence Analysis","Overseas","Female","10","10","[c]","[c]"
"In post","2021","30-39","Intelligence Analysis","Overseas","Male","20","20","[c]","[c]"
"In post","2021","30-39","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Internal Audit","London","Female","15","15","[c]","[c]"
"In post","2021","30-39","Internal Audit","London","Male","15","15","[c]","[c]"
"In post","2021","30-39","Internal Audit","Outside London","Female","65","60","38990","38650"
"In post","2021","30-39","Internal Audit","Outside London","Male","40","40","41220","39590"
"In post","2021","30-39","International Trade","London","Female","145","145","50560","51970"
"In post","2021","30-39","International Trade","London","Male","175","175","51010","51970"
"In post","2021","30-39","International Trade","Outside London","Female","30","30","40080","33400"
"In post","2021","30-39","International Trade","Outside London","Male","25","25","[c]","[c]"
"In post","2021","30-39","International Trade","Overseas","Female","15","15","[c]","[c]"
"In post","2021","30-39","International Trade","Overseas","Male","45","45","52090","51770"
"In post","2021","30-39","Knowledge and Information Management","London","Female","75","70","41420","38540"
"In post","2021","30-39","Knowledge and Information Management","London","Male","65","65","42720","38040"
"In post","2021","30-39","Knowledge and Information Management","Outside London","Female","175","160","33060","31480"
"In post","2021","30-39","Knowledge and Information Management","Outside London","Male","160","160","35830","33300"
"In post","2021","30-39","Knowledge and Information Management","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","London","Female","860","810","53040","51830"
"In post","2021","30-39","Legal","London","Male","555","545","51000","51250"
"In post","2021","30-39","Legal","Outside London","Female","965","905","42420","42840"
"In post","2021","30-39","Legal","Outside London","Male","605","600","37900","31810"
"In post","2021","30-39","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Medicine","London","Female","50","45","56100","53620"
"In post","2021","30-39","Medicine","London","Male","30","25","[c]","[c]"
"In post","2021","30-39","Medicine","Outside London","Female","380","335","38950","33780"
"In post","2021","30-39","Medicine","Outside London","Male","105","100","46090","38890"
"In post","2021","30-39","Medicine","Overseas","Female","5","5","[c]","[c]"
"In post","2021","30-39","Medicine","Overseas","Male","5","5","[c]","[c]"
"In post","2021","30-39","Medicine","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Medicine","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Delivery","London","Female","2985","2785","34530","31200"
"In post","2021","30-39","Operational Delivery","London","Male","2410","2385","35710","33260"
"In post","2021","30-39","Operational Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Delivery","Outside London","Female","17405","15420","26560","24890"
"In post","2021","30-39","Operational Delivery","Outside London","Male","14720","14535","27380","25560"
"In post","2021","30-39","Operational Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Delivery","Overseas","Female","10","10","[c]","[c]"
"In post","2021","30-39","Operational Delivery","Overseas","Male","35","35","43320","33860"
"In post","2021","30-39","Operational Delivery","Unknown","Female","10","10","[c]","[c]"
"In post","2021","30-39","Operational Delivery","Unknown","Male","10","10","[c]","[c]"
"In post","2021","30-39","Operational Research","London","Female","50","45","50630","50660"
"In post","2021","30-39","Operational Research","London","Male","75","75","51590","52530"
"In post","2021","30-39","Operational Research","Outside London","Female","80","75","43120","46080"
"In post","2021","30-39","Operational Research","Outside London","Male","145","145","42070","41260"
"In post","2021","30-39","Operational Research","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Operational Research","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Other","London","Female","500","475","43010","37750"
"In post","2021","30-39","Other","London","Male","385","380","45830","39010"
"In post","2021","30-39","Other","Outside London","Female","1420","1295","27840","25270"
"In post","2021","30-39","Other","Outside London","Male","1000","995","30050","26670"
"In post","2021","30-39","Other","Overseas","Female","55","55","44590","41600"
"In post","2021","30-39","Other","Overseas","Male","25","25","[c]","[c]"
