"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","East Midlands (England)","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","Camden and City of London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","London","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","Tower Hamlets","75","75","45300","42290"
"In post","2021","Asian","Analysis","London","Westminster","215","215","44760","41760"
"In post","2021","Asian","Analysis","North East (England)","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","East Cumbria","[c]","[c]","[c]","[c]"
