"Status","Year","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","AA","1065","990","19530","20060"
"In post","2021","East Midlands (England)","AO","6935","6265","22450","21010"
"In post","2021","East Midlands (England)","EO","6120","5650","27050","27570"
"In post","2021","East Midlands (England)","G6","275","265","68790","64670"
"In post","2021","East Midlands (England)","G7","1145","1085","54780","52580"
"In post","2021","East Midlands (England)","HEO","3010","2855","32620","31870"
"In post","2021","East Midlands (England)","SCS level","90","85","90340","83850"
"In post","2021","East Midlands (England)","SEO","1740","1655","41460","39850"
"In post","2021","East Midlands (England)","Unknown","1000","915","29910","30210"
"In post","2021","East of England","AA","1370","1270","19830","20060"
"In post","2021","East of England","AO","6465","5915","24410","22150"
"In post","2021","East of England","EO","7175","6600","28230","27570"
"In post","2021","East of England","G6","290","280","69790","66560"
"In post","2021","East of England","G7","1055","1005","56060","53830"
"In post","2021","East of England","HEO","3225","3070","33580","33300"
"In post","2021","East of England","SCS level","125","120","95730","94000"
"In post","2021","East of England","SEO","1865","1780","42190","40580"
"In post","2021","East of England","Unknown","1030","945","28690","28200"
"In post","2021","London","AA","1770","1640","22200","22210"
"In post","2021","London","AO","10935","10175","26090","25110"
"In post","2021","London","EO","21305","20200","29990","30110"
"In post","2021","London","G6","8185","7860","69520","68430"
"In post","2021","London","G7","19450","18855","56730","55700"
"In post","2021","London","HEO","20140","19710","35180","35070"
"In post","2021","London","SCS level","4695","4525","90940","81900"
"In post","2021","London","SEO","13795","13445","42880","41970"
"In post","2021","London","Unknown","1650","1590","33840","33370"
"In post","2021","North East (England)","AA","1180","975","19840","20070"
"In post","2021","North East (England)","AO","12500","10755","21630","21010"
"In post","2021","North East (England)","EO","7905","7185","26810","27570"
"In post","2021","North East (England)","G6","445","435","64730","64670"
"In post","2021","North East (England)","G7","1590","1540","52020","52580"
"In post","2021","North East (England)","HEO","3800","3595","32040","31810"
"In post","2021","North East (England)","SCS level","115","115","87070","78050"
"In post","2021","North East (England)","SEO","2355","2235","39180","38630"
"In post","2021","North East (England)","Unknown","710","665","29380","28200"
"In post","2021","North West (England)","AA","1750","1570","19440","19600"
"In post","2021","North West (England)","AO","19360","17225","21720","21010"
"In post","2021","North West (England)","EO","18375","16945","26900","27570"
"In post","2021","North West (England)","G6","1095","1065","66630","64670"
"In post","2021","North West (England)","G7","3470","3345","53080","52580"
"In post","2021","North West (England)","HEO","8025","7645","32360","31810"
"In post","2021","North West (England)","SCS level","285","280","87150","80250"
"In post","2021","North West (England)","SEO","4955","4745","39720","38630"
"In post","2021","North West (England)","Unknown","2030","1890","30610","30210"
"In post","2021","Northern Ireland","AA","495","480","19900","20310"
