"Status","Year","Age","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Female","15","15","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Female","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Communications","Male","[c]","[c]","[c]","[c]"
