"Status","Year","Disability","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Outside London","95","85","30360","30950"
"In post","2021","Declared disabled","Animal and Plant Health Agency","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Outside London","340","320","28120","25100"
"In post","2021","Declared disabled","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","London","495","480","48060","43890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Outside London","195","185","34960","33140"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","30","30","28240","29270"
"In post","2021","Declared disabled","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Outside London","70","60","32030","25000"
"In post","2021","Declared disabled","Competition and Markets Authority","London","35","35","55940","54320"
"In post","2021","Declared disabled","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Outside London","35","30","23110","22570"
"In post","2021","Declared disabled","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Outside London","40","40","37460","34800"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","105","95","37590","33550"
"In post","2021","Declared disabled","Crown Prosecution Service","London","175","160","46850","40800"
"In post","2021","Declared disabled","Crown Prosecution Service","Outside London","545","505","40660","35630"
"In post","2021","Declared disabled","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Outside London","30","30","29940","27460"
"In post","2021","Declared disabled","Defence Equipment and Support","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Outside London","1070","1025","35660","33200"
"In post","2021","Declared disabled","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Outside London","465","445","37970","37320"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","435","425","47670","41750"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","35","35","37360","30360"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","110","110","47390","40690"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","London","175","170","49060","41320"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Outside London","340","325","38080","36500"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","250","240","41990","38750"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","340","325","39280","36970"
"In post","2021","Declared disabled","Department for International Trade","London","170","170","44700","38540"
"In post","2021","Declared disabled","Department for International Trade","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Overseas","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","London","170","170","47100","44250"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","London","1540","1420","33160","31060"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","13540","11810","26310","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","140","130","30200","27570"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","London","80","80","49290","40650"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","55","55","41590","37940"
"In post","2021","Declared disabled","Disclosure Scotland","Outside London","30","30","26770","23170"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","660","540","24060","21590"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","London","50","50","31220","30780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Outside London","405","370","29020","26780"
"In post","2021","Declared disabled","Education and Skills Funding Agency","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Outside London","140","130","37990","36640"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Outside London","60","55","34870","30720"
"In post","2021","Declared disabled","FCDO Services","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Outside London","45","45","33020","28800"
"In post","2021","Declared disabled","Food Standards Scotland","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","405","395","45930","38940"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","155","150","34950","33930"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","160","160","49630","53000"
"In post","2021","Declared disabled","Forestry and Land Scotland","Outside London","40","40","28170","26530"
"In post","2021","Declared disabled","Government Actuary's Department","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","Outside London","35","35","44630","43070"
"In post","2021","Declared disabled","Government Legal Department","London","180","170","53010","52040"
"In post","2021","Declared disabled","Government Legal Department","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Outside London","305","275","38600","35910"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","London","445","415","28250","23500"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Outside London","1630","1455","22490","20100"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Outside London","470","405","30150","27130"
"In post","2021","Declared disabled","HM Prison and Probation Service","London","730","705","35410","34100"
"In post","2021","Declared disabled","HM Prison and Probation Service","Outside London","5225","4885","29950","28200"
"In post","2021","Declared disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","London","700","655","42360","37240"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","Outside London","4790","4255","29270","25560"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","London","180","180","46530","43030"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Home Office (incl. agencies)","London","1200","1110","37940","34630"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Outside London","1845","1680","27010","25120"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Overseas","20","20","[c]","[c]"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Insolvency Service","London","30","30","40800","40230"
"In post","2021","Declared disabled","Insolvency Service","Outside London","155","145","31310","28940"
