"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","40","40","37260","33350"
"In post","2021","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","5","5","[c]","[c]"
"In post","2021","Analysis","East of England","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","East Anglia","360","340","34490","30220"
"In post","2021","Analysis","East of England","Essex","25","25","43620","38630"
"In post","2021","Analysis","London","Inner London - East","690","670","50740","46820"
"In post","2021","Analysis","London","Inner London - West","2725","2650","48450","44500"
"In post","2021","Analysis","London","Outer London - South","40","35","49210","41760"
"In post","2021","Analysis","North East (England)","Northumberland and Tyne and Wear","30","30","40800","40610"
"In post","2021","Analysis","North East (England)","Tees Valley and Durham","30","30","43440","42580"
"In post","2021","Analysis","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cumbria","15","15","30110","29430"
"In post","2021","Analysis","North West (England)","Greater Manchester","230","220","38120","33270"
"In post","2021","Analysis","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Merseyside","120","110","40300","38630"
"In post","2021","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Eastern Scotland","45","45","46330","41060"
"In post","2021","Analysis","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","West Central Scotland","20","20","48600","37700"
"In post","2021","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","30","30","43450","38300"
"In post","2021","Analysis","South East (England)","Hampshire and Isle of Wight","815","780","38740","37320"
"In post","2021","Analysis","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Surrey, East and West Sussex","20","15","41990","40080"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","10","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon","15","15","33310","28680"
"In post","2021","Analysis","South West (England)","Dorset and Somerset","120","110","32950","29270"
"In post","2021","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","320","305","38980","37320"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","East Wales","1050","1000","36430","36030"
"In post","2021","Analysis","Wales","West Wales and The Valleys","35","35","30560","26780"
"In post","2021","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","West Midlands","55","50","42220","38860"
"In post","2021","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire","70","65","37020","31380"
"In post","2021","Analysis","Yorkshire and The Humber","South Yorkshire","125","115","44020","42580"
"In post","2021","Analysis","Yorkshire and The Humber","West Yorkshire","150","145","41410","40480"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","105","100","41270","39210"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","40","35","41900","38150"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","20","20","35520","28800"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","35","35","39890","37000"
"In post","2021","Commercial","East of England","East Anglia","350","335","41120","37280"
"In post","2021","Commercial","East of England","Essex","10","10","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","200","195","53290","51900"
"In post","2021","Commercial","London","Inner London - West","1460","1435","61930","54700"
