"Status","Year","Disability","Profession_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Female","45","45","26420","26670"
"In post","2021","Declared disabled","Commercial","EO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Female","35","30","55080","54540"
"In post","2021","Declared disabled","Commercial","G7","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","HEO","Female","75","70","32380","33300"
"In post","2021","Declared disabled","Commercial","HEO","Male","45","45","32040","32360"
"In post","2021","Declared disabled","Commercial","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO","Female","105","105","41660","40810"
"In post","2021","Declared disabled","Commercial","SEO","Male","75","75","42920","42080"
"In post","2021","Declared disabled","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA","Unknown","[c]","[c]","[c]","[c]"
