"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA","30","25","21950","20810"
"In post","2021","Commercial","AO","240","225","22600","21710"
"In post","2021","Commercial","EO","710","675","25970","26400"
"In post","2021","Commercial","G6","300","295","70110","68260"
"In post","2021","Commercial","G7","715","695","54330","53430"
"In post","2021","Commercial","HEO","1295","1250","32210","32730"
"In post","2021","Commercial","SCS level","100","100","89570","81130"
"In post","2021","Commercial","SEO","1750","1695","41680","40780"
"In post","2021","Commercial","Unknown","220","215","38620","37230"
"In post","2021","Communications","AA","15","15","19890","19560"
"In post","2021","Communications","AO","225","215","22400","21590"
"In post","2021","Communications","EO","635","605","27460","27140"
"In post","2021","Communications","G6","240","235","67770","67560"
"In post","2021","Communications","G7","700","675","54730","54380"
"In post","2021","Communications","HEO","1025","995","34440","33510"
"In post","2021","Communications","SCS level","115","115","86780","80910"
"In post","2021","Communications","SEO","995","970","41570","41010"
"In post","2021","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","AO","5","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","20","20","26180","26390"
"In post","2021","Corporate Finance","G6","15","15","69460","66430"
"In post","2021","Corporate Finance","G7","55","50","54640","54650"
"In post","2021","Corporate Finance","HEO","30","30","32120","29550"
"In post","2021","Corporate Finance","SCS level","10","10","95250","95400"
"In post","2021","Corporate Finance","SEO","30","30","42170","41990"
"In post","2021","Counter Fraud","AA","15","10","18720","17990"
"In post","2021","Counter Fraud","AO","40","35","21600","21430"
"In post","2021","Counter Fraud","EO","185","175","26610","26090"
"In post","2021","Counter Fraud","G6","45","45","70120","68260"
"In post","2021","Counter Fraud","G7","75","75","56720","57680"
"In post","2021","Counter Fraud","HEO","325","315","34760","34260"
"In post","2021","Counter Fraud","SCS level","10","10","91470","80000"
"In post","2021","Counter Fraud","SEO","200","190","42130","41280"
"In post","2021","Digital, Data and Technology","AA","55","55","20170","19900"
"In post","2021","Digital, Data and Technology","AO","390","375","22160","21590"
"In post","2021","Digital, Data and Technology","EO","2220","2145","27500","26670"
"In post","2021","Digital, Data and Technology","G6","705","695","68200","66970"
"In post","2021","Digital, Data and Technology","G7","2755","2710","55810","53870"
"In post","2021","Digital, Data and Technology","HEO","3380","3270","33670","33180"
"In post","2021","Digital, Data and Technology","SCS level","225","220","91190","85000"
"In post","2021","Digital, Data and Technology","SEO","3495","3420","41700","41090"
"In post","2021","Digital, Data and Technology","Unknown","65","65","36010","33400"
"In post","2021","Economics","AA","5","5","[c]","[c]"
"In post","2021","Economics","AO","85","85","22640","22500"
"In post","2021","Economics","EO","120","120","27000","26750"
"In post","2021","Economics","G6","240","225","70130","69240"
"In post","2021","Economics","G7","710","690","56060","55730"
"In post","2021","Economics","HEO","770","765","33840","33620"
"In post","2021","Economics","SCS level","95","90","88830","82390"
"In post","2021","Economics","SEO","140","135","41070","40650"
"In post","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","AA","75","60","19720","20070"
"In post","2021","Finance","AO","1090","925","21530","21440"
"In post","2021","Finance","EO","1630","1540","26570","26670"
"In post","2021","Finance","G6","590","580","68030","67470"
"In post","2021","Finance","G7","1550","1515","55670","54840"
"In post","2021","Finance","HEO","1900","1830","33590","33300"
"In post","2021","Finance","SCS level","280","275","90570","83380"
"In post","2021","Finance","SEO","1915","1855","41960","40970"
"In post","2021","Finance","Unknown","135","130","41340","39860"
"In post","2021","Human Resources","AA","70","65","19830","19560"
"In post","2021","Human Resources","AO","1140","1045","21770","21130"
"In post","2021","Human Resources","EO","1380","1300","27120","26710"
"In post","2021","Human Resources","G6","435","425","67210","66230"
"In post","2021","Human Resources","G7","1230","1185","55170","54540"
"In post","2021","Human Resources","HEO","1930","1835","33090","32960"
"In post","2021","Human Resources","SCS level","195","190","89040","82680"
"In post","2021","Human Resources","SEO","1445","1385","41860","41040"
"In post","2021","Human Resources","Unknown","40","40","41740","41030"
"In post","2021","Inspector of Education and Training","G6","145","140","80560","85550"
"In post","2021","Inspector of Education and Training","G7","370","365","73340","75500"
"In post","2021","Inspector of Education and Training","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","SCS level","10","10","131880","128660"
"In post","2021","Inspector of Education and Training","SEO","335","325","51070","51360"
"In post","2021","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","AO","130","115","23340","21900"
"In post","2021","Intelligence Analysis","EO","1565","1480","27800","27370"
"In post","2021","Intelligence Analysis","G6","100","95","67470","66230"
"In post","2021","Intelligence Analysis","G7","310","305","55720","54600"
"In post","2021","Intelligence Analysis","HEO","840","815","34180","33420"
"In post","2021","Intelligence Analysis","SCS level","25","25","80820","78490"
"In post","2021","Intelligence Analysis","SEO","430","420","42470","42230"
"In post","2021","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","AO","20","20","29060","31650"
"In post","2021","Internal Audit","EO","50","45","28360","26930"
"In post","2021","Internal Audit","G6","70","70","67260","65080"
"In post","2021","Internal Audit","G7","130","125","54410","54130"
"In post","2021","Internal Audit","HEO","175","170","34320","33930"
"In post","2021","Internal Audit","SCS level","25","25","91310","88060"
"In post","2021","Internal Audit","SEO","305","285","44070","43200"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","EO","100","95","26910","26510"
"In post","2021","International Trade","G6","170","165","63170","62170"
"In post","2021","International Trade","G7","430","425","52640","51970"
"In post","2021","International Trade","HEO","355","350","32550","32120"
"In post","2021","International Trade","SCS level","115","110","85670","75570"
"In post","2021","International Trade","SEO","300","300","38820","38540"
"In post","2021","Knowledge and Information Management","AA","5","5","[c]","[c]"
"In post","2021","Knowledge and Information Management","AO","330","315","22150","21570"
"In post","2021","Knowledge and Information Management","EO","505","480","26950","26670"
"In post","2021","Knowledge and Information Management","G6","95","90","68650","67410"
"In post","2021","Knowledge and Information Management","G7","310","290","53950","53400"
"In post","2021","Knowledge and Information Management","HEO","575","560","33370","33300"
"In post","2021","Knowledge and Information Management","SCS level","20","20","84320","78820"
"In post","2021","Knowledge and Information Management","SEO","480","460","41030","40580"
"In post","2021","Knowledge and Information Management","Unknown","60","60","47100","44000"
"In post","2021","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AO","305","270","21500","21400"
"In post","2021","Legal","EO","1940","1870","27400","25670"
"In post","2021","Legal","G6","1335","1245","69880","68110"
"In post","2021","Legal","G7","4590","4230","56380","55610"
"In post","2021","Legal","HEO","1875","1805","34260","33840"
"In post","2021","Legal","SCS level","390","375","88390","82870"
"In post","2021","Legal","SEO","1700","1555","42890","41870"
"In post","2021","Legal","Unknown","5","5","[c]","[c]"
"In post","2021","Medicine","AA","55","50","18920","18760"
"In post","2021","Medicine","AO","290","275","22690","22640"
"In post","2021","Medicine","EO","335","305","30550","30620"
"In post","2021","Medicine","G6","195","170","79280","74730"
"In post","2021","Medicine","G7","475","410","72280","76200"
"In post","2021","Medicine","HEO","490","450","36530","37890"
"In post","2021","Medicine","SCS level","420","365","106790","101230"
"In post","2021","Medicine","SEO","240","220","42980","44500"
"In post","2021","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","AA","11645","10185","20010","20600"
"In post","2021","Operational Delivery","AO","69290","62505","23450","21590"
"In post","2021","Operational Delivery","EO","45090","41840","27760","26880"
"In post","2021","Operational Delivery","G6","1625","1585","69800","67360"
"In post","2021","Operational Delivery","G7","4920","4780","55120","53430"
"In post","2021","Operational Delivery","HEO","20395","19310","33720","32740"
"In post","2021","Operational Delivery","SCS level","655","640","92990","86780"
"In post","2021","Operational Delivery","SEO","10285","9905","43020","41000"
