"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","Heterosexual / straight","275","265","44870","41760"
"In post","2021","Asian","Analysis","London","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
