"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Central Bedfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Hertfordshire","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Luton","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Luton","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Female","25","25","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Female","40","40","41040","34370"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","Male","35","35","46900","44740"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Female","20","15","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Cheshire","Cheshire East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Cheshire East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","Warrington","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Cheshire","Warrington","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","East Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","East Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","West Cumbria","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Cumbria","West Cumbria","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Derby","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Derby","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Nottingham","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Nottingham","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","South and West Derbyshire","Male","15","10","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Devon CC","Female","100","95","40920","38340"
"In post","2021","Commercial","Devon","Devon CC","Male","95","95","45130","47680"
"In post","2021","Commercial","Devon","Plymouth","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Devon","Plymouth","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Devon","Torbay","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon","Torbay","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Bournemouth and Poole","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Bournemouth and Poole","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Dorset CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Dorset CC","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Dorset and Somerset","Somerset","Female","35","35","39610","34450"
"In post","2021","Commercial","Dorset and Somerset","Somerset","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East Anglia","Breckland and South Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Breckland and South Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Cambridgeshire CC","Female","40","35","35170","34800"
"In post","2021","Commercial","East Anglia","Cambridgeshire CC","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East Anglia","North and West Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","North and West Norfolk","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Anglia","Norwich and East Norfolk","Female","45","40","35770","34800"
"In post","2021","Commercial","East Anglia","Norwich and East Norfolk","Male","50","50","35550","34800"
"In post","2021","Commercial","East Anglia","Peterborough","Female","25","25","[c]","[c]"
"In post","2021","Commercial","East Anglia","Peterborough","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Anglia","Suffolk","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East Anglia","Suffolk","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Wales","Cardiff and Vale of Glamorgan","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East Wales","Cardiff and Vale of Glamorgan","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Wales","Flintshire and Wrexham","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East Wales","Flintshire and Wrexham","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East Wales","Monmouthshire and Newport","Female","45","45","33810","30310"
"In post","2021","Commercial","East Wales","Monmouthshire and Newport","Male","50","50","37150","34800"
"In post","2021","Commercial","East Wales","Powys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Wales","Powys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Female","5","5","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","City of Edinburgh","Female","20","20","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","City of Edinburgh","Male","30","30","39230","36780"
"In post","2021","Commercial","Eastern Scotland","Clackmannanshire and Fife","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Clackmannanshire and Fife","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Falkirk","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Falkirk","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Perth and Kinross and Stirling","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Perth and Kinross and Stirling","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","West Lothian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","West Lothian","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Essex","Essex Haven Gateway","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Essex Haven Gateway","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Heart of Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Heart of Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Southend-on-Sea","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Southend-on-Sea","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","580","545","37690","34270"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","575","570","41650","38600"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Female","50","50","38230","36970"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Female","105","100","33020","34490"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","Male","75","75","34480","34800"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester North West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South East","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South West","Female","40","35","38390","38630"
"In post","2021","Commercial","Greater Manchester","Greater Manchester South West","Male","35","35","41240","38630"
"In post","2021","Commercial","Greater Manchester","Manchester","Female","80","75","40770","37100"
"In post","2021","Commercial","Greater Manchester","Manchester","Male","60","60","37860","36500"
"In post","2021","Commercial","Hampshire and Isle of Wight","Central Hampshire","Female","80","75","34220","34800"
"In post","2021","Commercial","Hampshire and Isle of Wight","Central Hampshire","Male","55","55","35440","34650"
"In post","2021","Commercial","Hampshire and Isle of Wight","Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Isle of Wight","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","North Hampshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","North Hampshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","Portsmouth","Female","45","40","35240","34500"
"In post","2021","Commercial","Hampshire and Isle of Wight","Portsmouth","Male","20","20","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","South Hampshire","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Hampshire and Isle of Wight","South Hampshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Inverness and Nairn and Moray, Badenoch and Strathspey","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Hackney and Newham","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Hackney and Newham","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Haringey and Islington","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Inner London - East","Haringey and Islington","Male","[c]","[c]","[c]","[c]"
