"Status","Year","Age","Ethnicity","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Operational Delivery","10","10","[c]","[c]"
"In post","2021","16-19","Asian","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","No function","Tax","10","10","[c]","[c]"
"In post","2021","16-19","Asian","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Operational Delivery","5","5","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Commercial","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Counter Fraud","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Grants Management","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Legal","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Tax","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Property","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Security","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Security","[c]","[c]","[c]","[c]"
