"Status","Year","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","Heterosexual / straight","2290","2220","49320","45250"
"In post","2021","Analysis","London","LGBO","225","220","46140","42020"
"In post","2021","Analysis","London","Undeclared","265","255","50330","47080"
"In post","2021","Analysis","London","Unknown","675","660","47890","43510"
"In post","2021","Analysis","Outside London","Heterosexual / straight","2360","2250","38830","37020"
"In post","2021","Analysis","Outside London","LGBO","200","200","35820","32010"
"In post","2021","Analysis","Outside London","Undeclared","230","215","38230","36030"
"In post","2021","Analysis","Outside London","Unknown","965","915","36120","31810"
"In post","2021","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Heterosexual / straight","950","935","53210","46130"
"In post","2021","Commercial","London","LGBO","60","55","47210","40980"
"In post","2021","Commercial","London","Undeclared","115","110","50130","42160"
"In post","2021","Commercial","London","Unknown","755","740","68180","62120"
"In post","2021","Commercial","Outside London","Heterosexual / straight","3190","3085","38980","35600"
"In post","2021","Commercial","Outside London","LGBO","125","125","35350","33000"
"In post","2021","Commercial","Outside London","Undeclared","455","430","37690","35130"
"In post","2021","Commercial","Outside London","Unknown","1255","1220","48960","48080"
"In post","2021","Commercial","Overseas","Heterosexual / straight","35","35","49480","42820"
"In post","2021","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Communications","London","Heterosexual / straight","1470","1435","44710","40640"
"In post","2021","Communications","London","LGBO","155","155","44410","41760"
"In post","2021","Communications","London","Undeclared","155","150","42580","40600"
"In post","2021","Communications","London","Unknown","675","655","45510","41200"
"In post","2021","Communications","Outside London","Heterosexual / straight","3290","3145","31290","28130"
"In post","2021","Communications","Outside London","LGBO","220","215","30160","26670"
"In post","2021","Communications","Outside London","Undeclared","345","320","30220","26930"
"In post","2021","Communications","Outside London","Unknown","1895","1835","29110","25560"
"In post","2021","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Heterosexual / straight","1365","1315","40160","36160"
"In post","2021","Counter Fraud","London","LGBO","85","80","38590","34500"
"In post","2021","Counter Fraud","London","Undeclared","240","230","39930","36160"
"In post","2021","Counter Fraud","London","Unknown","630","605","37020","36160"
"In post","2021","Counter Fraud","Outside London","Heterosexual / straight","4490","4200","32660","31810"
"In post","2021","Counter Fraud","Outside London","LGBO","220","215","32600","31810"
"In post","2021","Counter Fraud","Outside London","Undeclared","695","640","34130","31810"
"In post","2021","Counter Fraud","Outside London","Unknown","1890","1765","30020","27530"
