"Status","Year","Profession_of_post","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","95","95","37970","35850"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","90","85","40220","40330"
"In post","2021","Commercial","Cheshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Cheshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","Female","10","5","[c]","[c]"
"In post","2021","Commercial","Cumbria","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","Female","40","35","41460","41650"
"In post","2021","Commercial","Derbyshire and Nottinghamshire","Outside London","Male","35","35","46160","45870"
"In post","2021","Commercial","Devon","Outside London","Female","115","110","40890","38370"
"In post","2021","Commercial","Devon","Outside London","Male","105","105","44830","46100"
"In post","2021","Commercial","Dorset and Somerset","Outside London","Female","40","40","39740","34840"
"In post","2021","Commercial","Dorset and Somerset","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Commercial","East Anglia","Outside London","Female","125","120","36340","34850"
"In post","2021","Commercial","East Anglia","Outside London","Male","100","95","40660","37110"
"In post","2021","Commercial","East Wales","Outside London","Female","75","70","35610","31970"
"In post","2021","Commercial","East Wales","Outside London","Male","80","80","37620","35040"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Eastern Scotland","Outside London","Female","40","35","30850","26210"
"In post","2021","Commercial","Eastern Scotland","Outside London","Male","55","50","35540","33090"
"In post","2021","Commercial","Essex","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","745","695","37030","34500"
"In post","2021","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","685","670","40900","38240"
"In post","2021","Commercial","Greater Manchester","Outside London","Female","120","115","40160","38020"
"In post","2021","Commercial","Greater Manchester","Outside London","Male","95","95","39430","36960"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","Female","130","125","34450","34500"
"In post","2021","Commercial","Hampshire and Isle of Wight","Outside London","Male","90","90","38760","36420"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Highlands and Islands","Outside London","Female","[c]","[c]","[c]","[c]"
