"Status","Year","Age","Ethnicity","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East Midlands (England)","Male","5","5","[c]","[c]"
"In post","2021","16-19","Asian","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Asian","London","Male","10","5","[c]","[c]"
"In post","2021","16-19","Asian","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North West (England)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Asian","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","South West (England)","Female","[c]","[c]","[c]","[c]"
