"Status","Year","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","25","25","41800","35070"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","480","455","33750","29750"
"In post","2021","Analysis","Charity Commission","15","10","35830","32810"
"In post","2021","Analysis","Competition and Markets Authority","135","130","60200","56360"
"In post","2021","Analysis","Crown Prosecution Service","15","15","38790","38180"
"In post","2021","Analysis","Debt Management Office","25","25","69150","60930"
"In post","2021","Analysis","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","455","440","40290","37360"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","290","285","43370","36630"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","140","140","52490","49720"
"In post","2021","Analysis","Department for Education (excl. agencies)","410","385","44380","43020"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","75","70","38190","32840"
"In post","2021","Analysis","Department for International Trade","250","245","43170","38540"
"In post","2021","Analysis","Department for Transport (excl. agencies)","400","385","46700","43360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","290","275","52060","53360"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","60","55","31040","31860"
"In post","2021","Analysis","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","35","30","41980","38430"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","70","65","58060","58370"
"In post","2021","Analysis","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","170","160","69960","65470"
"In post","2021","Analysis","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","40","30","44880","39390"
"In post","2021","Analysis","HM Courts and Tribunals Service","10","10","43980","40480"
"In post","2021","Analysis","HM Land Registry","20","15","45890","36200"
"In post","2021","Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
