"Status","Year","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","Female","465","450","45900","41330"
"In post","2021","Commercial","London","Male","415","410","49660","45810"
"In post","2021","Commercial","Outside London","Female","2380","2245","37370","34800"
"In post","2021","Commercial","Outside London","Male","2050","2020","40720","38180"
"In post","2021","Commercial","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","30","30","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Communications","London","Female","1235","1195","45780","42200"
"In post","2021","Communications","London","Male","855","850","46940","42700"
"In post","2021","Communications","Outside London","Female","1085","1015","36450","33840"
"In post","2021","Communications","Outside London","Male","775","760","36000","33320"
"In post","2021","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Female","35","30","55120","54110"
"In post","2021","Corporate Finance","London","Male","45","45","56060","54380"
"In post","2021","Corporate Finance","Outside London","Female","55","55","38150","37320"
"In post","2021","Corporate Finance","Outside London","Male","35","35","46120","46080"
"In post","2021","Counter Fraud","London","Female","155","150","40720","34980"
"In post","2021","Counter Fraud","London","Male","240","240","45040","40590"
"In post","2021","Counter Fraud","Outside London","Female","250","230","31770","30810"
"In post","2021","Counter Fraud","Outside London","Male","245","240","36080","34390"
"In post","2021","Digital, Data and Technology","London","Female","1245","1210","47840","43960"
"In post","2021","Digital, Data and Technology","London","Male","2050","2035","50520","46140"
"In post","2021","Digital, Data and Technology","Outside London","Female","3375","3185","37980","35300"
"In post","2021","Digital, Data and Technology","Outside London","Male","6590","6495","39860","37660"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","Male","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","Female","640","620","47810","45470"
"In post","2021","Economics","London","Male","1125","1115","47900","42470"
"In post","2021","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","Female","140","135","41200","36970"
"In post","2021","Economics","Outside London","Male","210","210","43110","38630"
"In post","2021","Economics","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","Female","15","10","[c]","[c]"
"In post","2021","Economics","Overseas","Male","25","25","[c]","[c]"
"In post","2021","Finance","London","Female","1235","1185","46890","41980"
"In post","2021","Finance","London","Male","1320","1315","51290","47250"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","Female","3880","3550","35200","31810"
"In post","2021","Finance","Outside London","Male","2685","2620","39440","36780"
"In post","2021","Finance","Overseas","Female","20","20","[c]","[c]"
"In post","2021","Finance","Overseas","Male","20","20","[c]","[c]"
"In post","2021","Finance","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","Female","1635","1575","46480","41970"
"In post","2021","Human Resources","London","Male","780","765","47410","42620"
"In post","2021","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Outside London","Female","3895","3605","34690","31380"
"In post","2021","Human Resources","Outside London","Male","1515","1485","35720","32000"
"In post","2021","Human Resources","Overseas","Female","15","15","[c]","[c]"
"In post","2021","Human Resources","Overseas","Male","10","10","[c]","[c]"
"In post","2021","Human Resources","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","Female","165","160","63060","51360"
"In post","2021","Inspector of Education and Training","London","Male","65","65","74370","75500"
"In post","2021","Inspector of Education and Training","Outside London","Female","435","425","63730","64500"
"In post","2021","Inspector of Education and Training","Outside London","Male","190","185","73050","75500"
"In post","2021","Intelligence Analysis","London","Female","600","555","39550","36140"
"In post","2021","Intelligence Analysis","London","Male","820","800","41500","37640"
"In post","2021","Intelligence Analysis","Outside London","Female","930","870","29740","27370"
"In post","2021","Intelligence Analysis","Outside London","Male","975","955","31600","30690"
"In post","2021","Intelligence Analysis","Overseas","Female","30","30","42180","37110"
"In post","2021","Intelligence Analysis","Overseas","Male","40","40","45040","40580"
"In post","2021","Intelligence Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","Female","90","85","51060","49600"
"In post","2021","Internal Audit","London","Male","120","115","56020","53690"
"In post","2021","Internal Audit","Outside London","Female","310","290","41700","40080"
"In post","2021","Internal Audit","Outside London","Male","255","250","44410","42490"
"In post","2021","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","Female","500","490","46460","40780"
"In post","2021","International Trade","London","Male","575","570","48140","44030"
"In post","2021","International Trade","Outside London","Female","105","100","38890","31930"
"In post","2021","International Trade","Outside London","Male","135","135","38460","31810"
"In post","2021","International Trade","Overseas","Female","45","45","55130","55000"
"In post","2021","International Trade","Overseas","Male","110","110","57190","53750"
"In post","2021","Knowledge and Information Management","London","Female","410","380","40680","36140"
"In post","2021","Knowledge and Information Management","London","Male","335","330","42320","37920"
"In post","2021","Knowledge and Information Management","Outside London","Female","875","810","33220","30180"
"In post","2021","Knowledge and Information Management","Outside London","Male","755","740","36420","33350"
"In post","2021","Knowledge and Information Management","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Legal","London","Female","2775","2550","55510","54070"
"In post","2021","Legal","London","Male","1990","1945","53810","52100"
"In post","2021","Legal","Outside London","Female","4250","3840","44240","44730"
