"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","London","Female","155","150","45720","42020"
"In post","2021","Asian","Analysis","London","Male","165","165","44880","41760"
"In post","2021","Asian","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Female","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Female","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Male","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","Unknown","[c]","[c]","[c]","[c]"
