"Status","Year","Age","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Digital, Data & Technology","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Finance","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Finance","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Outside London","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","16-19","Finance","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Outside London","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","Grants Management","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Legal","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Legal","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","London","Heterosexual / straight","40","35","24410","24300"
"In post","2021","16-19","No function","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","No function","London","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","No function","Outside London","Heterosexual / straight","200","190","20850","20140"
"In post","2021","16-19","No function","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","16-19","No function","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","16-19","No function","Outside London","Unknown","195","185","20450","20140"
"In post","2021","16-19","Project Delivery","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","Heterosexual / straight","65","65","18240","17780"
"In post","2021","16-19","Project Delivery","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Outside London","Unknown","60","60","17380","16780"
"In post","2021","16-19","Property","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Property","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Security","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Security","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Heterosexual / straight","230","225","21970","21010"
"In post","2021","16-19","Unknown","Outside London","LGBO","30","30","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Unknown","65","65","21440","21430"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","Analysis","London","Heterosexual / straight","970","965","38920","35640"
"In post","2021","20-29","Analysis","London","LGBO","130","125","39020","36160"
"In post","2021","20-29","Analysis","London","Undeclared","90","90","37770","35740"
"In post","2021","20-29","Analysis","London","Unknown","285","285","38240","35840"
"In post","2021","20-29","Analysis","Outside London","Heterosexual / straight","590","585","32940","31810"
"In post","2021","20-29","Analysis","Outside London","LGBO","100","100","31210","29770"
"In post","2021","20-29","Analysis","Outside London","Undeclared","45","45","31360","30130"
"In post","2021","20-29","Analysis","Outside London","Unknown","270","265","30160","29540"
"In post","2021","20-29","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","London","Heterosexual / straight","130","130","36910","34320"
"In post","2021","20-29","Commercial","London","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Commercial","London","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Commercial","London","Unknown","100","100","47870","52930"
"In post","2021","20-29","Commercial","Outside London","Heterosexual / straight","430","425","29660","27890"
"In post","2021","20-29","Commercial","Outside London","LGBO","35","35","27950","26670"
"In post","2021","20-29","Commercial","Outside London","Undeclared","35","35","30120","27740"
"In post","2021","20-29","Commercial","Outside London","Unknown","145","145","30370","28410"
"In post","2021","20-29","Commercial","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","London","Heterosexual / straight","355","355","36140","34670"
"In post","2021","20-29","Communications","London","LGBO","45","45","37570","35750"
"In post","2021","20-29","Communications","London","Undeclared","40","40","35830","34710"
"In post","2021","20-29","Communications","London","Unknown","240","235","35440","34550"
"In post","2021","20-29","Communications","Outside London","Heterosexual / straight","650","645","27580","25560"
"In post","2021","20-29","Communications","Outside London","LGBO","80","80","27640","25560"
"In post","2021","20-29","Communications","Outside London","Undeclared","40","40","27650","25560"
"In post","2021","20-29","Communications","Outside London","Unknown","620","615","26640","25560"
"In post","2021","20-29","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","Heterosexual / straight","165","165","33160","29570"
"In post","2021","20-29","Counter Fraud","London","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Counter Fraud","London","Unknown","100","100","32850","29570"
"In post","2021","20-29","Counter Fraud","Outside London","Heterosexual / straight","405","400","28980","25560"
"In post","2021","20-29","Counter Fraud","Outside London","LGBO","35","35","28120","25560"
"In post","2021","20-29","Counter Fraud","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Outside London","Unknown","330","325","27090","25560"
"In post","2021","20-29","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Debt","London","Unknown","35","30","27380","24120"
"In post","2021","20-29","Debt","Outside London","Heterosexual / straight","335","325","21400","20140"
"In post","2021","20-29","Debt","Outside London","LGBO","55","55","21380","20140"
"In post","2021","20-29","Debt","Outside London","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Debt","Outside London","Unknown","600","585","20660","20140"
"In post","2021","20-29","Digital, Data & Technology","London","Heterosexual / straight","330","330","39190","36160"
"In post","2021","20-29","Digital, Data & Technology","London","LGBO","65","65","41100","40170"
"In post","2021","20-29","Digital, Data & Technology","London","Undeclared","40","40","38790","37100"
"In post","2021","20-29","Digital, Data & Technology","London","Unknown","175","175","38220","34030"
"In post","2021","20-29","Digital, Data & Technology","Outside London","Heterosexual / straight","690","685","31410","31040"
"In post","2021","20-29","Digital, Data & Technology","Outside London","LGBO","80","80","31890","31810"
"In post","2021","20-29","Digital, Data & Technology","Outside London","Undeclared","75","75","30570","29350"
"In post","2021","20-29","Digital, Data & Technology","Outside London","Unknown","595","590","30430","29760"
"In post","2021","20-29","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","London","Heterosexual / straight","285","285","39710","36420"
"In post","2021","20-29","Finance","London","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Finance","London","Undeclared","25","25","[c]","[c]"
"In post","2021","20-29","Finance","London","Unknown","140","140","36830","32970"
"In post","2021","20-29","Finance","Outside London","Heterosexual / straight","515","510","29160","26670"
"In post","2021","20-29","Finance","Outside London","LGBO","45","45","29360","26670"
"In post","2021","20-29","Finance","Outside London","Undeclared","40","40","26890","25560"
"In post","2021","20-29","Finance","Outside London","Unknown","240","230","26870","24680"
"In post","2021","20-29","Finance","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Grants Management","Outside London","Heterosexual / straight","50","50","22800","21050"
"In post","2021","20-29","Grants Management","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Grants Management","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Grants Management","Outside London","Unknown","180","175","22160","21050"
"In post","2021","20-29","Human Resources","London","Heterosexual / straight","385","380","35550","32260"
"In post","2021","20-29","Human Resources","London","LGBO","70","70","38000","34280"
"In post","2021","20-29","Human Resources","London","Undeclared","25","20","[c]","[c]"
"In post","2021","20-29","Human Resources","London","Unknown","100","100","34020","32000"
"In post","2021","20-29","Human Resources","Outside London","Heterosexual / straight","580","570","27500","25560"
"In post","2021","20-29","Human Resources","Outside London","LGBO","55","55","27110","25380"
"In post","2021","20-29","Human Resources","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Human Resources","Outside London","Unknown","180","175","26100","24160"
"In post","2021","20-29","Human Resources","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Internal Audit","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Legal","London","Heterosexual / straight","500","495","34310","29570"
"In post","2021","20-29","Legal","London","LGBO","70","70","35270","30850"
"In post","2021","20-29","Legal","London","Undeclared","45","45","33460","29280"
"In post","2021","20-29","Legal","London","Unknown","130","130","31660","29570"
"In post","2021","20-29","Legal","Outside London","Heterosexual / straight","680","670","29100","25480"
"In post","2021","20-29","Legal","Outside London","LGBO","55","55","26030","24000"
"In post","2021","20-29","Legal","Outside London","Undeclared","230","225","24930","22820"
"In post","2021","20-29","Legal","Outside London","Unknown","145","140","27920","25560"
"In post","2021","20-29","No function","London","Heterosexual / straight","6630","6590","36280","33570"
"In post","2021","20-29","No function","London","LGBO","960","955","37800","34280"
"In post","2021","20-29","No function","London","Undeclared","775","765","36740","33620"
"In post","2021","20-29","No function","London","Unknown","3690","3680","33970","32000"
"In post","2021","20-29","No function","Outside London","Heterosexual / straight","13890","13605","25580","24440"
"In post","2021","20-29","No function","Outside London","LGBO","1515","1495","25320","24120"
"In post","2021","20-29","No function","Outside London","Undeclared","975","955","26060","24920"
"In post","2021","20-29","No function","Outside London","Unknown","7050","6900","24180","22430"
"In post","2021","20-29","No function","Overseas","Heterosexual / straight","110","110","36310","33860"
"In post","2021","20-29","No function","Overseas","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","No function","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","No function","Overseas","Unknown","40","40","37960","38300"
"In post","2021","20-29","No function","Unknown","Heterosexual / straight","30","30","38180","34550"
"In post","2021","20-29","No function","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","No function","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","No function","Unknown","Unknown","305","305","30690","29250"
"In post","2021","20-29","Project Delivery","London","Heterosexual / straight","540","540","38510","36160"
"In post","2021","20-29","Project Delivery","London","LGBO","70","70","41060","37640"
"In post","2021","20-29","Project Delivery","London","Undeclared","40","40","40290","40050"
"In post","2021","20-29","Project Delivery","London","Unknown","240","240","38720","38600"
"In post","2021","20-29","Project Delivery","Outside London","Heterosexual / straight","2355","2335","28590","27540"
"In post","2021","20-29","Project Delivery","Outside London","LGBO","165","165","27900","27540"
"In post","2021","20-29","Project Delivery","Outside London","Undeclared","190","190","29780","28920"
"In post","2021","20-29","Project Delivery","Outside London","Unknown","560","555","29000","28360"
"In post","2021","20-29","Project Delivery","Overseas","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","London","Heterosexual / straight","80","75","34050","30850"
"In post","2021","20-29","Property","London","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Property","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","London","Unknown","45","45","32420","30500"
"In post","2021","20-29","Property","Outside London","Heterosexual / straight","415","405","26770","25860"
"In post","2021","20-29","Property","Outside London","LGBO","35","35","25340","24620"
"In post","2021","20-29","Property","Outside London","Undeclared","35","35","28180","28650"
"In post","2021","20-29","Property","Outside London","Unknown","325","310","25310","24500"
"In post","2021","20-29","Property","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","London","Heterosexual / straight","150","150","33390","32190"
"In post","2021","20-29","Security","London","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Security","London","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Security","London","Unknown","45","45","35470","31820"
"In post","2021","20-29","Security","Outside London","Heterosexual / straight","570","570","25250","25400"
"In post","2021","20-29","Security","Outside London","LGBO","45","45","25440","25680"
"In post","2021","20-29","Security","Outside London","Undeclared","45","45","28900","26980"
"In post","2021","20-29","Security","Outside London","Unknown","330","330","25320","25540"
"In post","2021","20-29","Security","Overseas","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Security","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","London","Heterosexual / straight","3180","3155","33750","31060"
"In post","2021","20-29","Unknown","London","LGBO","275","275","35330","31060"
"In post","2021","20-29","Unknown","London","Undeclared","260","260","35950","31260"
"In post","2021","20-29","Unknown","London","Unknown","775","775","35120","31060"
"In post","2021","20-29","Unknown","Outside London","Heterosexual / straight","10855","10615","25740","25040"
"In post","2021","20-29","Unknown","Outside London","LGBO","1275","1260","26020","27150"
"In post","2021","20-29","Unknown","Outside London","Undeclared","735","715","25760","25040"
"In post","2021","20-29","Unknown","Outside London","Unknown","2510","2445","25860","26160"
"In post","2021","20-29","Unknown","Overseas","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Heterosexual / straight","105","105","27490","27570"
"In post","2021","20-29","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Unknown","385","385","29080","28980"
"In post","2021","30-39","Analysis","London","Heterosexual / straight","605","585","54880","54760"
"In post","2021","30-39","Analysis","London","LGBO","55","50","55910","57620"
"In post","2021","30-39","Analysis","London","Undeclared","70","65","53960","55890"
"In post","2021","30-39","Analysis","London","Unknown","185","180","50650","53360"
"In post","2021","30-39","Analysis","Outside London","Heterosexual / straight","725","690","39490","37320"
"In post","2021","30-39","Analysis","Outside London","LGBO","65","60","38670","37020"
"In post","2021","30-39","Analysis","Outside London","Undeclared","80","75","37820","37300"
"In post","2021","30-39","Analysis","Outside London","Unknown","280","270","36370","35900"
"In post","2021","30-39","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","London","Heterosexual / straight","205","200","50060","48160"
"In post","2021","30-39","Commercial","London","LGBO","10","10","[c]","[c]"
"In post","2021","30-39","Commercial","London","Undeclared","15","15","[c]","[c]"
"In post","2021","30-39","Commercial","London","Unknown","190","185","61930","61710"
"In post","2021","30-39","Commercial","Outside London","Heterosexual / straight","720","690","36130","34800"
"In post","2021","30-39","Commercial","Outside London","LGBO","40","40","34930","32360"
"In post","2021","30-39","Commercial","Outside London","Undeclared","75","70","34620","34800"
"In post","2021","30-39","Commercial","Outside London","Unknown","260","250","46030","44450"
"In post","2021","30-39","Commercial","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","30-39","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","London","Heterosexual / straight","460","450","47740","45200"
"In post","2021","30-39","Communications","London","LGBO","55","55","45910","44310"
"In post","2021","30-39","Communications","London","Undeclared","45","45","48330","44500"
"In post","2021","30-39","Communications","London","Unknown","200","195","48290","45510"
"In post","2021","30-39","Communications","Outside London","Heterosexual / straight","950","915","30490","28680"
"In post","2021","30-39","Communications","Outside London","LGBO","65","60","30630","27180"
"In post","2021","30-39","Communications","Outside London","Undeclared","90","85","28750","25560"
"In post","2021","30-39","Communications","Outside London","Unknown","595","575","29480","25560"
"In post","2021","30-39","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","London","Heterosexual / straight","280","275","39300","36160"
"In post","2021","30-39","Counter Fraud","London","LGBO","20","20","[c]","[c]"
"In post","2021","30-39","Counter Fraud","London","Undeclared","30","30","36950","35380"
"In post","2021","30-39","Counter Fraud","London","Unknown","120","120","37150","36160"
"In post","2021","30-39","Counter Fraud","Outside London","Heterosexual / straight","1005","975","31730","31810"
"In post","2021","30-39","Counter Fraud","Outside London","LGBO","75","70","32140","31000"
"In post","2021","30-39","Counter Fraud","Outside London","Undeclared","95","90","32000","31810"
"In post","2021","30-39","Counter Fraud","Outside London","Unknown","435","425","29210","25560"
"In post","2021","30-39","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","30-39","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Debt","London","Unknown","20","20","[c]","[c]"
"In post","2021","30-39","Debt","Outside London","Heterosexual / straight","395","355","22530","20140"
"In post","2021","30-39","Debt","Outside London","LGBO","25","25","[c]","[c]"
"In post","2021","30-39","Debt","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2021","30-39","Debt","Outside London","Unknown","375","355","21150","20140"
"In post","2021","30-39","Digital, Data & Technology","London","Heterosexual / straight","595","585","50240","53820"
"In post","2021","30-39","Digital, Data & Technology","London","LGBO","75","75","51900","54700"
"In post","2021","30-39","Digital, Data & Technology","London","Undeclared","80","80","51780","54700"
"In post","2021","30-39","Digital, Data & Technology","London","Unknown","225","225","51180","52850"
"In post","2021","30-39","Digital, Data & Technology","Outside London","Heterosexual / straight","1370","1340","37420","35690"
"In post","2021","30-39","Digital, Data & Technology","Outside London","LGBO","115","110","37610","36030"
"In post","2021","30-39","Digital, Data & Technology","Outside London","Undeclared","165","160","38940","36160"
"In post","2021","30-39","Digital, Data & Technology","Outside London","Unknown","825","805","37670","36740"
