"Status","Year","Age","Disability","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Heterosexual / straight","30","30","20830","21010"
"In post","2021","16-19","Declared disabled","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Heterosexual / straight","85","85","25630","25170"
"In post","2021","16-19","Declared non-disabled","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Outside London","Heterosexual / straight","525","510","21050","21010"
"In post","2021","16-19","Declared non-disabled","Outside London","LGBO","35","35","21260","21010"
"In post","2021","16-19","Declared non-disabled","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","London","Unknown","35","35","24190","24300"
"In post","2021","16-19","Unknown","Outside London","Heterosexual / straight","55","55","21440","21430"
"In post","2021","16-19","Unknown","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Outside London","Unknown","410","390","20310","20140"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","40","40","18910","15940"
"In post","2021","20-29","Declared disabled","London","Heterosexual / straight","970","960","35100","33050"
"In post","2021","20-29","Declared disabled","London","LGBO","315","310","35580","32560"
"In post","2021","20-29","Declared disabled","London","Undeclared","115","115","34960","32420"
"In post","2021","20-29","Declared disabled","London","Unknown","45","45","36320","33570"
"In post","2021","20-29","Declared disabled","Outside London","Heterosexual / straight","2395","2345","26340","25560"
"In post","2021","20-29","Declared disabled","Outside London","LGBO","695","680","25860","25210"
"In post","2021","20-29","Declared disabled","Outside London","Undeclared","220","210","26420","25410"
"In post","2021","20-29","Declared disabled","Outside London","Unknown","135","130","25710","25750"
"In post","2021","20-29","Declared disabled","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","London","Heterosexual / straight","11065","10995","36080","33570"
"In post","2021","20-29","Declared non-disabled","London","LGBO","1195","1190","38220","34710"
"In post","2021","20-29","Declared non-disabled","London","Undeclared","825","820","36850","33930"
"In post","2021","20-29","Declared non-disabled","London","Unknown","305","305","36160","34240"
"In post","2021","20-29","Declared non-disabled","Outside London","Heterosexual / straight","27345","26830","26250","25560"
"In post","2021","20-29","Declared non-disabled","Outside London","LGBO","2450","2420","26120","25560"
"In post","2021","20-29","Declared non-disabled","Outside London","Undeclared","1330","1305","26420","25550"
"In post","2021","20-29","Declared non-disabled","Outside London","Unknown","1620","1590","26650","25780"
"In post","2021","20-29","Declared non-disabled","Overseas","Heterosexual / straight","160","160","35680","33860"
"In post","2021","20-29","Declared non-disabled","Overseas","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Overseas","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Unknown","Heterosexual / straight","130","130","30090","27570"
"In post","2021","20-29","Declared non-disabled","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","London","Heterosexual / straight","425","425","35240","32830"
"In post","2021","20-29","Undeclared","London","LGBO","90","90","35900","33570"
"In post","2021","20-29","Undeclared","London","Undeclared","310","305","37690","34940"
"In post","2021","20-29","Undeclared","London","Unknown","260","260","37240","34710"
"In post","2021","20-29","Undeclared","Outside London","Heterosexual / straight","810","795","26420","26350"
"In post","2021","20-29","Undeclared","Outside London","LGBO","175","170","26080","26170"
"In post","2021","20-29","Undeclared","Outside London","Undeclared","555","545","27080","26670"
"In post","2021","20-29","Undeclared","Outside London","Unknown","115","110","26390","27570"
"In post","2021","20-29","Undeclared","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
