"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","London","90","90","46470","44020"
"In post","2021","Asian","Analysis","Economics","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","Outside London","10","5","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","London","85","80","44160","41760"
"In post","2021","Asian","Analysis","Statistics","Outside London","40","40","35900","32010"
"In post","2021","Asian","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","London","75","75","41070","37170"
"In post","2021","Asian","Commercial","Commercial","Outside London","80","80","36240","35530"
"In post","2021","Asian","Commercial","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","London","30","30","51070","42040"
"In post","2021","Asian","Commercial","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Tax","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","London","115","115","41520","36660"
"In post","2021","Asian","Communications","Communications","Outside London","35","35","34600","32010"
"In post","2021","Asian","Communications","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","Outside London","95","95","29480","31810"
"In post","2021","Asian","Communications","Other","London","45","45","22430","20000"
"In post","2021","Asian","Communications","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tax","Outside London","140","135","27690","25560"
"In post","2021","Asian","Communications","Unknown","London","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Outside London","30","30","28150","25560"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","London","25","25","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Intelligence Analysis","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Legal","London","80","80","33290","29570"
"In post","2021","Asian","Counter Fraud","Legal","Outside London","80","80","28060","25560"
"In post","2021","Asian","Counter Fraud","Operational Delivery","London","65","60","30890","29570"
"In post","2021","Asian","Counter Fraud","Operational Delivery","Outside London","140","135","27790","25560"
"In post","2021","Asian","Counter Fraud","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Other","London","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Other","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Tax","London","75","70","38790","36160"
"In post","2021","Asian","Counter Fraud","Tax","Outside London","75","75","33410","31810"
"In post","2021","Asian","Counter Fraud","Unknown","London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Operational Delivery","London","125","105","27300","25630"
"In post","2021","Asian","Debt","Operational Delivery","Outside London","170","150","21960","20140"
"In post","2021","Asian","Debt","Tax","London","10","10","[c]","[c]"
"In post","2021","Asian","Debt","Tax","Outside London","40","35","20140","20140"
"In post","2021","Asian","Debt","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Digital, Data and Technology","London","300","295","44980","41250"
"In post","2021","Asian","Digital, Data & Technology","Digital, Data and Technology","Outside London","305","300","36380","33000"
"In post","2021","Asian","Digital, Data & Technology","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Operational Delivery","London","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Operational Delivery","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Science and Engineering","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Security","London","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Security","Outside London","[c]","[c]","[c]","[c]"
