"Status","Year","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Female","12015","10755","28680","27130"
"In post","2021","East Midlands (England)","Male","9350","9010","30670","27570"
"In post","2021","East of England","Female","12170","10955","29650","27570"
"In post","2021","East of England","Male","10420","10030","32060","29290"
"In post","2021","London","Female","55255","52195","41930","36160"
"In post","2021","London","Male","46645","45780","45040","39430"
"In post","2021","London","Unknown","25","25","[c]","[c]"
"In post","2021","North East (England)","Female","18045","15515","27210","25550"
"In post","2021","North East (England)","Male","12565","11985","29570","26780"
"In post","2021","North West (England)","Female","34130","30415","28630","26550"
"In post","2021","North West (England)","Male","25215","24295","30620","27570"
"In post","2021","Northern Ireland","Female","1755","1590","28400","25560"
"In post","2021","Northern Ireland","Male","2060","2005","27630","24890"
"In post","2021","Overseas","Female","1500","1490","49160","46620"
"In post","2021","Overseas","Male","2255","2250","50540","50430"
"In post","2021","Scotland","Female","25650","23095","31200","27570"
"In post","2021","Scotland","Male","21945","21130","33280","29190"
"In post","2021","South East (England)","Female","21300","19215","30150","27570"
"In post","2021","South East (England)","Male","20460","19645","32860","29810"
"In post","2021","South East (England)","Unknown","10","10","[c]","[c]"
"In post","2021","South West (England)","Female","21425","19355","32040","27570"
"In post","2021","South West (England)","Male","23755","23100","36310","33290"
"In post","2021","Unknown","Female","1200","1130","33020","29250"
"In post","2021","Unknown","Male","2530","2515","36930","32700"
"In post","2021","Wales","Female","20665","18365","29550","26780"
"In post","2021","Wales","Male","15405","14875","32590","27570"
"In post","2021","Wales","Unknown","20","20","[c]","[c]"
"In post","2021","West Midlands (England)","Female","17500","15685","29290","27570"
"In post","2021","West Midlands (England)","Male","12995","12590","31400","27570"
"In post","2021","Yorkshire and The Humber","Female","20060","17850","30490","27570"
"In post","2021","Yorkshire and The Humber","Male","16550","15965","32090","27570"
"Leaver CS","2021","East Midlands (England)","Female","875","[c]","25960","21580"
"Leaver CS","2021","East Midlands (England)","Male","715","[c]","28570","26890"
"Leaver CS","2021","East of England","Female","955","[c]","27830","25070"
"Leaver CS","2021","East of England","Male","825","[c]","32760","27570"
"Leaver CS","2021","East of England","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","London","Female","2720","[c]","39200","31620"
"Leaver CS","2021","London","Male","2520","[c]","43200","35070"
"Leaver CS","2021","London","Unknown","80","[c]","46580","40340"
"Leaver CS","2021","North East (England)","Female","1000","[c]","25870","21010"
"Leaver CS","2021","North East (England)","Male","675","[c]","27740","21300"
"Leaver CS","2021","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","1550","[c]","27280","22350"
"Leaver CS","2021","North West (England)","Male","1210","[c]","29160","25670"
"Leaver CS","2021","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","110","[c]","27390","22330"
"Leaver CS","2021","Northern Ireland","Male","90","[c]","27540","21430"
"Leaver CS","2021","Overseas","Female","70","[c]","38340","36960"
"Leaver CS","2021","Overseas","Male","65","[c]","47060","43210"
"Leaver CS","2021","Scotland","Female","1200","[c]","30500","26140"
"Leaver CS","2021","Scotland","Male","1135","[c]","33870","29190"
"Leaver CS","2021","South East (England)","Female","1300","[c]","28220","24500"
