"Status","Year","Age","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","5","5","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","10","10","20130","19340"
"In post","2021","16-19","Digital, Data and Technology","Wales","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","25","25","26140","26330"
"In post","2021","16-19","Economics","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","10","5","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","20","20","19630","19040"
"In post","2021","16-19","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","25","25","20850","20600"
"In post","2021","16-19","Operational Delivery","East of England","35","35","22390","21430"
"In post","2021","16-19","Operational Delivery","London","40","35","22700","22680"
"In post","2021","16-19","Operational Delivery","North East (England)","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","50","45","20580","20880"
"In post","2021","16-19","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","30","30","21230","20810"
"In post","2021","16-19","Operational Delivery","South East (England)","65","65","22080","21430"
"In post","2021","16-19","Operational Delivery","South West (England)","15","15","20320","19630"
"In post","2021","16-19","Operational Delivery","Wales","75","65","20060","20140"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","30","30","21050","20600"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","35","35","20860","20600"
"In post","2021","16-19","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","10","10","26740","27930"
"In post","2021","16-19","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","5","5","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","25","25","18230","17780"
"In post","2021","16-19","Other","Unknown","35","35","18640","15940"
"In post","2021","16-19","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","25","25","25350","24540"
"In post","2021","16-19","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","[c]","[c]","[c]","[c]"
