"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","Female","40","35","45970","52530"
"In post","2021","Asian","Analysis","Economics","Male","70","70","44380","39180"
"In post","2021","Asian","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Female","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","Female","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Other","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","Female","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","Female","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","Female","60","60","42160","38630"
"In post","2021","Asian","Analysis","Statistics","Male","65","60","40850","40000"
"In post","2021","Asian","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","Female","[c]","[c]","[c]","[c]"
