"Status","Year","Disability","Ethnicity","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Female","Heterosexual / straight","1310","1170","31770","29080"
"In post","2021","Declared disabled","Asian","Female","LGBO","50","45","31600","28090"
"In post","2021","Declared disabled","Asian","Female","Undeclared","115","105","29160","27570"
"In post","2021","Declared disabled","Asian","Female","Unknown","110","90","28000","27570"
"In post","2021","Declared disabled","Asian","Male","Heterosexual / straight","980","945","32360","29290"
"In post","2021","Declared disabled","Asian","Male","LGBO","50","50","33570","29850"
"In post","2021","Declared disabled","Asian","Male","Undeclared","60","60","27890","27380"
"In post","2021","Declared disabled","Asian","Male","Unknown","85","80","29120","27570"
"In post","2021","Declared disabled","Asian","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Female","Heterosexual / straight","1120","1050","32090","30330"
"In post","2021","Declared disabled","Black","Female","LGBO","50","50","32570","29880"
"In post","2021","Declared disabled","Black","Female","Undeclared","85","80","30520","29970"
"In post","2021","Declared disabled","Black","Female","Unknown","75","65","30030","30330"
"In post","2021","Declared disabled","Black","Male","Heterosexual / straight","380","375","32190","30160"
"In post","2021","Declared disabled","Black","Male","LGBO","35","35","37180","30280"
"In post","2021","Declared disabled","Black","Male","Undeclared","30","30","32280","32320"
"In post","2021","Declared disabled","Black","Male","Unknown","40","35","31180","31060"
"In post","2021","Declared disabled","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Female","Heterosexual / straight","40","35","30690","29020"
"In post","2021","Declared disabled","Chinese","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Female","Heterosexual / straight","525","480","32790","28400"
"In post","2021","Declared disabled","Mixed","Female","LGBO","90","85","31620","27760"
"In post","2021","Declared disabled","Mixed","Female","Undeclared","70","65","31870","28130"
"In post","2021","Declared disabled","Mixed","Female","Unknown","45","40","32410","30110"
