"Status","Year","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","East Midlands (England)","1700","1530","27030","25560"
"In post","2021","Asian","East of England","1125","1015","30360","27570"
"In post","2021","Asian","London","13560","12805","37040","31880"
"In post","2021","Asian","North East (England)","395","360","27830","24880"
"In post","2021","Asian","North West (England)","2570","2370","27670","25560"
"In post","2021","Asian","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","150","150","46340","41410"
"In post","2021","Asian","Scotland","510","470","31930","27570"
"In post","2021","Asian","South East (England)","1380","1270","30230","27780"
"In post","2021","Asian","South West (England)","780","735","34300","31310"
"In post","2021","Asian","Unknown","170","150","29630","27570"
"In post","2021","Asian","Wales","425","400","30150","25560"
"In post","2021","Asian","West Midlands (England)","4070","3785","27830","26120"
"In post","2021","Asian","Yorkshire and The Humber","2315","2130","28050","25860"
"In post","2021","Black","East Midlands (England)","510","475","27140","26310"
"In post","2021","Black","East of England","595","570","30710","29290"
"In post","2021","Black","London","9965","9625","34560","31060"
"In post","2021","Black","North East (England)","145","135","27610","25560"
"In post","2021","Black","North West (England)","725","685","28560","27370"
"In post","2021","Black","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Black","Overseas","65","65","41950","37500"
"In post","2021","Black","Scotland","230","220","32030","27570"
"In post","2021","Black","South East (England)","845","805","30420","29290"
"In post","2021","Black","South West (England)","535","515","32500","30710"
"In post","2021","Black","Unknown","55","55","30280","29870"
"In post","2021","Black","Wales","190","180","28720","26300"
"In post","2021","Black","West Midlands (England)","1200","1125","28220","26990"
"In post","2021","Black","Yorkshire and The Humber","525","495","29250","27570"
"In post","2021","Chinese","East Midlands (England)","30","30","35180","27570"
"In post","2021","Chinese","East of England","40","40","37140","29290"
"In post","2021","Chinese","London","600","580","43240","39240"
"In post","2021","Chinese","North East (England)","50","50","27900","25560"
"In post","2021","Chinese","North West (England)","150","140","29120","25360"
"In post","2021","Chinese","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","10","10","[c]","[c]"
"In post","2021","Chinese","Scotland","50","45","31300","26580"
"In post","2021","Chinese","South East (England)","100","90","31400","28970"
"In post","2021","Chinese","South West (England)","50","50","30920","28250"
"In post","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Wales","65","65","31560","29540"
"In post","2021","Chinese","West Midlands (England)","45","40","29960","27570"
"In post","2021","Chinese","Yorkshire and The Humber","55","50","28840","25040"
"In post","2021","Mixed","East Midlands (England)","340","315","29990","27570"
"In post","2021","Mixed","East of England","420","395","30630","29040"
"In post","2021","Mixed","London","3405","3295","40840","35590"
"In post","2021","Mixed","North East (England)","225","210","29310","27230"
"In post","2021","Mixed","North West (England)","760","710","29330","26160"
"In post","2021","Mixed","Northern Ireland","15","15","[c]","[c]"
"In post","2021","Mixed","Overseas","110","110","48540","48210"
"In post","2021","Mixed","Scotland","260","250","34960","29120"
"In post","2021","Mixed","South East (England)","670","635","31410","29070"
"In post","2021","Mixed","South West (England)","610","575","33110","29200"
"In post","2021","Mixed","Unknown","30","25","[c]","[c]"
"In post","2021","Mixed","Wales","380","360","30770","27570"
"In post","2021","Mixed","West Midlands (England)","535","495","28860","27130"
"In post","2021","Mixed","Yorkshire and The Humber","505","475","31300","27570"
"In post","2021","Other ethnicity","East Midlands (England)","70","65","31780","27570"
"In post","2021","Other ethnicity","East of England","125","115","34220","29290"
"In post","2021","Other ethnicity","London","1270","1210","41630","35200"
"In post","2021","Other ethnicity","North East (England)","50","45","29250","25000"
"In post","2021","Other ethnicity","North West (England)","170","160","31370","27570"
"In post","2021","Other ethnicity","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Overseas","35","35","47340","45120"
"In post","2021","Other ethnicity","Scotland","95","90","34670","27570"
"In post","2021","Other ethnicity","South East (England)","215","205","30260","27570"
"In post","2021","Other ethnicity","South West (England)","175","170","33540","29600"
"In post","2021","Other ethnicity","Unknown","10","10","[c]","[c]"
