"Status","Year","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","London","105","105","41720","38540"
"In post","2021","Asian","Commercial","Outside London","125","120","37080","36500"
"In post","2021","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","135","130","41150","36800"
"In post","2021","Asian","Communications","Outside London","40","40","34110","32010"
"In post","2021","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","20","20","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","35","30","38330","33100"
"In post","2021","Asian","Counter Fraud","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","490","485","46620","42550"
"In post","2021","Asian","Digital, Data and Technology","Outside London","375","365","36800","33840"
"In post","2021","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","London","155","155","45400","42470"
"In post","2021","Asian","Economics","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","London","430","420","43340","39910"
"In post","2021","Asian","Finance","Outside London","320","305","35350","31810"
"In post","2021","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","London","265","255","40390","35200"
"In post","2021","Asian","Human Resources","Outside London","140","135","31670","28230"
"In post","2021","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","London","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","London","140","130","33790","29890"
"In post","2021","Asian","Intelligence Analysis","Outside London","50","50","29640","26490"
"In post","2021","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","London","45","45","50310","49980"
"In post","2021","Asian","Internal Audit","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","London","85","85","44080","38540"
"In post","2021","Asian","International Trade","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","International Trade","Overseas","10","10","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","London","75","70","34970","32330"
"In post","2021","Asian","Knowledge and Information Management","Outside London","45","45","33190","32380"
"In post","2021","Asian","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","490","465","51220","51250"
"In post","2021","Asian","Legal","Outside London","390","365","42560","42970"
"In post","2021","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","London","70","65","74580","72430"
"In post","2021","Asian","Medicine","Outside London","120","105","71250","79870"
