"Status","Year","Age","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","Female","Heterosexual / straight","55","55","25460","25110"
"In post","2021","16-19","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","London","Female","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","Male","Heterosexual / straight","45","40","25690","25170"
"In post","2021","16-19","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Male","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Female","Heterosexual / straight","325","310","21380","21010"
"In post","2021","16-19","Outside London","Female","LGBO","25","25","[c]","[c]"
"In post","2021","16-19","Outside London","Female","Undeclared","30","30","22080","21010"
"In post","2021","16-19","Outside London","Female","Unknown","200","190","20560","20140"
"In post","2021","16-19","Outside London","Male","Heterosexual / straight","295","285","20730","20920"
"In post","2021","16-19","Outside London","Male","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Outside London","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","16-19","Outside London","Male","Unknown","225","215","19970","20140"
"In post","2021","16-19","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Unknown","35","35","19210","16470"
