"Status","Year","Disability","Region_ITL2","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","Heterosexual / straight","75","65","24500","24180"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","150","140","29060","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","Heterosexual / straight","50","50","34450","34660"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","Heterosexual / straight","35","30","44760","44500"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","45","40","27290","24940"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","LGBO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Heterosexual / straight","35","35","20260","19560"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Heterosexual / straight","210","200","25610","23130"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Undeclared","30","25","26120","22300"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Heterosexual / straight","220","205","29110","27770"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Undeclared","30","30","28580","28550"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Heterosexual / straight","40","35","55630","54540"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Heterosexual / straight","130","120","34670","34130"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","Heterosexual / straight","60","60","43550","42120"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","65","60","29590","29200"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AO","Heterosexual / straight","90","80","21970","21010"
"In post","2021","Declared disabled","Cheshire","AO","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","AO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","EO","Heterosexual / straight","125","115","28040","27570"
"In post","2021","Declared disabled","Cheshire","EO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","HEO","Heterosexual / straight","30","30","34080","36480"
"In post","2021","Declared disabled","Cheshire","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Unknown","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AO","Heterosexual / straight","55","50","21010","21010"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","AO","Undeclared","5","5","[c]","[c]"
