"Status","Year","Age","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outer London - South","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outer London - South","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Female","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Devon","Male","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Inner London - West","Female","15","15","[c]","[c]"
"In post","2021","16-19","Economics","Inner London - West","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Female","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","West Central Scotland","Male","5","5","[c]","[c]"
"In post","2021","16-19","Finance","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
