"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","Female","15","15","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Derbyshire and Nottinghamshire","Male","25","25","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","East Anglia","Female","155","140","31770","29270"
"In post","2021","Analysis","East of England","East Anglia","Male","205","195","36570","35900"
"In post","2021","Analysis","East of England","Essex","Female","10","10","[c]","[c]"
"In post","2021","Analysis","East of England","Essex","Male","10","10","[c]","[c]"
"In post","2021","Analysis","London","Inner London - East","Female","300","280","49880","45730"
"In post","2021","Analysis","London","Inner London - East","Male","390","385","51390","46890"
"In post","2021","Analysis","London","Inner London - West","Female","1170","1115","48040","44300"
"In post","2021","Analysis","London","Inner London - West","Male","1540","1520","48850","45010"
"In post","2021","Analysis","London","Inner London - West","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","London","Outer London - South","Female","15","15","[c]","[c]"
"In post","2021","Analysis","London","Outer London - South","Male","20","20","[c]","[c]"
"In post","2021","Analysis","North East (England)","Northumberland and Tyne and Wear","Female","15","15","[c]","[c]"
"In post","2021","Analysis","North East (England)","Northumberland and Tyne and Wear","Male","15","15","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tees Valley and Durham","Female","15","15","[c]","[c]"
"In post","2021","Analysis","North East (England)","Tees Valley and Durham","Male","15","15","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Cumbria","Male","15","15","[c]","[c]"
"In post","2021","Analysis","North West (England)","Greater Manchester","Female","95","95","38060","33190"
"In post","2021","Analysis","North West (England)","Greater Manchester","Male","130","130","38170","38630"
"In post","2021","Analysis","North West (England)","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","Merseyside","Female","65","55","39690","38630"
"In post","2021","Analysis","North West (England)","Merseyside","Male","55","50","41030","38630"
"In post","2021","Analysis","Overseas","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Eastern Scotland","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Scotland","Eastern Scotland","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","West Central Scotland","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","West Central Scotland","Male","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","20","20","[c]","[c]"
"In post","2021","Analysis","South East (England)","Hampshire and Isle of Wight","Female","350","325","37300","37020"
"In post","2021","Analysis","South East (England)","Hampshire and Isle of Wight","Male","460","450","39970","37320"
"In post","2021","Analysis","South East (England)","Hampshire and Isle of Wight","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","Kent","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Kent","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","Surrey, East and West Sussex","Female","10","10","[c]","[c]"
"In post","2021","Analysis","South East (England)","Surrey, East and West Sussex","Male","10","10","[c]","[c]"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Cornwall and Isles of Scilly","Male","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","Devon","Male","10","10","[c]","[c]"
"In post","2021","Analysis","South West (England)","Dorset and Somerset","Female","55","50","30150","29270"
"In post","2021","Analysis","South West (England)","Dorset and Somerset","Male","65","65","35240","29990"
"In post","2021","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","160","145","38950","37320"
"In post","2021","Analysis","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","165","160","39000","37320"
"In post","2021","Analysis","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","East Wales","Female","550","510","35250","33020"
"In post","2021","Analysis","Wales","East Wales","Male","485","475","37920","36030"
"In post","2021","Analysis","Wales","East Wales","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Wales","West Wales and The Valleys","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Wales","West Wales and The Valleys","Male","30","30","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Shropshire and Staffordshire","Female","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","West Midlands","Female","25","25","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","West Midlands","Male","30","25","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire","Female","35","35","36560","31380"
"In post","2021","Analysis","Yorkshire and The Humber","North Yorkshire","Male","35","35","37500","31150"
"In post","2021","Analysis","Yorkshire and The Humber","South Yorkshire","Female","60","55","42340","42220"
"In post","2021","Analysis","Yorkshire and The Humber","South Yorkshire","Male","65","60","45660","45620"
"In post","2021","Analysis","Yorkshire and The Humber","West Yorkshire","Female","80","75","39650","38280"
"In post","2021","Analysis","Yorkshire and The Humber","West Yorkshire","Male","70","70","43370","48350"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Female","65","60","37500","37970"
"In post","2021","Commercial","East Midlands (England)","Derbyshire and Nottinghamshire","Male","45","40","46780","42320"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","20","20","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Female","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Lincolnshire","Male","15","15","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East of England","Bedfordshire and Hertfordshire","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East of England","East Anglia","Female","195","185","38740","35760"
"In post","2021","Commercial","East of England","East Anglia","Male","150","150","44200","40130"
"In post","2021","Commercial","East of England","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Essex","Male","5","5","[c]","[c]"
"In post","2021","Commercial","London","Inner London - East","Female","105","105","51000","50470"
"In post","2021","Commercial","London","Inner London - East","Male","95","95","55880","52250"
"In post","2021","Commercial","London","Inner London - West","Female","670","650","56720","53360"
"In post","2021","Commercial","London","Inner London - West","Male","790","785","66330","59690"
"In post","2021","Commercial","London","Outer London - East and North East","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Outer London - East and North East","Male","5","5","[c]","[c]"
"In post","2021","Commercial","London","Outer London - South","Female","75","70","46880","45070"
"In post","2021","Commercial","London","Outer London - South","Male","50","50","50860","53880"
"In post","2021","Commercial","London","Outer London - West and North West","Female","40","35","33060","28110"
"In post","2021","Commercial","London","Outer London - West and North West","Male","50","45","37560","31000"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","Female","25","25","[c]","[c]"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","Male","30","30","47050","50280"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","Female","30","30","[c]","[c]"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","Male","25","25","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cheshire","Female","15","15","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cheshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cumbria","Female","5","5","[c]","[c]"
"In post","2021","Commercial","North West (England)","Cumbria","Male","10","10","[c]","[c]"
"In post","2021","Commercial","North West (England)","Greater Manchester","Female","175","160","43050","38630"
"In post","2021","Commercial","North West (England)","Greater Manchester","Male","170","170","43960","38630"
"In post","2021","Commercial","North West (England)","Lancashire","Female","40","40","47450","49060"
"In post","2021","Commercial","North West (England)","Lancashire","Male","25","25","[c]","[c]"
"In post","2021","Commercial","North West (England)","Merseyside","Female","175","165","39660","34800"
"In post","2021","Commercial","North West (England)","Merseyside","Male","155","150","44350","38990"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","Male","35","35","50400","43860"
"In post","2021","Commercial","Scotland","Eastern Scotland","Female","40","40","30470","26550"
"In post","2021","Commercial","Scotland","Eastern Scotland","Male","65","65","36300","36620"
"In post","2021","Commercial","Scotland","Highlands and Islands","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Highlands and Islands","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","Southern Scotland","Female","60","55","46170","43320"
"In post","2021","Commercial","Scotland","Southern Scotland","Male","40","40","42770","39860"
"In post","2021","Commercial","Scotland","West Central Scotland","Female","70","70","35540","33150"
"In post","2021","Commercial","Scotland","West Central Scotland","Male","105","105","37990","34800"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Female","110","110","39260","35300"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Male","100","100","42370","40330"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","Female","210","200","34880","33300"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","Male","160","155","41450","34800"
"In post","2021","Commercial","South East (England)","Kent","Female","10","10","[c]","[c]"
"In post","2021","Commercial","South East (England)","Kent","Male","10","10","[c]","[c]"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","Female","45","40","33160","28580"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","Male","30","30","[c]","[c]"
"In post","2021","Commercial","South West (England)","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","South West (England)","Devon","Female","115","110","40890","38370"
"In post","2021","Commercial","South West (England)","Devon","Male","110","105","44940","46750"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","Female","35","30","36470","33290"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","Male","35","35","45000","42510"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Female","495","470","39590","34800"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Male","565","555","44670","40580"
"In post","2021","Commercial","Unknown","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Wales","East Wales","Female","90","85","36440","34030"
"In post","2021","Commercial","Wales","East Wales","Male","90","90","39270","35420"
"In post","2021","Commercial","Wales","West Wales and The Valleys","Female","95","80","31840","31040"
"In post","2021","Commercial","Wales","West Wales and The Valleys","Male","80","80","35060","31210"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Female","15","15","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Male","15","15","[c]","[c]"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","Female","110","105","36000","33300"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","Male","85","85","36990","27010"
"In post","2021","Commercial","West Midlands (England)","West Midlands","Female","65","60","45560","38280"
"In post","2021","Commercial","West Midlands (England)","West Midlands","Male","60","60","47840","40860"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","Female","40","40","42900","38230"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","Female","65","60","44510","40780"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","Male","40","40","50570","49700"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","Female","160","155","45750","39290"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","Male","105","105","47380","43570"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","Female","230","220","30700","26700"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","Male","255","255","28480","25560"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Female","5","5","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","Female","10","5","[c]","[c]"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","Male","5","5","[c]","[c]"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","Female","15","15","[c]","[c]"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","Male","15","15","[c]","[c]"
"In post","2021","Communications","East of England","East Anglia","Female","25","20","[c]","[c]"
"In post","2021","Communications","East of England","East Anglia","Male","25","25","[c]","[c]"
"In post","2021","Communications","East of England","Essex","Female","10","10","[c]","[c]"
"In post","2021","Communications","East of England","Essex","Male","10","10","[c]","[c]"
"In post","2021","Communications","London","Inner London - East","Female","140","130","44990","40810"
"In post","2021","Communications","London","Inner London - East","Male","95","90","49680","42630"
"In post","2021","Communications","London","Inner London - West","Female","1170","1135","45870","41890"
"In post","2021","Communications","London","Inner London - West","Male","810","805","47470","42800"
"In post","2021","Communications","London","Outer London - South","Female","20","20","[c]","[c]"
