"Status","Year","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Female","2855","2710","38760","36340"
"In post","2021","Commercial","Male","2500","2465","42320","39750"
"In post","2021","Communications","Female","2330","2215","41430","38540"
"In post","2021","Communications","Male","1635","1620","41740","38290"
"In post","2021","Corporate Finance","Female","90","85","44370","42120"
"In post","2021","Corporate Finance","Male","75","75","51800","47140"
"In post","2021","Counter Fraud","Female","405","375","35230","33100"
"In post","2021","Counter Fraud","Male","485","475","40490","38450"
"In post","2021","Digital, Data and Technology","Female","4630","4400","40630","37640"
"In post","2021","Digital, Data and Technology","Male","8660","8550","42380","38630"
"In post","2021","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Female","795","765","46710","44150"
"In post","2021","Economics","Male","1365","1355","47360","42780"
"In post","2021","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Female","5135","4760","38000","33570"
"In post","2021","Finance","Male","4030","3955","43360","39370"
"In post","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Female","5555","5195","38200","33350"
"In post","2021","Human Resources","Male","2305","2265","39720","35230"
"In post","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","Female","605","585","63550","64500"
"In post","2021","Inspector of Education and Training","Male","255","250","73380","75500"
"In post","2021","Intelligence Analysis","Female","1560","1455","33750","30100"
"In post","2021","Intelligence Analysis","Male","1840","1800","36310","32850"
"In post","2021","Internal Audit","Female","400","375","43790","41340"
"In post","2021","Internal Audit","Male","375","365","47930","45390"
"In post","2021","International Trade","Female","650","635","45810","39520"
"In post","2021","International Trade","Male","820","815","47790","42470"
"In post","2021","Knowledge and Information Management","Female","1290","1195","35600","32850"
"In post","2021","Knowledge and Information Management","Male","1095","1080","38240","35700"
"In post","2021","Legal","Female","7035","6400","48710","50550"
"In post","2021","Legal","Male","5110","4955","47210","46530"
"In post","2021","Medicine","Female","1740","1540","51900","38490"
"In post","2021","Medicine","Male","760","705","66310","66580"
"In post","2021","Operational Delivery","Female","96900","86295","27650","25220"
"In post","2021","Operational Delivery","Male","79195","75715","29940","27130"
"In post","2021","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Operational Research","Female","430","400","43150","40420"
"In post","2021","Operational Research","Male","760","740","44920","46080"
"In post","2021","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Female","10755","10115","30030","25860"
"In post","2021","Other","Male","11910","11655","33510","29220"
"In post","2021","Planning","Female","95","90","45060","40720"
"In post","2021","Planning","Male","105","105","46810","40720"
"In post","2021","Planning Inspectors","Female","125","110","57850","58810"
"In post","2021","Planning Inspectors","Male","215","190","57960","58810"
"In post","2021","Policy","Female","15725","15075","45940","41000"
"In post","2021","Policy","Male","13365","13215","49080","47550"
"In post","2021","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Female","8055","7700","40570","37660"
"In post","2021","Project Delivery","Male","7960","7835","44350","40580"
"In post","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Property","Female","2775","2580","34430","32100"
"In post","2021","Property","Male","4185","4080","37650","33350"
"In post","2021","Psychology","Female","1240","1180","35540","31180"
"In post","2021","Psychology","Male","180","175","36630","30450"
"In post","2021","Science and Engineering","Female","4480","4150","38340","36710"
"In post","2021","Science and Engineering","Male","9605","9365","38960","37320"
"In post","2021","Security","Female","1735","1675","32150","29030"
"In post","2021","Security","Male","6575","6470","31320","27680"
"In post","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","Female","805","760","42690","40480"
"In post","2021","Social Research","Male","350","345","42670","38010"
"In post","2021","Social Research","Unknown","10","10","[c]","[c]"
"In post","2021","Statistics","Female","945","895","42920","39100"
"In post","2021","Statistics","Male","1075","1050","43730","39850"
"In post","2021","Statistics","Unknown","20","20","[c]","[c]"
"In post","2021","Tax","Female","8425","7780","32100","31810"
"In post","2021","Tax","Male","9375","9020","34460","31810"
"In post","2021","Unknown","Female","74850","65855","29860","27570"
"In post","2021","Unknown","Male","45790","44295","32610","27570"
"In post","2021","Veterinarian","Female","255","240","44990","40450"
"In post","2021","Veterinarian","Male","195","190","47240","47550"
"Leaver CS","2021","Commercial","Female","90","[c]","38140","35370"
"Leaver CS","2021","Commercial","Male","105","[c]","40120","37520"
"Leaver CS","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Female","135","[c]","36260","33300"
"Leaver CS","2021","Communications","Male","95","[c]","37950","32750"
"Leaver CS","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Female","140","[c]","41500","37740"
"Leaver CS","2021","Digital, Data and Technology","Male","315","[c]","42280","38450"
"Leaver CS","2021","Digital, Data and Technology","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Female","40","[c]","31420","24300"
"Leaver CS","2021","Economics","Male","75","[c]","35650","26340"
"Leaver CS","2021","Finance","Female","125","[c]","39020","33700"
"Leaver CS","2021","Finance","Male","130","[c]","45610","42970"
