"Status","Year","Function_of_post","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Devon","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Outside London","Female","55","50","30150","29270"
"In post","2021","Analysis","Dorset and Somerset","Outside London","Male","65","65","35240","29990"
"In post","2021","Analysis","East Anglia","Outside London","Female","155","140","31770","29270"
"In post","2021","Analysis","East Anglia","Outside London","Male","205","195","36570","35900"
"In post","2021","Analysis","East Wales","Outside London","Female","550","510","35250","33020"
"In post","2021","Analysis","East Wales","Outside London","Male","485","475","37920","36030"
"In post","2021","Analysis","East Wales","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Essex","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Essex","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","160","145","38950","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","165","160","39000","37320"
"In post","2021","Analysis","Greater Manchester","Outside London","Female","95","95","38060","33190"
"In post","2021","Analysis","Greater Manchester","Outside London","Male","130","130","38170","38630"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","Female","350","325","37300","37020"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","Male","460","450","39970","37320"
"In post","2021","Analysis","Hampshire and Isle of Wight","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","London","Female","300","280","49880","45730"
"In post","2021","Analysis","Inner London - East","London","Male","390","385","51390","46890"
"In post","2021","Analysis","Inner London - West","London","Female","1170","1115","48040","44300"
"In post","2021","Analysis","Inner London - West","London","Male","1540","1520","48850","45010"
"In post","2021","Analysis","Inner London - West","London","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Kent","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
