"Status","Year","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Heterosexual / straight","205","200","39540","36780"
"In post","2021","Asian","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Heterosexual / straight","145","145","39740","36660"
"In post","2021","Asian","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Heterosexual / straight","45","45","36070","32540"
"In post","2021","Asian","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Heterosexual / straight","690","685","42420","38630"
"In post","2021","Asian","Digital, Data and Technology","LGBO","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Undeclared","50","50","42130","39840"
"In post","2021","Asian","Digital, Data and Technology","Unknown","105","105","42120","39040"
"In post","2021","Asian","Economics","Heterosexual / straight","155","155","44050","39300"
"In post","2021","Asian","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Heterosexual / straight","655","635","40010","36500"
"In post","2021","Asian","Finance","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Undeclared","35","35","41130","39330"
"In post","2021","Asian","Finance","Unknown","45","45","36890","34530"
"In post","2021","Asian","Human Resources","Heterosexual / straight","365","350","37200","33870"
"In post","2021","Asian","Human Resources","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Undeclared","25","20","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Heterosexual / straight","165","155","32700","29310"
"In post","2021","Asian","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Undeclared","20","15","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Internal Audit","Heterosexual / straight","65","65","46900","44310"
"In post","2021","Asian","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Heterosexual / straight","95","95","42310","38160"
"In post","2021","Asian","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","Heterosexual / straight","100","95","35130","33100"
"In post","2021","Asian","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
