"Status","Year","Disability","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Heterosexual / straight","11185","9825","21950","21010"
"In post","2021","Declared disabled","AA/AO","LGBO","1070","1015","22380","21010"
"In post","2021","Declared disabled","AA/AO","Undeclared","1780","1525","21880","21010"
"In post","2021","Declared disabled","AA/AO","Unknown","1510","1260","22030","21010"
"In post","2021","Declared disabled","EO","Heterosexual / straight","11525","10460","27730","27570"
"In post","2021","Declared disabled","EO","LGBO","1180","1120","27630","27570"
"In post","2021","Declared disabled","EO","Undeclared","1655","1480","27870","27570"
"In post","2021","Declared disabled","EO","Unknown","1330","1165","28500","27570"
"In post","2021","Declared disabled","G6/G7","Heterosexual / straight","3410","3275","58240","56350"
"In post","2021","Declared disabled","G6/G7","LGBO","470","460","58370","56300"
"In post","2021","Declared disabled","G6/G7","Undeclared","465","445","59190","57460"
"In post","2021","Declared disabled","G6/G7","Unknown","285","265","58310","57720"
"In post","2021","Declared disabled","SCS level","Heterosexual / straight","330","320","89780","82150"
"In post","2021","Declared disabled","SCS level","LGBO","50","50","86910","78170"
"In post","2021","Declared disabled","SCS level","Undeclared","30","30","83820","82550"
"In post","2021","Declared disabled","SCS level","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Heterosexual / straight","8865","8425","36660","35630"
"In post","2021","Declared disabled","SEO/HEO","LGBO","1055","1025","35550","34490"
"In post","2021","Declared disabled","SEO/HEO","Undeclared","1165","1105","37050","36150"
"In post","2021","Declared disabled","SEO/HEO","Unknown","725","675","36640","35900"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","2020","1880","31220","30210"
"In post","2021","Declared disabled","Unknown","LGBO","190","180","29460","28200"
"In post","2021","Declared disabled","Unknown","Undeclared","230","220","33810","33360"
"In post","2021","Declared disabled","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Heterosexual / straight","66230","60135","22450","21130"
"In post","2021","Declared non-disabled","AA/AO","LGBO","3255","3120","22810","21130"
"In post","2021","Declared non-disabled","AA/AO","Undeclared","6660","5815","22180","21050"
"In post","2021","Declared non-disabled","AA/AO","Unknown","12390","10330","22220","21010"
"In post","2021","Declared non-disabled","EO","Heterosexual / straight","65780","61190","27540","27570"
"In post","2021","Declared non-disabled","EO","LGBO","3235","3140","27510","27570"
"In post","2021","Declared non-disabled","EO","Undeclared","6625","6010","27790","27570"
"In post","2021","Declared non-disabled","EO","Unknown","11785","10345","27990","27570"
"In post","2021","Declared non-disabled","G6/G7","Heterosexual / straight","34560","33325","58880","57340"
"In post","2021","Declared non-disabled","G6/G7","LGBO","2010","1975","58740","57210"
"In post","2021","Declared non-disabled","G6/G7","Undeclared","2845","2745","59880","57740"
"In post","2021","Declared non-disabled","G6/G7","Unknown","3780","3560","58430","56800"
"In post","2021","Declared non-disabled","SCS level","Heterosexual / straight","4170","4025","89960","82280"
