"Status","Year","Age","Organisation","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Accountant in Bankruptcy","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Cumbria","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Dorset and Somerset","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Dorset and Somerset","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Inner London - West","Female","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","East Wales","Male","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Bedfordshire and Hertfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Bedfordshire and Hertfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Leicestershire, Rutland and Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","East Wales","Male","15","15","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Devon","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Gloucestershire, Wiltshire and Bath/Bristol area","Female","25","25","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Gloucestershire, Wiltshire and Bath/Bristol area","Male","65","65","18020","17780"
"In post","2021","16-19","Defence Equipment and Support","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Southern Scotland","Male","10","10","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Gloucestershire, Wiltshire and Bath/Bristol area","Male","15","15","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Inner London - West","Male","[c]","[c]","[c]","[c]"
