"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","Heterosexual / straight","40","40","55800","54110"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","Heterosexual / straight","95","90","39040","41000"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Economics","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Economics","EO","Heterosexual / straight","50","50","27240","27680"
"In post","2021","Analysis","Economics","EO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","EO","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Economics","G6/G7","Heterosexual / straight","355","345","59900","58640"
"In post","2021","Analysis","Economics","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Economics","G6/G7","Undeclared","45","45","59440","58770"
"In post","2021","Analysis","Economics","G6/G7","Unknown","85","80","59970","56870"
"In post","2021","Analysis","Economics","SCS level","Heterosexual / straight","45","45","89500","82270"
"In post","2021","Analysis","Economics","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","SEO/HEO","Heterosexual / straight","370","370","34880","33930"
"In post","2021","Analysis","Economics","SEO/HEO","LGBO","40","40","34200","33880"
"In post","2021","Analysis","Economics","SEO/HEO","Undeclared","35","35","36640","34320"
"In post","2021","Analysis","Economics","SEO/HEO","Unknown","125","125","34480","33880"
"In post","2021","Analysis","Finance","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
