"Status","Year","Ethnicity","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","London","AA","275","245","22160","22210"
"In post","2021","Asian","London","AO","2155","1920","25080","25110"
"In post","2021","Asian","London","EO","4560","4245","29820","30070"
"In post","2021","Asian","London","G6","460","445","69180","67520"
"In post","2021","Asian","London","G7","1625","1585","56680","55930"
"In post","2021","Asian","London","HEO","2590","2515","35440","35200"
"In post","2021","Asian","London","SCS level","220","215","91820","83720"
"In post","2021","Asian","London","SEO","1550","1520","42660","41970"
"In post","2021","Asian","London","Unknown","125","120","32150","32090"
"In post","2021","Asian","Outside London","AA","380","335","19650","19560"
"In post","2021","Asian","Outside London","AO","5130","4490","21210","21010"
"In post","2021","Asian","Outside London","EO","5160","4825","26850","27570"
"In post","2021","Asian","Outside London","G6","140","135","68300","65980"
"In post","2021","Asian","Outside London","G7","730","705","54170","52580"
"In post","2021","Asian","Outside London","HEO","2040","1960","32250","31810"
"In post","2021","Asian","Outside London","SCS level","80","80","96460","93860"
"In post","2021","Asian","Outside London","SEO","1155","1125","40760","38630"
"In post","2021","Asian","Outside London","Unknown","460","425","29330","28200"
"In post","2021","Asian","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","20","20","[c]","[c]"
"In post","2021","Asian","Overseas","G6","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","G7","25","25","[c]","[c]"
"In post","2021","Asian","Overseas","HEO","35","35","35140","34220"
"In post","2021","Asian","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","SEO","15","15","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AO","60","45","23710","25110"
"In post","2021","Asian","Unknown","EO","70","65","29010","27570"
"In post","2021","Asian","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G7","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","HEO","20","20","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","AA","305","290","23100","22650"
"In post","2021","Black","London","AO","1985","1860","26120","25110"
"In post","2021","Black","London","EO","3540","3395","30170","31060"
"In post","2021","Black","London","G6","160","160","69810","68940"
"In post","2021","Black","London","G7","810","800","56720","55640"
"In post","2021","Black","London","HEO","1670","1645","35370","35200"
"In post","2021","Black","London","SCS level","65","65","90840","80230"
"In post","2021","Black","London","SEO","985","975","42760","41970"
"In post","2021","Black","London","Unknown","450","445","32720","30670"
"In post","2021","Black","Outside London","AA","210","200","20320","20600"
"In post","2021","Black","Outside London","AO","1570","1440","22440","21010"
"In post","2021","Black","Outside London","EO","1845","1760","27290","27570"
"In post","2021","Black","Outside London","G6","30","30","[c]","[c]"
"In post","2021","Black","Outside London","G7","250","245","53500","52080"
"In post","2021","Black","Outside London","HEO","745","720","32300","31810"
"In post","2021","Black","Outside London","SCS level","30","30","[c]","[c]"
"In post","2021","Black","Outside London","SEO","465","455","41020","39400"
"In post","2021","Black","Outside London","Unknown","360","340","29290","28200"
