"Status","Year","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","130","125","42920","41580"
"In post","2021","Commercial","East of England","250","240","39040","35830"
"In post","2021","Commercial","London","880","860","47680","43320"
"In post","2021","Commercial","North East (England)","115","115","43100","40780"
"In post","2021","Commercial","North West (England)","515","495","38480","35900"
"In post","2021","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","35","35","49340","43060"
"In post","2021","Commercial","Scotland","280","270","35670","33930"
"In post","2021","Commercial","South East (England)","460","445","38450","36800"
"In post","2021","Commercial","South West (England)","1720","1650","39520","37400"
"In post","2021","Commercial","Unknown","10","10","35360","37130"
"In post","2021","Commercial","Wales","330","310","34990","31850"
"In post","2021","Commercial","West Midlands (England)","250","245","39300","37040"
"In post","2021","Commercial","Yorkshire and The Humber","370","360","40230","36960"
"In post","2021","Communications","East Midlands (England)","105","100","36320","34290"
"In post","2021","Communications","East of England","90","90","34210","32640"
"In post","2021","Communications","London","2090","2045","46250","42500"
"In post","2021","Communications","North East (England)","120","110","33600","31810"
"In post","2021","Communications","North West (England)","205","195","36370","33710"
"In post","2021","Communications","Northern Ireland","30","30","41190","38270"
"In post","2021","Communications","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","70","70","37820","35430"
"In post","2021","Communications","South East (England)","295","280","33370","31780"
"In post","2021","Communications","South West (England)","315","300","35540","33490"
"In post","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","355","335","36840","34120"
"In post","2021","Communications","West Midlands (England)","145","140","38970","36700"
"In post","2021","Communications","Yorkshire and The Humber","130","125","41730","38400"
"In post","2021","Corporate Finance","East of England","10","10","31730","26890"
"In post","2021","Corporate Finance","London","75","75","55660","54110"
"In post","2021","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","10","10","44490","42390"
"In post","2021","Corporate Finance","South East (England)","25","25","35780","37320"
"In post","2021","Corporate Finance","South West (England)","30","30","45730","43390"
"In post","2021","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","10","10","45510","40800"
"In post","2021","Counter Fraud","East Midlands (England)","20","20","34480","35570"
"In post","2021","Counter Fraud","East of England","40","40","33710","34050"
"In post","2021","Counter Fraud","London","395","385","43330","40000"
"In post","2021","Counter Fraud","North East (England)","40","35","27430","25310"
"In post","2021","Counter Fraud","North West (England)","105","100","36090","35070"
"In post","2021","Counter Fraud","Northern Ireland","10","10","23850","24970"
"In post","2021","Counter Fraud","Scotland","90","80","29070","25310"
"In post","2021","Counter Fraud","South East (England)","10","10","33390","36940"
"In post","2021","Counter Fraud","South West (England)","20","15","38800","39330"
"In post","2021","Counter Fraud","Wales","35","30","34130","31000"
"In post","2021","Counter Fraud","West Midlands (England)","70","70","37600","37650"
"In post","2021","Counter Fraud","Yorkshire and The Humber","55","50","37940","37910"
"In post","2021","Digital, Data and Technology","East Midlands (England)","285","280","36270","32180"
"In post","2021","Digital, Data and Technology","East of England","505","480","36410","33610"
"In post","2021","Digital, Data and Technology","London","3300","3245","49510","45450"
"In post","2021","Digital, Data and Technology","North East (England)","700","675","39110","38180"
"In post","2021","Digital, Data and Technology","North West (England)","1045","1015","39340","36740"
"In post","2021","Digital, Data and Technology","Northern Ireland","20","20","33860","31810"
"In post","2021","Digital, Data and Technology","Overseas","20","20","34620","33300"
"In post","2021","Digital, Data and Technology","Scotland","605","600","38820","35720"
"In post","2021","Digital, Data and Technology","South East (England)","830","810","38490","35300"
"In post","2021","Digital, Data and Technology","South West (England)","2155","2085","39160","38450"
"In post","2021","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Wales","2015","1970","39610","37410"
"In post","2021","Digital, Data and Technology","West Midlands (England)","890","865","40850","37450"
