"Status","Year","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","Female","9235","7730","21540","21010"
"In post","2021","Declared disabled","AA/AO","Male","6310","5895","22630","21010"
"In post","2021","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Female","9790","8640","27630","27570"
"In post","2021","Declared disabled","EO","Male","5895","5585","28070","27570"
"In post","2021","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Female","2465","2340","57990","55960"
"In post","2021","Declared disabled","G6/G7","Male","2165","2105","58760","57110"
"In post","2021","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Female","200","195","86880","80000"
"In post","2021","Declared disabled","SCS level","Male","225","220","90630","82230"
"In post","2021","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","Female","6530","6135","36150","35070"
"In post","2021","Declared disabled","SEO/HEO","Male","5275","5100","37150","36260"
"In post","2021","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","1870","1725","30500","30210"
"In post","2021","Declared disabled","Unknown","Male","595","575","34000","33880"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","Female","51590","43910","21730","21010"
"In post","2021","Declared non-disabled","AA/AO","Male","36945","35490","23350","21430"
"In post","2021","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Female","50985","45570","27470","27570"
"In post","2021","Declared non-disabled","EO","Male","36435","35115","27830","27570"
"In post","2021","Declared non-disabled","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","G6/G7","Female","20915","19770","58360","56520"
"In post","2021","Declared non-disabled","G6/G7","Male","22280","21835","59400","57620"
"In post","2021","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS level","Female","2350","2225","87510","80320"
"In post","2021","Declared non-disabled","SCS level","Male","2685","2640","92220","83800"
"In post","2021","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SEO/HEO","Female","44650","42085","36390","35310"
"In post","2021","Declared non-disabled","SEO/HEO","Male","41535","40595","37430","36590"
"In post","2021","Declared non-disabled","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Female","7245","6635","30520","30210"
"In post","2021","Declared non-disabled","Unknown","Male","3270","3195","35270","33360"
"In post","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA/AO","Female","4410","3780","22710","21430"
"In post","2021","Undeclared","AA/AO","Male","5170","4825","25800","23240"
"In post","2021","Undeclared","EO","Female","3440","3145","27820","27570"
"In post","2021","Undeclared","EO","Male","3760","3610","28960","27570"
"In post","2021","Undeclared","G6/G7","Female","1290","1230","58140","56350"
"In post","2021","Undeclared","G6/G7","Male","1865","1830","58930","57130"
"In post","2021","Undeclared","SCS level","Female","125","115","85140","80900"
"In post","2021","Undeclared","SCS level","Male","165","165","92240","83180"
"In post","2021","Undeclared","SEO/HEO","Female","3425","3245","36770","36160"
"In post","2021","Undeclared","SEO/HEO","Male","4375","4265","37880","37280"
"In post","2021","Undeclared","Unknown","Female","415","380","31120","30210"
"In post","2021","Undeclared","Unknown","Male","300","290","35820","34120"
"In post","2021","Unknown","AA/AO","Female","14105","12525","21640","21050"
"In post","2021","Unknown","AA/AO","Male","12895","12440","22900","21130"
"In post","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Female","9240","8680","27730","27510"
"In post","2021","Unknown","EO","Male","9340","9100","28380","27570"
"In post","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6/G7","Female","5515","5240","58240","55610"
"In post","2021","Unknown","G6/G7","Male","5925","5820","59090","56520"
"In post","2021","Unknown","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","SCS level","Female","730","695","91630","81760"
"In post","2021","Unknown","SCS level","Male","805","795","94100","83840"
"In post","2021","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO/HEO","Female","11350","10865","35820","35050"
"In post","2021","Unknown","SEO/HEO","Male","11860","11625","36800","36160"
"In post","2021","Unknown","SEO/HEO","Unknown","30","30","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","800","740","27890","23840"
"In post","2021","Unknown","Unknown","Male","2075","2060","37310","33950"
"Leaver CS","2021","Declared disabled","AA/AO","Female","735","[c]","20680","21010"
"Leaver CS","2021","Declared disabled","AA/AO","Male","530","[c]","21740","21010"
"Leaver CS","2021","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","EO","Female","450","[c]","27320","27570"
"Leaver CS","2021","Declared disabled","EO","Male","350","[c]","28110","27570"
"Leaver CS","2021","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Female","85","[c]","61110","56630"
"Leaver CS","2021","Declared disabled","G6/G7","Male","100","[c]","62030","58190"
"Leaver CS","2021","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS level","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS level","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Female","270","[c]","36250","35000"
"Leaver CS","2021","Declared disabled","SEO/HEO","Male","265","[c]","37000","36020"
"Leaver CS","2021","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Female","110","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Male","35","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","AA/AO","Female","3715","[c]","21040","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","Male","2800","[c]","21630","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","EO","Female","1960","[c]","27120","27570"
"Leaver CS","2021","Declared non-disabled","EO","Male","1540","[c]","27550","27570"
"Leaver CS","2021","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","Female","665","[c]","60180","57500"
