"Status","Year","Disability","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","AA","Heterosexual / straight","1490","1330","19810","19600"
"In post","2021","Declared disabled","AA/AO","AA","LGBO","140","135","20020","20150"
"In post","2021","Declared disabled","AA/AO","AA","Undeclared","255","210","19370","18760"
"In post","2021","Declared disabled","AA/AO","AA","Unknown","160","140","20420","20070"
"In post","2021","Declared disabled","AA/AO","AO","Heterosexual / straight","9690","8495","22280","21010"
"In post","2021","Declared disabled","AA/AO","AO","LGBO","930","880","22730","21010"
"In post","2021","Declared disabled","AA/AO","AO","Undeclared","1520","1315","22300","21010"
"In post","2021","Declared disabled","AA/AO","AO","Unknown","1345","1120","22220","21010"
"In post","2021","Declared disabled","EO","EO","Heterosexual / straight","11525","10460","27730","27570"
"In post","2021","Declared disabled","EO","EO","LGBO","1180","1120","27630","27570"
"In post","2021","Declared disabled","EO","EO","Undeclared","1655","1480","27870","27570"
"In post","2021","Declared disabled","EO","EO","Unknown","1330","1165","28500","27570"
"In post","2021","Declared disabled","G6/G7","G6","Heterosexual / straight","830","800","68150","66440"
"In post","2021","Declared disabled","G6/G7","G6","LGBO","115","115","68560","66800"
"In post","2021","Declared disabled","G6/G7","G6","Undeclared","115","110","68010","66980"
"In post","2021","Declared disabled","G6/G7","G6","Unknown","75","70","66380","65910"
"In post","2021","Declared disabled","G6/G7","G7","Heterosexual / straight","2580","2475","55050","54110"
"In post","2021","Declared disabled","G6/G7","G7","LGBO","350","345","54990","54600"
"In post","2021","Declared disabled","G6/G7","G7","Undeclared","350","340","56290","54700"
"In post","2021","Declared disabled","G6/G7","G7","Unknown","210","200","55460","54140"
"In post","2021","Declared disabled","SCS level","SCS level","Heterosexual / straight","330","320","89780","82150"
"In post","2021","Declared disabled","SCS level","SCS level","LGBO","50","50","86910","78170"
"In post","2021","Declared disabled","SCS level","SCS level","Undeclared","30","30","83820","82550"
"In post","2021","Declared disabled","SCS level","SCS level","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","SEO/HEO","HEO","Heterosexual / straight","5385","5105","33420","33180"
"In post","2021","Declared disabled","SEO/HEO","HEO","LGBO","715","695","33060","32330"
"In post","2021","Declared disabled","SEO/HEO","HEO","Undeclared","695","655","33870","33330"
"In post","2021","Declared disabled","SEO/HEO","HEO","Unknown","475","440","34080","33310"
"In post","2021","Declared disabled","SEO/HEO","SEO","Heterosexual / straight","3480","3325","41680","40580"
"In post","2021","Declared disabled","SEO/HEO","SEO","LGBO","340","330","40760","40050"
"In post","2021","Declared disabled","SEO/HEO","SEO","Undeclared","470","450","41740","40940"
"In post","2021","Declared disabled","SEO/HEO","SEO","Unknown","250","235","41490","40480"
"In post","2021","Declared disabled","Unknown","Unknown","Heterosexual / straight","2020","1880","31220","30210"
"In post","2021","Declared disabled","Unknown","Unknown","LGBO","190","180","29460","28200"
"In post","2021","Declared disabled","Unknown","Unknown","Undeclared","230","220","33810","33360"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","AA/AO","AA","Heterosexual / straight","8845","8125","19810","19560"
"In post","2021","Declared non-disabled","AA/AO","AA","LGBO","410","390","20090","20450"
"In post","2021","Declared non-disabled","AA/AO","AA","Undeclared","935","795","19270","18760"
"In post","2021","Declared non-disabled","AA/AO","AA","Unknown","1025","875","20760","20600"
"In post","2021","Declared non-disabled","AA/AO","AO","Heterosexual / straight","57380","52010","22850","21430"
"In post","2021","Declared non-disabled","AA/AO","AO","LGBO","2845","2730","23210","21430"
"In post","2021","Declared non-disabled","AA/AO","AO","Undeclared","5725","5020","22660","21430"
"In post","2021","Declared non-disabled","AA/AO","AO","Unknown","11360","9455","22360","21010"
"In post","2021","Declared non-disabled","EO","EO","Heterosexual / straight","65780","61190","27540","27570"
"In post","2021","Declared non-disabled","EO","EO","LGBO","3235","3140","27510","27570"
"In post","2021","Declared non-disabled","EO","EO","Undeclared","6625","6010","27790","27570"
"In post","2021","Declared non-disabled","EO","EO","Unknown","11785","10345","27990","27570"
"In post","2021","Declared non-disabled","G6/G7","G6","Heterosexual / straight","9195","8865","68510","66900"
"In post","2021","Declared non-disabled","G6/G7","G6","LGBO","535","525","67900","66290"
"In post","2021","Declared non-disabled","G6/G7","G6","Undeclared","780","750","69690","68200"
"In post","2021","Declared non-disabled","G6/G7","G6","Unknown","1055","995","67970","66250"
"In post","2021","Declared non-disabled","G6/G7","G7","Heterosexual / straight","25370","24460","55380","54470"
"In post","2021","Declared non-disabled","G6/G7","G7","LGBO","1475","1450","55430","54460"
"In post","2021","Declared non-disabled","G6/G7","G7","Undeclared","2065","1995","56160","54760"
"In post","2021","Declared non-disabled","G6/G7","G7","Unknown","2725","2565","54740","53620"
"In post","2021","Declared non-disabled","SCS level","SCS level","Heterosexual / straight","4170","4025","89960","82280"
"In post","2021","Declared non-disabled","SCS level","SCS level","LGBO","255","250","87190","80020"
"In post","2021","Declared non-disabled","SCS level","SCS level","Undeclared","280","265","90070","82200"
"In post","2021","Declared non-disabled","SCS level","SCS level","Unknown","335","325","92950","85190"
"In post","2021","Declared non-disabled","SEO/HEO","HEO","Heterosexual / straight","40340","38670","33390","33000"
"In post","2021","Declared non-disabled","SEO/HEO","HEO","LGBO","2100","2065","33170","32650"
"In post","2021","Declared non-disabled","SEO/HEO","HEO","Undeclared","3530","3365","33920","33300"
"In post","2021","Declared non-disabled","SEO/HEO","HEO","Unknown","4435","4180","33960","33310"
"In post","2021","Declared non-disabled","SEO/HEO","SEO","Heterosexual / straight","28605","27530","41690","40580"
"In post","2021","Declared non-disabled","SEO/HEO","SEO","LGBO","1355","1335","41290","40220"
"In post","2021","Declared non-disabled","SEO/HEO","SEO","Undeclared","2625","2505","42390","41480"
"In post","2021","Declared non-disabled","SEO/HEO","SEO","Unknown","3200","3035","41540","40230"
"In post","2021","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","9065","8480","31820","30210"
"In post","2021","Declared non-disabled","Unknown","Unknown","LGBO","405","395","29630","27540"
"In post","2021","Declared non-disabled","Unknown","Unknown","Undeclared","650","600","34560","34100"
"In post","2021","Declared non-disabled","Unknown","Unknown","Unknown","395","350","33630","34340"
"In post","2021","Undeclared","AA/AO","AA","Heterosexual / straight","715","650","20320","20310"
"In post","2021","Undeclared","AA/AO","AA","LGBO","50","50","20540","20600"
"In post","2021","Undeclared","AA/AO","AA","Undeclared","425","385","19830","20060"
"In post","2021","Undeclared","AA/AO","AA","Unknown","480","410","21940","21550"
"In post","2021","Undeclared","AA/AO","AO","Heterosexual / straight","3465","3125","24320","21590"
"In post","2021","Undeclared","AA/AO","AO","LGBO","250","235","24000","21370"
"In post","2021","Undeclared","AA/AO","AO","Undeclared","2400","2200","24120","21580"
"In post","2021","Undeclared","AA/AO","AO","Unknown","1800","1555","28340","31650"
"In post","2021","Undeclared","EO","EO","Heterosexual / straight","3135","2955","28220","27570"
"In post","2021","Undeclared","EO","EO","LGBO","265","255","28130","27570"
"In post","2021","Undeclared","EO","EO","Undeclared","2660","2490","28130","27570"
"In post","2021","Undeclared","EO","EO","Unknown","1135","1055","29710","28080"
"In post","2021","Undeclared","G6/G7","G6","Heterosexual / straight","280","270","68490","66870"
"In post","2021","Undeclared","G6/G7","G6","LGBO","30","25","[c]","[c]"
"In post","2021","Undeclared","G6/G7","G6","Undeclared","390","375","68800","67840"
"In post","2021","Undeclared","G6/G7","G6","Unknown","105","100","67900","66230"
"In post","2021","Undeclared","G6/G7","G7","Heterosexual / straight","800","775","55320","54210"
"In post","2021","Undeclared","G6/G7","G7","LGBO","85","85","55520","53380"
"In post","2021","Undeclared","G6/G7","G7","Undeclared","1125","1095","55220","54540"
"In post","2021","Undeclared","G6/G7","G7","Unknown","340","330","54860","54110"
"In post","2021","Undeclared","SCS level","SCS level","Heterosexual / straight","115","110","88350","81790"
"In post","2021","Undeclared","SCS level","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Undeclared","SCS level","SCS level","Undeclared","130","120","87560","81490"
"In post","2021","Undeclared","SCS level","SCS level","Unknown","40","35","95170","87060"
"In post","2021","Undeclared","SEO/HEO","HEO","Heterosexual / straight","1815","1750","33750","33250"
"In post","2021","Undeclared","SEO/HEO","HEO","LGBO","195","190","33100","32320"
"In post","2021","Undeclared","SEO/HEO","HEO","Undeclared","2055","1960","33790","33300"
"In post","2021","Undeclared","SEO/HEO","HEO","Unknown","555","540","34780","34710"
"In post","2021","Undeclared","SEO/HEO","SEO","Heterosexual / straight","1225","1190","42710","40810"
"In post","2021","Undeclared","SEO/HEO","SEO","LGBO","95","90","40730","40050"
"In post","2021","Undeclared","SEO/HEO","SEO","Undeclared","1420","1360","42250","41040"
"In post","2021","Undeclared","SEO/HEO","SEO","Unknown","440","425","43250","42470"
"In post","2021","Undeclared","Unknown","Unknown","Heterosexual / straight","350","330","31810","30210"
"In post","2021","Undeclared","Unknown","Unknown","LGBO","45","45","30150","29450"
"In post","2021","Undeclared","Unknown","Unknown","Undeclared","305","290","34880","33700"
"In post","2021","Undeclared","Unknown","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","AA/AO","AA","Heterosexual / straight","840","760","20120","19560"
"In post","2021","Unknown","AA/AO","AA","LGBO","30","30","20400","20070"
"In post","2021","Unknown","AA/AO","AA","Undeclared","360","305","19990","20070"
"In post","2021","Unknown","AA/AO","AA","Unknown","2930","2685","20060","20070"
"In post","2021","Unknown","AA/AO","AO","Heterosexual / straight","3720","3415","23430","21590"
"In post","2021","Unknown","AA/AO","AO","LGBO","250","240","23200","22350"
"In post","2021","Unknown","AA/AO","AO","Undeclared","1050","950","23100","22820"
"In post","2021","Unknown","AA/AO","AO","Unknown","17820","16585","22430","21300"
"In post","2021","Unknown","EO","EO","Heterosexual / straight","4825","4620","29310","28430"
"In post","2021","Unknown","EO","EO","LGBO","295","295","28640","27660"
"In post","2021","Unknown","EO","EO","Undeclared","990","925","28740","29350"
"In post","2021","Unknown","EO","EO","Unknown","12475","11945","27500","27130"
"In post","2021","Unknown","G6/G7","G6","Heterosexual / straight","750","725","69230","68140"
"In post","2021","Unknown","G6/G7","G6","LGBO","40","40","67280","66230"
"In post","2021","Unknown","G6/G7","G6","Undeclared","145","140","70470","68030"
"In post","2021","Unknown","G6/G7","G6","Unknown","2105","2030","69590","67290"
"In post","2021","Unknown","G6/G7","G7","Heterosexual / straight","2185","2115","54670","53420"
"In post","2021","Unknown","G6/G7","G7","LGBO","150","145","54210","53380"
"In post","2021","Unknown","G6/G7","G7","Undeclared","350","335","55850","54700"
"In post","2021","Unknown","G6/G7","G7","Unknown","5725","5545","54740","53560"
"In post","2021","Unknown","SCS level","SCS level","Heterosexual / straight","290","285","95380","87830"
"In post","2021","Unknown","SCS level","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","Unknown","SCS level","SCS level","Undeclared","45","40","94630","88590"
"In post","2021","Unknown","SCS level","SCS level","Unknown","1180","1145","92350","80590"
"In post","2021","Unknown","SEO/HEO","HEO","Heterosexual / straight","3625","3485","34960","33640"
"In post","2021","Unknown","SEO/HEO","HEO","LGBO","225","220","33420","32790"
"In post","2021","Unknown","SEO/HEO","HEO","Undeclared","705","680","34680","34610"
"In post","2021","Unknown","SEO/HEO","HEO","Unknown","10350","10075","32920","31990"
"In post","2021","Unknown","SEO/HEO","SEO","Heterosexual / straight","2575","2485","42180","40850"
"In post","2021","Unknown","SEO/HEO","SEO","LGBO","145","140","40810","40220"
"In post","2021","Unknown","SEO/HEO","SEO","Undeclared","530","505","42450","42130"
"In post","2021","Unknown","SEO/HEO","SEO","Unknown","5090","4925","40820","40150"
"In post","2021","Unknown","Unknown","Unknown","Heterosexual / straight","190","180","38740","34420"
"In post","2021","Unknown","Unknown","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","Undeclared","50","45","40220","38520"
"In post","2021","Unknown","Unknown","Unknown","Unknown","2630","2560","34300","32690"
"Leaver CS","2021","Declared disabled","AA/AO","AA","Heterosexual / straight","145","[c]","18690","18610"
"Leaver CS","2021","Declared disabled","AA/AO","AA","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","AA","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","AA","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","AA/AO","AO","Heterosexual / straight","555","[c]","21640","21010"
"Leaver CS","2021","Declared disabled","AA/AO","AO","LGBO","60","[c]","21730","21010"
"Leaver CS","2021","Declared disabled","AA/AO","AO","Undeclared","85","[c]","22040","21010"
"Leaver CS","2021","Declared disabled","AA/AO","AO","Unknown","340","[c]","22100","21010"
"Leaver CS","2021","Declared disabled","EO","EO","Heterosexual / straight","435","[c]","27570","27570"
"Leaver CS","2021","Declared disabled","EO","EO","LGBO","50","[c]","27280","27570"
"Leaver CS","2021","Declared disabled","EO","EO","Undeclared","85","[c]","27680","27570"
"Leaver CS","2021","Declared disabled","EO","EO","Unknown","230","[c]","28570","27570"
"Leaver CS","2021","Declared disabled","G6/G7","G6","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","G6","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","G6","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","G6","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","G7","Heterosexual / straight","75","[c]","56480","55170"
"Leaver CS","2021","Declared disabled","G6/G7","G7","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","G7","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","G7","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS level","SCS level","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS level","SCS level","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","HEO","Heterosexual / straight","175","[c]","33420","33190"
"Leaver CS","2021","Declared disabled","SEO/HEO","HEO","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","HEO","Undeclared","30","[c]","33660","33300"
"Leaver CS","2021","Declared disabled","SEO/HEO","HEO","Unknown","105","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","SEO","Heterosexual / straight","120","[c]","41570","40860"
"Leaver CS","2021","Declared disabled","SEO/HEO","SEO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","SEO","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","SEO","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","Heterosexual / straight","115","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","AA/AO","AA","Heterosexual / straight","695","[c]","18820","18760"
"Leaver CS","2021","Declared non-disabled","AA/AO","AA","LGBO","35","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","AA/AO","AA","Undeclared","70","[c]","18630","18060"
"Leaver CS","2021","Declared non-disabled","AA/AO","AA","Unknown","190","[c]","19270","19160"
"Leaver CS","2021","Declared non-disabled","AA/AO","AO","Heterosexual / straight","3315","[c]","21800","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","AO","LGBO","195","[c]","21530","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","AO","Undeclared","325","[c]","21710","21010"
"Leaver CS","2021","Declared non-disabled","AA/AO","AO","Unknown","1695","[c]","21430","21010"
"Leaver CS","2021","Declared non-disabled","EO","EO","Heterosexual / straight","1990","[c]","27210","27570"
"Leaver CS","2021","Declared non-disabled","EO","EO","LGBO","100","[c]","26940","27520"
"Leaver CS","2021","Declared non-disabled","EO","EO","Undeclared","240","[c]","27680","27370"
"Leaver CS","2021","Declared non-disabled","EO","EO","Unknown","1170","[c]","27650","27570"
"Leaver CS","2021","Declared non-disabled","G6/G7","G6","Heterosexual / straight","260","[c]","71370","70030"
"Leaver CS","2021","Declared non-disabled","G6/G7","G6","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","G6/G7","G6","Undeclared","40","[c]","73810","70880"
"Leaver CS","2021","Declared non-disabled","G6/G7","G6","Unknown","130","[c]","71950","72430"
"Leaver CS","2021","Declared non-disabled","G6/G7","G7","Heterosexual / straight","690","[c]","56370","55610"
"Leaver CS","2021","Declared non-disabled","G6/G7","G7","LGBO","35","[c]","56550","55610"
"Leaver CS","2021","Declared non-disabled","G6/G7","G7","Undeclared","90","[c]","57830","57230"
"Leaver CS","2021","Declared non-disabled","G6/G7","G7","Unknown","265","[c]","56040","55610"
"Leaver CS","2021","Declared non-disabled","SCS level","SCS level","Heterosexual / straight","200","[c]","97420","93000"
"Leaver CS","2021","Declared non-disabled","SCS level","SCS level","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS level","SCS level","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS level","SCS level","Unknown","55","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HEO","Heterosexual / straight","1085","[c]","33400","33300"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HEO","LGBO","50","[c]","33940","33400"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HEO","Undeclared","140","[c]","34020","33840"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","HEO","Unknown","610","[c]","34110","33840"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","SEO","Heterosexual / straight","840","[c]","42030","41060"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","SEO","LGBO","40","[c]","41030","40780"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","SEO","Undeclared","105","[c]","44040","43590"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","SEO","Unknown","360","[c]","43130","40670"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","Heterosexual / straight","375","[c]","38960","36490"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","Unknown","35","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","AA","Heterosexual / straight","50","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","AA","Undeclared","35","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","AA","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","AO","Heterosexual / straight","200","[c]","22440","21010"
"Leaver CS","2021","Undeclared","AA/AO","AO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","AO","Undeclared","130","[c]","22790","21010"
"Leaver CS","2021","Undeclared","AA/AO","AO","Unknown","310","[c]","22300","21010"
"Leaver CS","2021","Undeclared","EO","EO","Heterosexual / straight","105","[c]","26870","27470"
"Leaver CS","2021","Undeclared","EO","EO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","EO","EO","Undeclared","95","[c]","28320","27460"
"Leaver CS","2021","Undeclared","EO","EO","Unknown","140","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G6","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G6","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G6","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G7","Heterosexual / straight","30","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G7","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","G7","Unknown","40","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","SCS level","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","HEO","Heterosexual / straight","65","[c]","32620","33150"
"Leaver CS","2021","Undeclared","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","HEO","Undeclared","60","[c]","35040","33350"
"Leaver CS","2021","Undeclared","SEO/HEO","HEO","Unknown","110","[c]","30830","33250"
"Leaver CS","2021","Undeclared","SEO/HEO","SEO","Heterosexual / straight","50","[c]","41690","40960"
"Leaver CS","2021","Undeclared","SEO/HEO","SEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","SEO","Undeclared","60","[c]","43020","42720"
"Leaver CS","2021","Undeclared","SEO/HEO","SEO","Unknown","50","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","AA","Heterosexual / straight","60","[c]","19300","19160"
"Leaver CS","2021","Unknown","AA/AO","AA","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","AA","Undeclared","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","AA","Unknown","515","[c]","19210","19050"
"Leaver CS","2021","Unknown","AA/AO","AO","Heterosexual / straight","185","[c]","22390","21270"
"Leaver CS","2021","Unknown","AA/AO","AO","LGBO","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","AO","Undeclared","60","[c]","23430","22820"
"Leaver CS","2021","Unknown","AA/AO","AO","Unknown","2455","[c]","21380","21010"
"Leaver CS","2021","Unknown","EO","EO","Heterosexual / straight","140","[c]","28520","27650"
"Leaver CS","2021","Unknown","EO","EO","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","EO","Undeclared","40","[c]","28330","29200"
"Leaver CS","2021","Unknown","EO","EO","Unknown","1345","[c]","27130","27570"
"Leaver CS","2021","Unknown","G6/G7","G6","Heterosexual / straight","35","[c]","72690","73660"
"Leaver CS","2021","Unknown","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","G6","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","G6","Unknown","150","[c]","71260","69160"
"Leaver CS","2021","Unknown","G6/G7","G7","Heterosexual / straight","65","[c]","54950","55000"
"Leaver CS","2021","Unknown","G6/G7","G7","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","G7","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","G7","Unknown","370","[c]","55340","54870"
"Leaver CS","2021","Unknown","SCS level","SCS level","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","SCS level","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","SCS level","Unknown","115","[c]","95790","87400"
"Leaver CS","2021","Unknown","SEO/HEO","HEO","Heterosexual / straight","145","[c]","35170","34100"
"Leaver CS","2021","Unknown","SEO/HEO","HEO","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","HEO","Undeclared","25","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","HEO","Unknown","690","[c]","32990","32430"
"Leaver CS","2021","Unknown","SEO/HEO","SEO","Heterosexual / straight","100","[c]","42470","41080"
"Leaver CS","2021","Unknown","SEO/HEO","SEO","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","SEO","Undeclared","30","[c]","43060","44880"
"Leaver CS","2021","Unknown","SEO/HEO","SEO","Unknown","360","[c]","40430","39960"
"Leaver CS","2021","Unknown","Unknown","Unknown","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","Unknown","605","[c]","34680","32100"
"Leaver Dept.","2021","Declared disabled","AA/AO","AA","Heterosexual / straight","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","AA","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","AO","Heterosexual / straight","85","[c]","21260","21010"
"Leaver Dept.","2021","Declared disabled","AA/AO","AO","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","AO","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","AO","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","EO","EO","Heterosexual / straight","165","[c]","26510","27310"
"Leaver Dept.","2021","Declared disabled","EO","EO","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","EO","EO","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","EO","EO","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","G6","Heterosexual / straight","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","G6","LGBO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","G6","Undeclared","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","G7","Heterosexual / straight","90","[c]","54180","53720"
