"Status","Year","Disability","Function_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Female","Heterosexual / straight","200","185","41250","37520"
"In post","2021","Declared disabled","Analysis","Female","LGBO","45","45","37650","36470"
"In post","2021","Declared disabled","Analysis","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Male","Heterosexual / straight","215","210","41530","37590"
"In post","2021","Declared disabled","Analysis","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Male","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Female","Heterosexual / straight","270","255","38280","35740"
"In post","2021","Declared disabled","Commercial","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Female","Undeclared","35","30","37110","34710"
"In post","2021","Declared disabled","Commercial","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Male","Heterosexual / straight","170","165","41320","39680"
"In post","2021","Declared disabled","Commercial","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Male","Undeclared","30","30","40920","40580"
"In post","2021","Declared disabled","Commercial","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Female","Heterosexual / straight","220","205","33310","30710"
"In post","2021","Declared disabled","Communications","Female","LGBO","30","30","31440","29750"
"In post","2021","Declared disabled","Communications","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Male","Heterosexual / straight","195","190","30440","26930"
"In post","2021","Declared disabled","Communications","Male","LGBO","30","30","37940","31810"
"In post","2021","Declared disabled","Communications","Male","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Female","Heterosexual / straight","325","295","32490","31810"
"In post","2021","Declared disabled","Counter Fraud","Female","LGBO","35","30","34850","31810"
"In post","2021","Declared disabled","Counter Fraud","Female","Undeclared","40","35","30820","28130"
"In post","2021","Declared disabled","Counter Fraud","Female","Unknown","50","40","29480","27690"
"In post","2021","Declared disabled","Counter Fraud","Male","Heterosexual / straight","255","240","34600","31810"
"In post","2021","Declared disabled","Counter Fraud","Male","LGBO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Male","Undeclared","45","45","37050","31810"
"In post","2021","Declared disabled","Counter Fraud","Male","Unknown","50","45","31920","31810"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Female","Heterosexual / straight","170","140","23080","21440"
"In post","2021","Declared disabled","Debt","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Debt","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Debt","Female","Unknown","35","25","22680","21440"
"In post","2021","Declared disabled","Debt","Male","Heterosexual / straight","95","85","22930","20140"
"In post","2021","Declared disabled","Debt","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Debt","Male","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","Debt","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Female","Heterosexual / straight","335","315","38370","34590"
"In post","2021","Declared disabled","Digital, Data & Technology","Female","LGBO","50","45","36240","31890"
"In post","2021","Declared disabled","Digital, Data & Technology","Female","Undeclared","50","45","37520","33790"
"In post","2021","Declared disabled","Digital, Data & Technology","Female","Unknown","30","30","34840","32720"
"In post","2021","Declared disabled","Digital, Data & Technology","Male","Heterosexual / straight","425","420","40830","37100"
"In post","2021","Declared disabled","Digital, Data & Technology","Male","LGBO","55","55","40200","36900"
"In post","2021","Declared disabled","Digital, Data & Technology","Male","Undeclared","70","65","40650","38630"
"In post","2021","Declared disabled","Digital, Data & Technology","Male","Unknown","65","65","36140","33860"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Female","Heterosexual / straight","390","355","36110","32820"
"In post","2021","Declared disabled","Finance","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","Female","Undeclared","45","40","33950","28130"
"In post","2021","Declared disabled","Finance","Female","Unknown","35","30","29650","25810"
"In post","2021","Declared disabled","Finance","Male","Heterosexual / straight","255","245","40030","35830"
"In post","2021","Declared disabled","Finance","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","Male","Undeclared","35","30","43350","38160"
"In post","2021","Declared disabled","Finance","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Female","Heterosexual / straight","55","45","26750","25190"
"In post","2021","Declared disabled","Grants Management","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Female","Unknown","35","30","25010","21050"
"In post","2021","Declared disabled","Grants Management","Male","Heterosexual / straight","35","35","26370","21050"
"In post","2021","Declared disabled","Grants Management","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Human Resources","Female","Heterosexual / straight","705","655","38730","34160"
