"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East of England","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","London","320","315","45280","41850"
"In post","2021","Asian","Analysis","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North West (England)","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South East (England)","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","South West (England)","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","London","150","145","45060","37640"
"In post","2021","Asian","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","25","25","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","30","30","37480","36850"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","45","40","28830","25560"
"In post","2021","Asian","Communications","East of England","[c]","[c]","[c]","[c]"
