"Status","Year","Age","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Male","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Economics","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Economics","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
