"Status","Year","Disability","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","AA/AO","35","30","23510","21980"
"In post","2021","Declared disabled","Commercial","EO","60","55","26590","26670"
"In post","2021","Declared disabled","Commercial","G6/G7","75","75","59320","56490"
"In post","2021","Declared disabled","Commercial","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","SEO/HEO","305","290","38190","38010"
"In post","2021","Declared disabled","Commercial","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","AA/AO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","EO","55","55","27510","26780"
"In post","2021","Declared disabled","Communications","G6/G7","40","35","56790","54800"
"In post","2021","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","SEO/HEO","135","130","37230","36960"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","SEO/HEO","40","40","37590","37910"
"In post","2021","Declared disabled","Digital, Data and Technology","AA/AO","40","40","21820","21540"
"In post","2021","Declared disabled","Digital, Data and Technology","EO","245","235","27300","26670"
"In post","2021","Declared disabled","Digital, Data and Technology","G6/G7","215","210","58530","57580"
"In post","2021","Declared disabled","Digital, Data and Technology","SCS level","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data and Technology","SEO/HEO","520","500","37250","36790"
"In post","2021","Declared disabled","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Economics","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Economics","G6/G7","50","45","58960","56880"
"In post","2021","Declared disabled","Economics","SCS level","[c]","[c]","[c]","[c]"
