"Status","Year","Parent_department","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Heterosexual / straight","70","65","42770","39750"
"In post","2021","Attorney General's Departments","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Heterosexual / straight","180","180","45850","40140"
"In post","2021","Attorney General's Departments","Counter Fraud","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Unknown","75","75","45450","40270"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Heterosexual / straight","140","135","40910","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Heterosexual / straight","120","115","35170","30970"
"In post","2021","Attorney General's Departments","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Heterosexual / straight","175","170","40540","34040"
"In post","2021","Attorney General's Departments","Human Resources","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Heterosexual / straight","3485","3250","55990","53670"
"In post","2021","Attorney General's Departments","Legal","LGBO","225","220","57450","55610"
"In post","2021","Attorney General's Departments","Legal","Undeclared","235","220","58390","55610"
"In post","2021","Attorney General's Departments","Legal","Unknown","1320","1195","59410","58970"
"In post","2021","Attorney General's Departments","Operational Delivery","Heterosexual / straight","2180","2025","27630","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","LGBO","135","130","28400","25820"
"In post","2021","Attorney General's Departments","Operational Delivery","Undeclared","80","80","25920","24060"
"In post","2021","Attorney General's Departments","Operational Delivery","Unknown","665","595","26310","25820"
"In post","2021","Attorney General's Departments","Other","Heterosexual / straight","285","280","32490","27580"
"In post","2021","Attorney General's Departments","Other","LGBO","30","30","35100","27470"
"In post","2021","Attorney General's Departments","Other","Undeclared","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","Unknown","95","90","33190","28660"
"In post","2021","Attorney General's Departments","Policy","Heterosexual / straight","60","55","52310","54760"
"In post","2021","Attorney General's Departments","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","Unknown","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Other","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","Unknown","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Policy","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","Undeclared","[c]","[c]","[c]","[c]"
