"Status","Year","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","205","195","21550","21050"
"In post","2021","Analysis","EO","730","695","26460","26130"
"In post","2021","Analysis","G6/G7","2415","2310","58400","56360"
"In post","2021","Analysis","SCS level","155","150","88870","79590"
"In post","2021","Analysis","SEO/HEO","3700","3585","35850","36030"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","525","490","22110","21320"
"In post","2021","Commercial","EO","865","825","26820","26670"
"In post","2021","Commercial","G6/G7","1740","1705","61440","57170"
"In post","2021","Commercial","SCS level","585","575","93050","74340"
"In post","2021","Commercial","SEO/HEO","3035","2950","38220","37910"
"In post","2021","Commercial","Unknown","240","235","41100","38240"
"In post","2021","Communications","AA/AO","505","450","21440","21130"
"In post","2021","Communications","EO","3205","3080","25780","25560"
"In post","2021","Communications","G6/G7","1065","1030","58050","56100"
"In post","2021","Communications","SCS level","135","135","88640","82120"
"In post","2021","Communications","SEO/HEO","3300","3220","35760","34040"
"In post","2021","Counter Fraud","AA/AO","855","740","21470","21440"
"In post","2021","Counter Fraud","EO","3410","3210","26990","25560"
"In post","2021","Counter Fraud","G6/G7","1100","1055","57450","55010"
"In post","2021","Counter Fraud","SCS level","40","40","84330","79810"
"In post","2021","Counter Fraud","SEO/HEO","4210","4010","35200","34170"
"In post","2021","Debt","AA/AO","3415","3070","20950","20140"
"In post","2021","Debt","EO","955","870","26830","25560"
"In post","2021","Debt","G6/G7","50","45","57330","52580"
"In post","2021","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","250","230","34540","32100"
"In post","2021","Digital, Data & Technology","AA/AO","450","435","21840","21440"
"In post","2021","Digital, Data & Technology","EO","2280","2200","27440","26670"
"In post","2021","Digital, Data & Technology","G6/G7","3675","3595","57390","54910"
"In post","2021","Digital, Data & Technology","SCS level","255","250","91370","85000"
"In post","2021","Digital, Data & Technology","SEO/HEO","6830","6635","37240","36970"
"In post","2021","Digital, Data & Technology","Unknown","100","100","37160","36000"
"In post","2021","Finance","AA/AO","1490","1260","21110","20920"
"In post","2021","Finance","EO","1690","1600","26450","26670"
"In post","2021","Finance","G6/G7","2070","2020","58640","57540"
"In post","2021","Finance","SCS level","280","275","91170","85000"
"In post","2021","Finance","SEO/HEO","3820","3695","37330","36820"
"In post","2021","Finance","Unknown","50","50","50180","41340"
"In post","2021","Grants Management","AA/AO","955","855","21010","21050"
"In post","2021","Grants Management","EO","540","495","25520","25190"
"In post","2021","Grants Management","G6/G7","60","55","52580","49800"
"In post","2021","Grants Management","SCS level","5","5","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","335","310","32730","31170"
"In post","2021","Human Resources","AA/AO","1610","1455","21350","21030"
"In post","2021","Human Resources","EO","1770","1665","26680","26670"
"In post","2021","Human Resources","G6/G7","1900","1835","57800","56110"
"In post","2021","Human Resources","SCS level","225","220","89150","82130"
"In post","2021","Human Resources","SEO/HEO","3850","3685","36390","35690"
"In post","2021","Human Resources","Unknown","235","220","37670","32710"
"In post","2021","Internal Audit","AA/AO","25","20","28850","31650"
"In post","2021","Internal Audit","EO","50","45","28350","26930"
"In post","2021","Internal Audit","G6/G7","200","195","58940","56790"
"In post","2021","Internal Audit","SCS level","25","25","90340","87740"
"In post","2021","Internal Audit","SEO/HEO","460","440","40550","40520"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","2585","2330","22090","21950"
"In post","2021","Legal","EO","2445","2270","28050","28430"
"In post","2021","Legal","G6/G7","6025","5570","59470","58040"
"In post","2021","Legal","SCS level","460","445","88840","82950"
"In post","2021","Legal","SEO/HEO","3320","3110","38520","38000"
"In post","2021","Legal","Unknown","10","10","44040","48370"
"In post","2021","No function","AA/AO","70510","63795","23090","21500"
"In post","2021","No function","EO","33120","31090","28210","27130"
"In post","2021","No function","G6/G7","21080","20390","58310","55430"
"In post","2021","No function","SCS level","2955","2820","90490","81600"
"In post","2021","No function","SEO/HEO","45255","43405","36650","35700"
"In post","2021","No function","Unknown","12010","11095","29880","28330"
"In post","2021","Project Delivery","AA/AO","615","575","21650","21440"
"In post","2021","Project Delivery","EO","4610","4385","24860","25750"
"In post","2021","Project Delivery","G6/G7","7370","7185","57380","55620"
"In post","2021","Project Delivery","SCS level","695","675","91540","83350"
"In post","2021","Project Delivery","SEO/HEO","13750","13280","36350","36460"
"In post","2021","Project Delivery","Unknown","1355","1335","42310","40180"
"In post","2021","Property","AA/AO","2355","2200","21510","21100"
"In post","2021","Property","EO","1955","1840","27450","26670"
"In post","2021","Property","G6/G7","1260","1230","57550","55610"
"In post","2021","Property","SCS level","85","85","93150","83310"
"In post","2021","Property","SEO/HEO","3625","3480","37280","36460"
"In post","2021","Property","Unknown","40","40","28030","21600"
"In post","2021","Security","AA/AO","5515","5395","26710","21600"
"In post","2021","Security","EO","1180","1155","32330","27870"
"In post","2021","Security","G6/G7","385","375","60280","57660"
"In post","2021","Security","SCS level","45","45","88530","78810"
"In post","2021","Security","SEO/HEO","1580","1545","39400","36480"
"In post","2021","Security","Unknown","60","55","37050","37170"
"In post","2021","Unknown","AA/AO","49055","43325","21400","21010"
"In post","2021","Unknown","EO","70095","64025","27890","27570"
"In post","2021","Unknown","G6/G7","12035","11575","60820","59750"
"In post","2021","Unknown","SCS level","1340","1300","90070","83230"
"In post","2021","Unknown","SEO/HEO","31720","30355","37000","35440"
"In post","2021","Unknown","Unknown","2470","2460","37740","34460"
"Leaver CS","2021","Analysis","AA/AO","100","[c]","21090","19130"
"Leaver CS","2021","Analysis","EO","30","[c]","25680","26410"
"Leaver CS","2021","Analysis","G6/G7","50","[c]","63580","61040"
"Leaver CS","2021","Analysis","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Analysis","SEO/HEO","90","[c]","34920","34650"
"Leaver CS","2021","Commercial","AA/AO","35","[c]","20200","20340"
"Leaver CS","2021","Commercial","EO","25","[c]","25430","25980"
"Leaver CS","2021","Commercial","G6/G7","75","[c]","65990","63970"
"Leaver CS","2021","Commercial","SCS level","30","[c]","99080","95690"
"Leaver CS","2021","Commercial","SEO/HEO","100","[c]","37820","37000"
"Leaver CS","2021","Commercial","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","35","[c]","20370","20800"
"Leaver CS","2021","Communications","EO","35","[c]","24880","25770"
"Leaver CS","2021","Communications","G6/G7","40","[c]","56660","56000"
"Leaver CS","2021","Communications","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","120","[c]","35780","35180"
"Leaver CS","2021","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","25","[c]","36700","35830"
"Leaver CS","2021","Debt","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","AA/AO","50","[c]","21000","21110"
"Leaver CS","2021","Digital, Data & Technology","EO","80","[c]","27360","26670"
"Leaver CS","2021","Digital, Data & Technology","G6/G7","120","[c]","59140","57980"
"Leaver CS","2021","Digital, Data & Technology","SCS level","15","[c]","97920","96280"
"Leaver CS","2021","Digital, Data & Technology","SEO/HEO","160","[c]","37900","38140"
"Leaver CS","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","35","[c]","21030","20920"
"Leaver CS","2021","Finance","EO","35","[c]","25390","26220"
"Leaver CS","2021","Finance","G6/G7","55","[c]","63130","62970"
"Leaver CS","2021","Finance","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","100","[c]","39200","37590"
"Leaver CS","2021","Grants Management","AA/AO","45","[c]","20830","21050"
"Leaver CS","2021","Grants Management","EO","25","[c]","25410","25190"
"Leaver CS","2021","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Grants Management","SEO/HEO","10","[c]","33200","31690"
"Leaver CS","2021","Human Resources","AA/AO","75","[c]","20930","20920"
