"Status","Year","Disability","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Female","80","70","29420","27570"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Male","55","55","39650","32400"
"In post","2021","Declared disabled","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Angus and Dundee City","Female","180","160","24100","21150"
"In post","2021","Declared disabled","Angus and Dundee City","Male","80","75","23930","21010"
"In post","2021","Declared disabled","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Ards and North Down","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Armagh City, Banbridge and Craigavon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Female","70","60","30790","31060"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Male","35","30","30460","30780"
"In post","2021","Declared disabled","Barking & Dagenham and Havering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnet","Female","75","70","32650","31060"
"In post","2021","Declared disabled","Barnet","Male","45","45","38880","31060"
"In post","2021","Declared disabled","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Female","280","240","26320","27570"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Male","135","125","28080","26810"
"In post","2021","Declared disabled","Barnsley, Doncaster and Rotherham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Female","645","595","34130","32280"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Male","705","690","38750","37510"
"In post","2021","Declared disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedford","Female","70","60","29260","27850"
"In post","2021","Declared disabled","Bedford","Male","35","35","32050","29530"
"In post","2021","Declared disabled","Bedford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Female","135","125","29400","26550"
"In post","2021","Declared disabled","Belfast","Male","100","95","26950","25560"
"In post","2021","Declared disabled","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Female","180","165","32880","29290"
"In post","2021","Declared disabled","Berkshire","Male","145","145","33830","31880"
"In post","2021","Declared disabled","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Female","115","110","30020","30550"
"In post","2021","Declared disabled","Bexley and Greenwich","Male","65","65","32140","31590"
"In post","2021","Declared disabled","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Birmingham","Female","800","710","28870","27570"
"In post","2021","Declared disabled","Birmingham","Male","475","450","30150","27570"
"In post","2021","Declared disabled","Birmingham","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Female","50","45","27330","27570"
"In post","2021","Declared disabled","Blackburn with Darwen","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Blackburn with Darwen","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Blackpool","Female","505","435","27220","27570"
"In post","2021","Declared disabled","Blackpool","Male","260","245","28000","27570"
"In post","2021","Declared disabled","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bournemouth and Poole","Female","80","70","26460","27570"
"In post","2021","Declared disabled","Bournemouth and Poole","Male","40","35","25290","26750"
"In post","2021","Declared disabled","Bournemouth and Poole","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bradford","Female","245","200","25730","24000"
"In post","2021","Declared disabled","Bradford","Male","95","85","27030","25560"
"In post","2021","Declared disabled","Bradford","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Breckland and South Norfolk","Male","30","30","29050","29850"
"In post","2021","Declared disabled","Breckland and South Norfolk","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brent","Female","45","40","31830","31060"
"In post","2021","Declared disabled","Brent","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Brent","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Female","75","65","26100","27570"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Male","30","30","27520","21010"
"In post","2021","Declared disabled","Bridgend and Neath Port Talbot","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Brighton and Hove","Female","60","55","29500","27570"
"In post","2021","Declared disabled","Brighton and Hove","Male","35","35","26630","27570"
"In post","2021","Declared disabled","Brighton and Hove","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bristol, City of","Female","375","335","31540","27570"
"In post","2021","Declared disabled","Bristol, City of","Male","295","275","33830","28990"
"In post","2021","Declared disabled","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bromley","Female","50","45","31440","31060"
"In post","2021","Declared disabled","Bromley","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bromley","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Buckinghamshire CC","Female","120","115","29650","27850"
"In post","2021","Declared disabled","Buckinghamshire CC","Male","70","65","31560","30400"
"In post","2021","Declared disabled","Buckinghamshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Caithness and Sutherland and Ross and Cromarty","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Calderdale and Kirklees","Female","125","105","26540","27570"
"In post","2021","Declared disabled","Calderdale and Kirklees","Male","60","60","26990","27570"
"In post","2021","Declared disabled","Calderdale and Kirklees","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cambridgeshire CC","Female","180","170","31660","28840"
"In post","2021","Declared disabled","Cambridgeshire CC","Male","165","160","34220","31900"
