"Status","Year","Disability","Region_ITL2","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Heterosexual / straight","100","90","23420","22340"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Heterosexual / straight","150","140","29060","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Heterosexual / straight","80","80","38600","37640"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","45","40","27290","24940"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","LGBO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
