"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Greater Manchester","15","15","37080","33190"
"In post","2021","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Inner London - West","75","75","46870","45250"
"In post","2021","Analysis","Digital, Data and Technology","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South Yorkshire","55","50","44750","42420"
"In post","2021","Analysis","Digital, Data and Technology","Tees Valley and Durham","20","20","41450","42320"
"In post","2021","Analysis","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Wales and The Valleys","30","30","29890","26780"
"In post","2021","Analysis","Digital, Data and Technology","West Yorkshire","10","10","34650","30930"
"In post","2021","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","15","15","48190","51970"
"In post","2021","Analysis","Economics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","East Wales","125","120","36080","29840"
"In post","2021","Analysis","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Greater Manchester","30","25","37790","31810"
"In post","2021","Analysis","Economics","Hampshire and Isle of Wight","10","10","42450","42560"
"In post","2021","Analysis","Economics","Inner London - East","175","170","56040","55860"
"In post","2021","Analysis","Economics","Inner London - West","890","880","46090","39640"
"In post","2021","Analysis","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Central Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Inner London - East","25","25","46870","41770"
"In post","2021","Analysis","Finance","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Outer London - South","5","5","[c]","[c]"
"In post","2021","Analysis","Finance","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Inner London - West","15","15","50070","46050"
"In post","2021","Analysis","Intelligence Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Inner London - East","30","30","53750","46940"
"In post","2021","Analysis","Intelligence Analysis","Inner London - West","180","175","54060","53360"
"In post","2021","Analysis","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","West Yorkshire","60","55","48980","49530"
"In post","2021","Analysis","Knowledge and Information Management","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","East Wales","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Gloucestershire, Wiltshire and Bath/Bristol area","10","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Inner London - West","15","10","38040","33000"
"In post","2021","Analysis","Knowledge and Information Management","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Cumbria","15","15","28910","29180"
"In post","2021","Analysis","Operational Delivery","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Dorset and Somerset","[c]","[c]","[c]","[c]"
