"Status","Year","Age","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Female","675","650","21610","21010"
"In post","2021","16-19","Male","655","635","20900","20230"
"In post","2021","16-19","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Female","41990","41130","28890","27570"
"In post","2021","20-29","Male","35405","35135","29260","27570"
"In post","2021","20-29","Unknown","25","25","[c]","[c]"
"In post","2021","30-39","Female","55505","50615","33740","29810"
"In post","2021","30-39","Male","47880","47430","35040","31420"
"In post","2021","30-39","Unknown","20","20","[c]","[c]"
"In post","2021","40-49","Female","62700","56150","35040","29570"
"In post","2021","40-49","Male","49590","48925","37830","32100"
"In post","2021","40-49","Unknown","5","5","[c]","[c]"
"In post","2021","50-59","Female","76495","69360","32570","27570"
"In post","2021","50-59","Male","64535","62775","37310","32470"
"In post","2021","60-64","Female","19860","15685","29000","26520"
"In post","2021","60-64","Male","17850","15350","34600","30000"
"In post","2021","60-64","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Female","5425","3990","27720","25110"
"In post","2021","65+","Male","6220","4905","33060","27650"
"In post","2021","Unknown","Female","25","20","[c]","[c]"
"In post","2021","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Female","55","[c]","20180","20880"
"Leaver CS","2021","16-19","Male","55","[c]","20080","20760"
"Leaver CS","2021","20-29","Female","2810","[c]","25010","22650"
"Leaver CS","2021","20-29","Male","2550","[c]","26090","24360"
"Leaver CS","2021","20-29","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Female","2120","[c]","32410","27570"
"Leaver CS","2021","30-39","Male","1925","[c]","35020","30880"
"Leaver CS","2021","30-39","Unknown","30","[c]","42580","40020"
"Leaver CS","2021","40-49","Female","1930","[c]","35450","28170"
"Leaver CS","2021","40-49","Male","1475","[c]","37380","29930"
"Leaver CS","2021","40-49","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Female","3480","[c]","33320","27570"
"Leaver CS","2021","50-59","Male","2910","[c]","39140","32700"
"Leaver CS","2021","50-59","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Female","2385","[c]","32820","27240"
"Leaver CS","2021","60-64","Male","2305","[c]","38420","33210"
"Leaver CS","2021","60-64","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","65+","Female","1780","[c]","26540","22590"
"Leaver CS","2021","65+","Male","1820","[c]","31900","26890"
"Leaver CS","2021","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","60","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","55","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","2415","[c]","31620","31060"
"Leaver Dept.","2021","20-29","Male","1920","[c]","32230","32000"
"Leaver Dept.","2021","20-29","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","1950","[c]","38970","34600"
"Leaver Dept.","2021","30-39","Male","1735","[c]","39450","35580"
"Leaver Dept.","2021","30-39","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","1285","[c]","43600","37050"
"Leaver Dept.","2021","40-49","Male","920","[c]","43690","38050"
"Leaver Dept.","2021","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","815","[c]","39310","33320"
"Leaver Dept.","2021","50-59","Male","640","[c]","44040","36740"
"Leaver Dept.","2021","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","70","[c]","37410","29290"
"Leaver Dept.","2021","60-64","Male","60","[c]","35900","26670"
"Leaver Dept.","2021","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","65","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","60","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Female","485","[c]","21620","21010"
"New entrant CS","2021","16-19","Male","415","[c]","21230","21010"
"New entrant CS","2021","16-19","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Female","13710","[c]","26530","26160"
"New entrant CS","2021","20-29","Male","10185","[c]","26790","25850"
"New entrant CS","2021","20-29","Unknown","30","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Female","7465","[c]","30750","27570"
"New entrant CS","2021","30-39","Male","6120","[c]","31410","27570"
"New entrant CS","2021","30-39","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Female","5195","[c]","32010","27570"
"New entrant CS","2021","40-49","Male","4220","[c]","34360","27570"
"New entrant CS","2021","40-49","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Female","4050","[c]","29820","27570"
"New entrant CS","2021","50-59","Male","3650","[c]","33670","27570"
"New entrant CS","2021","50-59","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Female","650","[c]","28710","27570"
"New entrant CS","2021","60-64","Male","705","[c]","31850","27570"
"New entrant CS","2021","60-64","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Female","120","[c]","32050","26410"
"New entrant CS","2021","65+","Male","160","[c]","35770","27570"
"New entrant CS","2021","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
