"Status","Year","Disability","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","9205","8750","40530","35070"
"In post","2021","Declared disabled","Outside London","40935","37095","29440","27570"
"In post","2021","Declared disabled","Overseas","225","225","48160","45750"
"In post","2021","Declared disabled","Unknown","195","180","31390","27570"
"In post","2021","Declared non-disabled","London","67285","64515","43760","37640"
"In post","2021","Declared non-disabled","Outside London","250030","231045","31240","27570"
"In post","2021","Declared non-disabled","Overseas","2570","2560","49430","47490"
"In post","2021","Declared non-disabled","Unknown","1015","950","32960","27570"
"In post","2021","Undeclared","London","6090","5855","42190","36300"
"In post","2021","Undeclared","Outside London","22430","20815","31130","28130"
"In post","2021","Undeclared","Overseas","165","165","47110","41800"
"In post","2021","Undeclared","Unknown","55","55","31670","27570"
"In post","2021","Unknown","London","19345","18885","43660","37640"
"In post","2021","Unknown","Outside London","62075","58490","30640","26610"
"In post","2021","Unknown","Overseas","795","795","52670","51870"
"In post","2021","Unknown","Unknown","2465","2460","37220","32700"
"Leaver CS","2021","Declared disabled","London","445","[c]","38830","32000"
"Leaver CS","2021","Declared disabled","Outside London","2500","[c]","27800","26010"
"Leaver CS","2021","Declared disabled","Overseas","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","London","2950","[c]","42950","35050"
"Leaver CS","2021","Declared non-disabled","Outside London","12460","[c]","30120","26480"
"Leaver CS","2021","Declared non-disabled","Overseas","40","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","55","[c]","45310","32200"
"Leaver CS","2021","Undeclared","London","300","[c]","41190","35060"
"Leaver CS","2021","Undeclared","Outside London","1425","[c]","30840","27570"
"Leaver CS","2021","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","1625","[c]","38430","31060"
"Leaver CS","2021","Unknown","Outside London","5290","[c]","30150","25870"
"Leaver CS","2021","Unknown","Overseas","80","[c]","39640","36960"
"Leaver CS","2021","Unknown","Unknown","620","[c]","39880","32000"
"Leaver Dept.","2021","Declared disabled","London","405","[c]","42370","37000"
"Leaver Dept.","2021","Declared disabled","Outside London","535","[c]","30760","27570"
"Leaver Dept.","2021","Declared disabled","Overseas","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","50","[c]","33710","32000"
"Leaver Dept.","2021","Declared non-disabled","London","3090","[c]","44810","39290"
"Leaver Dept.","2021","Declared non-disabled","Outside London","3565","[c]","30910","27570"
"Leaver Dept.","2021","Declared non-disabled","Overseas","60","[c]","51500","52700"
"Leaver Dept.","2021","Declared non-disabled","Unknown","235","[c]","38270","32000"
"Leaver Dept.","2021","Undeclared","London","285","[c]","43890","41660"
"Leaver Dept.","2021","Undeclared","Outside London","290","[c]","30930","27570"
"Leaver Dept.","2021","Undeclared","Overseas","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","London","1560","[c]","43350","38750"
"Leaver Dept.","2021","Unknown","Outside London","1425","[c]","32140","28790"
"Leaver Dept.","2021","Unknown","Overseas","45","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","400","[c]","34040","32000"
"New entrant CS","2021","Declared disabled","London","945","[c]","33040","31060"
"New entrant CS","2021","Declared disabled","Outside London","3015","[c]","26380","27570"
"New entrant CS","2021","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","55","[c]","29730","27570"
"New entrant CS","2021","Declared non-disabled","London","7705","[c]","35010","31060"
"New entrant CS","2021","Declared non-disabled","Outside London","22425","[c]","27060","26160"
"New entrant CS","2021","Declared non-disabled","Overseas","20","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","280","[c]","29740","27570"
"New entrant CS","2021","Undeclared","London","705","[c]","37400","32320"
"New entrant CS","2021","Undeclared","Outside London","1180","[c]","27970","27570"
"New entrant CS","2021","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","London","5755","[c]","36650","31730"
"New entrant CS","2021","Unknown","Outside London","14525","[c]","27340","24120"
"New entrant CS","2021","Unknown","Overseas","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","545","[c]","37300","28000"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
