"Status","Year","Age","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","60","55","21390","20980"
"In post","2021","16-19","East of England","55","55","22820","21430"
"In post","2021","16-19","London","155","150","25180","24640"
"In post","2021","16-19","North East (England)","95","90","21080","20610"
"In post","2021","16-19","North West (England)","145","135","21040","21010"
"In post","2021","16-19","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","175","170","20670","20760"
"In post","2021","16-19","South East (England)","125","125","22050","21430"
"In post","2021","16-19","South West (England)","180","180","18850","18870"
"In post","2021","16-19","Unknown","40","40","19120","15940"
"In post","2021","16-19","Wales","135","125","20310","20140"
"In post","2021","16-19","West Midlands (England)","60","55","21390","20980"
"In post","2021","16-19","Yorkshire and The Humber","100","100","21210","20880"
"In post","2021","20-29","East Midlands (England)","3010","2955","25330","25200"
"In post","2021","20-29","East of England","2870","2815","26550","25850"
"In post","2021","20-29","London","23005","22865","35830","33210"
"In post","2021","20-29","North East (England)","3930","3835","24930","23970"
"In post","2021","20-29","North West (England)","8350","8180","25560","24890"
"In post","2021","20-29","Northern Ireland","425","405","23340","20310"
"In post","2021","20-29","Overseas","310","310","37350","34220"
"In post","2021","20-29","Scotland","6520","6385","26230","25410"
"In post","2021","20-29","South East (England)","5725","5650","27240","27130"
"In post","2021","20-29","South West (England)","7050","6945","27200","26670"
"In post","2021","20-29","Unknown","890","890","29890","29250"
"In post","2021","20-29","Wales","5250","5130","25540","23830"
"In post","2021","20-29","West Midlands (England)","4290","4210","25400","24830"
"In post","2021","20-29","Yorkshire and The Humber","5800","5710","26200","25300"
"In post","2021","30-39","East Midlands (England)","4240","3960","28820","27370"
"In post","2021","30-39","East of England","4060","3810","30300","29270"
"In post","2021","30-39","London","24320","23570","45710","41970"
"In post","2021","30-39","North East (England)","6210","5775","28130","25560"
"In post","2021","30-39","North West (England)","12060","11380","29180","27370"
"In post","2021","30-39","Northern Ireland","830","790","28130","25560"
"In post","2021","30-39","Overseas","1065","1060","47130","50940"
"In post","2021","30-39","Scotland","10335","9830","32120","29140"
"In post","2021","30-39","South East (England)","7540","7130","31440","29290"
"In post","2021","30-39","South West (England)","9505","8975","33930","32150"
"In post","2021","30-39","Unknown","780","765","36640","32700"
"In post","2021","30-39","Wales","8660","8090","29870","27570"
"In post","2021","30-39","West Midlands (England)","6310","5940","29400","27570"
"In post","2021","30-39","Yorkshire and The Humber","7495","6990","30800","27570"
"In post","2021","40-49","East Midlands (England)","4980","4605","31180","27570"
"In post","2021","40-49","East of England","5290","4915","32040","29290"
"In post","2021","40-49","London","22305","21175","48360","42470"
"In post","2021","40-49","North East (England)","7480","6860","29770","27370"
"In post","2021","40-49","North West (England)","14560","13515","30940","27570"
"In post","2021","40-49","Northern Ireland","990","935","28070","25560"
"In post","2021","40-49","Overseas","1175","1170","52150","54030"
"In post","2021","40-49","Scotland","10740","10100","34940","29350"
"In post","2021","40-49","South East (England)","9205","8615","33390","29540"
"In post","2021","40-49","South West (England)","10365","9740","37160","33340"
"In post","2021","40-49","Unknown","725","710","37770","33130"
"In post","2021","40-49","Wales","8655","8085","33580","28200"
"In post","2021","40-49","West Midlands (England)","7200","6675","32410","27570"
"In post","2021","40-49","Yorkshire and The Humber","8625","7985","33600","29180"
"In post","2021","50-59","East Midlands (England)","6845","6380","31130","27570"
"In post","2021","50-59","East of England","7505","7060","32210","29270"
"In post","2021","50-59","London","24220","23340","44720","37610"
"In post","2021","50-59","North East (England)","9335","8325","29250","27130"
"In post","2021","50-59","North West (England)","18210","16855","30860","27570"
"In post","2021","50-59","Northern Ireland","1205","1150","29740","26660"
"In post","2021","50-59","Overseas","990","985","53290","52400"
"In post","2021","50-59","Scotland","14710","13725","33560","28130"
"In post","2021","50-59","South East (England)","13520","12660","32650","29290"
"In post","2021","50-59","South West (England)","13245","12580","36540","33180"
"In post","2021","50-59","Unknown","985","960","39020","33570"
"In post","2021","50-59","Wales","9710","9010","32610","27570"
"In post","2021","50-59","West Midlands (England)","9450","8800","31610","27570"
"In post","2021","50-59","Yorkshire and The Humber","11095","10310","32920","27570"
"In post","2021","60-64","East Midlands (England)","1775","1465","28450","26780"
"In post","2021","60-64","East of England","2115","1805","29960","27570"
"In post","2021","60-64","London","5695","5060","41070","33640"
"In post","2021","60-64","North East (England)","2865","2130","26200","21440"
"In post","2021","60-64","North West (England)","4660","3675","28260","26160"
"In post","2021","60-64","Northern Ireland","260","220","26880","22330"
"In post","2021","60-64","Overseas","190","190","56220","54540"
"In post","2021","60-64","Scotland","4030","3205","30550","27570"
"In post","2021","60-64","South East (England)","4095","3465","30420","27570"
"In post","2021","60-64","South West (England)","3645","3105","33630","29130"
"In post","2021","60-64","Unknown","260","240","37350","33570"
"In post","2021","60-64","Wales","2830","2210","30100","26780"
