"Status","Year","Age","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","LGBO","[c]","[c]","[c]","[c]"
